evidence_group	source_file	source_sha256	scenario	n	repetitions	n_perm	root_seed	rejections	rejection_rate	monte_carlo_se	wilson_95_low	wilson_95_high	sqrt_n_sigma_min_j	notes
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	uniform_epsilon_0.2	80	150	99	2026083830	18	0.12	0.0265329983228432	0.07726903087841022	0.18170835484132794	0.868057069342699	matched origin density; family-specific bridge shape
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	exponential_epsilon_0.05	320	150	99	2026182570	35	0.23333333333333334	0.03453393392871123	0.17282631511397295	0.3071578152156679	0.44643848415783344	matched origin density; family-specific bridge shape
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	half_normal_epsilon_0.05	320	150	99	2026282570	45	0.3	0.03741657386773942	0.23240829378731656	0.3775798039599141	0.44551619756177674	matched origin density; family-specific bridge shape
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	scaled_beta12_epsilon_0.05	320	150	99	2026382570	50	0.3333333333333333	0.03849001794597505	0.262887648323876	0.41210243313214945	0.44575040197460536	matched origin density; family-specific bridge shape
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	uniform_epsilon_0.05	320	150	99	2026082570	57	0.38	0.0396316371938716	0.3062372724644591	0.45975558618387935	0.4443093267672924	matched origin density; family-specific bridge shape
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	exponential_epsilon_0.1	320	150	99	2026183070	9	0.06	0.019390719429665314	0.03188404420920533	0.11008977083470209	0.891174521631953	matched origin density; family-specific bridge shape
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	half_normal_epsilon_0.1	320	150	99	2026283070	16	0.10666666666666667	0.02520435000668058	0.06673036965207342	0.16624622258414684	0.8873169516183685	matched origin density; family-specific bridge shape
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	scaled_beta12_epsilon_0.1	320	150	99	2026383070	19	0.12666666666666668	0.027156610272298005	0.08261129487936036	0.18936648758213687	0.8883012620584029	matched origin density; family-specific bridge shape
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	uniform_epsilon_0.1	320	150	99	2026083070	22	0.14666666666666667	0.02888546988315008	0.0988943721258812	0.2120846005608929	0.8823528579951582	matched origin density; family-specific bridge shape
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	exponential_epsilon_0.2	320	150	99	2026184070	8	0.05333333333333334	0.018346459947155815	0.027269539920193826	0.1017038783819546	1.7744204964438712	matched origin density; family-specific bridge shape
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	half_normal_epsilon_0.2	320	150	99	2026284070	4	0.02666666666666667	0.013154354299509993	0.010417940822967993	0.06655389051214453	1.7573815724402844	matched origin density; family-specific bridge shape
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	scaled_beta12_epsilon_0.2	320	150	99	2026384070	8	0.05333333333333334	0.018346459947155815	0.027269539920193826	0.1017038783819546	1.7617855572172016	matched origin density; family-specific bridge shape
bridge_recovery	results/profile_bridge_family_validation_pilot_20260817.tsv	71caf170b073ab760364c76e7f1f3450ecf00741384646312bd953df9d001b1f	uniform_epsilon_0.2	320	150	99	2026084070	6	0.04	0.016	0.01845916060207442	0.08451346421655606	1.736114138685398	matched origin density; family-specific bridge shape
family_residual	results/profile_bridge_family_validation_confirmatory_20260817.tsv	c90003490f4894891a1a0b932df9d0bb458a42221ba3f93338458ec6b41883bd	exponential_epsilon_0.05	320	500	99	2026182570	116	0.232	0.018877287940803362	0.19712923845271468	0.2709574080346774	0.44643848415783344	confirmatory matched-J transition cell; omnibus family homogeneity p=0.0001305, Cramer's V=0.1014
family_residual	results/profile_bridge_family_validation_confirmatory_20260817.tsv	c90003490f4894891a1a0b932df9d0bb458a42221ba3f93338458ec6b41883bd	half_normal_epsilon_0.05	320	500	99	2026282570	155	0.31	0.02068332661831747	0.2710389112735686	0.3518583381018213	0.44551619756177674	confirmatory matched-J transition cell; omnibus family homogeneity p=0.0001305, Cramer's V=0.1014
family_residual	results/profile_bridge_family_validation_confirmatory_20260817.tsv	c90003490f4894891a1a0b932df9d0bb458a42221ba3f93338458ec6b41883bd	scaled_beta12_epsilon_0.05	320	500	99	2026382570	178	0.356	0.021413266915629666	0.3152745600260401	0.398921250026887	0.44575040197460536	confirmatory matched-J transition cell; omnibus family homogeneity p=0.0001305, Cramer's V=0.1014
family_residual	results/profile_bridge_family_validation_confirmatory_20260817.tsv	c90003490f4894891a1a0b932df9d0bb458a42221ba3f93338458ec6b41883bd	uniform_epsilon_0.05	320	500	99	2026082570	167	0.334	0.02109236828807993	0.29406381245587715	0.3764674685773583	0.4443093267672924	confirmatory matched-J transition cell; omnibus family homogeneity p=0.0001305, Cramer's V=0.1014
