phase	positive_probability	sign_agreement	magnitude_sigma	magnitude_rho	center_sd	center_rho	dyadic_weight	dyadic_rho	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	median_p_value	mean_observed_profile_weight	mean_realized_sign_agreement	mean_realized_positive_probability	mean_realized_log_radius_sd	mean_realized_log_radius_correlation	mean_realized_center_correlation
seed2	0.5	0.5	0.35	0.55	0.0	0.8	0.15	0.5	profile	400	199	0.365	0.3193122416823519	0.4132560777879081	0.0875	0.6205422072213079	0.5031666666666667	0.502875	0.34640966443445964	0.5423762501328884	0.7555367632515427
seed2	0.5	0.5	0.35	0.55	0.0	0.8	0.15	0.5	mantel	400	199	0.3	0.25716767195619705	0.34663724577752153	0.11	0.6205422072213079	0.5031666666666667	0.502875	0.34640966443445964	0.5423762501328884	0.7555367632515427
seed2	0.5	0.5	0.35	0.55	0.0	0.8	0.15	0.5	naive_selected	400	199	0.365	0.3193122416823519	0.4132560777879081	0.0875	0.6205422072213079	0.5031666666666667	0.502875	0.34640966443445964	0.5423762501328884	0.7555367632515427
seed2	0.5	0.5	0.35	0.55	0.0	0.8	0.15	0.5	nested_max	400	199	0.365	0.3193122416823519	0.4132560777879081	0.0875	0.6205422072213079	0.5031666666666667	0.502875	0.34640966443445964	0.5423762501328884	0.7555367632515427
seed2	0.5	0.5	0.35	0.55	0.0	0.8	0.15	0.5	cv_retrained	400	199	0.38	0.3337874943779953	0.4284954562622359	0.095	0.6205422072213079	0.5031666666666667	0.502875	0.34640966443445964	0.5423762501328884	0.7555367632515427
seed2	0.5	0.5	0.35	0.55	0.0	0.8	0.15	0.5	cv_frozen	400	199	0.3425	0.29769101850421636	0.3903053542110871	0.1	0.6205422072213079	0.5031666666666667	0.502875	0.34640966443445964	0.5423762501328884	0.7555367632515427
seed2	0.5	0.5	0.35	0.55	1.0	0.8	0.15	0.5	profile	400	199	0.1875	0.15228915456130324	0.2286560293976321	0.225	0.5540862804184963	0.4974583333333334	0.4964791666666666	0.34573766003759565	0.5452723991319911	0.7583252206026971
seed2	0.5	0.5	0.35	0.55	1.0	0.8	0.15	0.5	mantel	400	199	0.1825	0.14772734739355886	0.22331295950871943	0.2275	0.5540862804184963	0.4974583333333334	0.4964791666666666	0.34573766003759565	0.5452723991319911	0.7583252206026971
seed2	0.5	0.5	0.35	0.55	1.0	0.8	0.15	0.5	naive_selected	400	199	0.2025	0.16603379503442495	0.24462602009448153	0.185	0.5540862804184963	0.4974583333333334	0.4964791666666666	0.34573766003759565	0.5452723991319911	0.7583252206026971
seed2	0.5	0.5	0.35	0.55	1.0	0.8	0.15	0.5	nested_max	400	199	0.1875	0.15228915456130324	0.2286560293976321	0.2075	0.5540862804184963	0.4974583333333334	0.4964791666666666	0.34573766003759565	0.5452723991319911	0.7583252206026971
seed2	0.5	0.5	0.35	0.55	1.0	0.8	0.15	0.5	cv_retrained	400	199	0.215	0.17755148423753886	0.25787052353301015	0.2075	0.5540862804184963	0.4974583333333334	0.4964791666666666	0.34573766003759565	0.5452723991319911	0.7583252206026971
seed2	0.5	0.5	0.35	0.55	1.0	0.8	0.15	0.5	cv_frozen	400	199	0.22	0.1821738927340146	0.2631529920931915	0.2175	0.5540862804184963	0.4974583333333334	0.4964791666666666	0.34573766003759565	0.5452723991319911	0.7583252206026971
seed2	0.5	0.5	0.85	0.55	0.0	0.8	0.15	0.5	profile	400	199	0.635	0.5867439222120918	0.680687758317648	0.02	0.6218340732110162	0.4990833333333334	0.4995833333333334	0.8342301165846691	0.5412684498432843	0.7820161035090005
