path	latent_correlation	log_radius_sigma	analytic_cdelta_star	analytic_profile_correlation	analytic_mantel_correlation	mc_cdelta_star	mc_profile_correlation	mc_mantel_correlation	mc_cdelta_standard_error	mc_profile_standard_error	mc_mantel_standard_error	profile_minus_mantel_correlation	cdelta_absolute_formula_error	profile_absolute_formula_error	mantel_absolute_formula_error	n_batches	batch_size	total_dyads
node	0.35	0.55	1.1116829074577141	0.31616929595175014	nan	1.1120171616365917	0.31593256685314913	0.10521357231111717	0.0005158232699738107	0.001374974651118991	0.0009011544863533973	0.21071899454203197	0.0003342541788775577	0.00023672909860100733	nan	20	50000	1000000
node	0.55	0.55	1.1810158996558455	0.5124478835038444	nan	1.1807905002791985	0.511848227831299	0.18461177224065423	0.0003497588426419594	0.0007545719045505807	0.001483612681929838	0.3272364555906448	0.00022539937664700638	0.000599655672545385	nan	20	50000	1000000
node	0.65	0.55	1.2172874723025697	0.6151310769112115	nan	1.216600485707299	0.6146193527924569	0.22860330887947627	0.0007154916033221735	0.0007344633782646737	0.0011700343024656332	0.38601604391298067	0.0006869865952707777	0.0005117241187545529	nan	20	50000	1000000
node	0.75	0.55	1.2546730240097368	0.7209678950160604	nan	1.2553866495293413	0.7217656169783898	0.27568708523896807	0.0008150143823555735	0.0008436551477938317	0.0009270515249328816	0.44607853173942175	0.0007136255196045216	0.0007977219623294118	nan	20	50000	1000000
dyad	0.3	nan	1.0453469976215648	0.07944514618059068	0.07944514618059068	1.045897028354379	0.08030506694243793	0.0780195434132156	0.0006690349099509551	0.0011963949601545966	0.0010369001151469537	0.0022855235292223303	0.0005500307328141218	0.0008599207618472521	0.0014256027673750782	20	50000	1000000
dyad	0.45	nan	1.1030729575458709	0.18057747169579805	0.18057747169579805	1.102962079468902	0.18022868670263145	0.18327988245314092	0.000587359041919991	0.0009253140507992507	0.001129296171549051	-0.0030511957505094667	0.00011087807696896768	0.0003487849931665954	0.0027024107573428713	20	50000	1000000
dyad	0.65	nan	1.2198640915500143	0.38518834342292074	0.38518834342292074	1.2184425768635296	0.3830803456295357	0.3847522962475955	0.0006553953675627153	0.0009309486562054089	0.001160884609894444	-0.0016719506180598032	0.0014215146864846595	0.0021079977933850524	0.0004360471753252493	20	50000	1000000
dyad	0.8	nan	1.3418361744012897	0.5988759183520836	0.5988759183520836	1.3423395634167652	0.5987017186318271	0.5994534662572819	0.0006179678021081773	0.0006278322922242706	0.0006843333829091528	-0.0007517476254548239	0.0005033890154755305	0.0001741997202565626	0.0005775479051982613	20	50000	1000000
