n	bridge_probability	n_epsilon_squared	min_rejection	max_rejection	rejection_range	min_median_bootstrap_spread	max_median_bootstrap_spread	bootstrap_spread_range	family_homogeneity_chi_square	family_homogeneity_p	family_cramers_v	family_homogeneity_holm_p
80	0.05	0.20000000000000004	0.5	0.5666666666666667	0.06666666666666665	2.8273898670852873	2.9165061773372534	0.08911631025196609	1.364913689281413	0.7137793669104477	0.047695452076716445	1.0
80	0.1	0.8000000000000002	0.29333333333333333	0.4066666666666667	0.11333333333333334	2.477099840594887	2.582158290547466	0.10505844995257885	5.528115501519757	0.13696663656642644	0.09598711286347904	0.5478665462657057
80	0.2	3.2000000000000006	0.10666666666666667	0.15333333333333332	0.04666666666666665	1.7676814324345116	1.9968691259431197	0.22918769350860813	1.9096673874486747	0.5913655672584703	0.05641612339642919	1.0
320	0.05	0.8000000000000002	0.23333333333333334	0.38	0.14666666666666667	3.3844327970646275	3.5572540189971624	0.1728212219325349	7.978661418342375	0.04645477452672148	0.11531595306188396	0.2787286471603289
320	0.1	3.2000000000000006	0.06	0.14666666666666667	0.08666666666666667	2.222679285789143	2.7479182238539956	0.5252389380648528	6.332992849846782	0.09648672984431769	0.10273747165994485	0.4824336492215885
320	0.2	12.800000000000002	0.02666666666666667	0.05333333333333334	0.02666666666666667	0.6969860189856848	0.7996065354765649	0.10262051649088011	1.7689627445725007	0.6217121667110737	0.05429798560678074	1.0
