phase	configuration	method	epsilon	bandwidth_multiplier	batches	batch_size	total_observations	effect	effect_se	full_pathwise_slope	full_pathwise_slope_se	complete_refit_finite_slope	complete_refit_finite_slope_se	no_mad_indirect_slope	no_mad_indirect_slope_se	fixed_location_slope	fixed_location_slope_se	mad_indirect_effect_component	mad_indirect_effect_component_se	total_location_effect_component	total_location_effect_component_se	derivative_check_error	derivative_check_error_se	median_dot_x	median_dot_x_se	mad_dot_x	mad_dot_x_se	scale_dot_x	scale_dot_x_se	location_dot_x	location_dot_x_se	direct_location_dot_x	direct_location_dot_x_se	mad_indirect_location_dot_x	mad_indirect_location_dot_x_se	scale_coupling_x	scale_coupling_x_se	boundary_bandwidth_x	boundary_bandwidth_x_se	median_dot_y	median_dot_y_se	mad_dot_y	mad_dot_y_se	location_dot_y	location_dot_y_se	mad_indirect_location_dot_y	mad_indirect_location_dot_y_se	absolute_mean_derivative_check_error
combined	balanced_node_gaussian_dyad	cdelta_star	0.0005	1.0	12	250000	3000000	1.2140703199358123	0.0008394585613025401	-0.38034338329499934	0.001662898953023293	-0.3803315051757646	0.0016526346560773962	-0.380343392547396	0.001662904899658792	-0.38034420345580205	0.0016637278744888462	9.252396654391148e-09	1.4119179591386452e-08	8.201608027169627e-07	1.3010285244416058e-06	1.1878119234749277e-05	2.285381265854507e-05	-0.004009844845491778	0.0015047654538295565	0.015421556365435601	0.0012414299750185948	0.022863999467394824	0.0018405440809625688	7.096307706064551e-05	0.0005362456503339705	7.953395365228928e-05	0.0005366830179008913	-8.570876591643763e-06	6.481163513326718e-06	0.00025689499999751	0.00022187657965398887	0.08825452512566663	7.452852967941689e-05	0.0007965124061354292	0.0022564801251529687	0.015498684002010432	0.0012113473205497913	0.00037706382437932773	0.0006603982094797906	2.417869013625968e-07	6.738322595627584e-06	1.1878119234749277e-05
combined	balanced_node_gaussian_dyad	cdelta_star	0.001	1.0	12	250000	3000000	1.2140703199358123	0.0008394585613025401	-0.38034338329499934	0.001662898953023293	-0.38035387304661644	0.0016494691409226789	-0.380343392547396	0.001662904899658792	-0.38034420345580205	0.0016637278744888462	9.252396654391148e-09	1.4119179591386452e-08	8.201608027169627e-07	1.3010285244416058e-06	-1.0489751617071922e-05	3.1150718845658486e-05	-0.004009844845491778	0.0015047654538295565	0.015421556365435601	0.0012414299750185948	0.022863999467394824	0.0018405440809625688	7.096307706064551e-05	0.0005362456503339705	7.953395365228928e-05	0.0005366830179008913	-8.570876591643763e-06	6.481163513326718e-06	0.00025689499999751	0.00022187657965398887	0.08825452512566663	7.452852967941689e-05	0.0007965124061354292	0.0022564801251529687	0.015498684002010432	0.0012113473205497913	0.00037706382437932773	0.0006603982094797906	2.417869013625968e-07	6.738322595627584e-06	1.0489751617071922e-05
combined	balanced_node_gaussian_dyad	mantel	0.0005	1.0	12	250000	3000000	0.19127112434022842	0.0008057795367349999	-0.18577605636053893	0.0019384987084604532	-0.1857801732290503	0.0019467156401412917	-0.18577605636053893	0.0019384987084604532	-0.18577605636053893	0.0019384987084604532	0.0	0.0	0.0	0.0	-4.11686851137701e-06	2.3490233331452992e-05	-0.004009844845491778	0.0015047654538295565	0.015421556365435601	0.0012414299750185948	0.022863999467394824	0.0018405440809625688	7.096307706064551e-05	0.0005362456503339705	7.953395365228928e-05	0.0005366830179008913	-8.570876591643763e-06	6.481163513326718e-06	0.00025689499999751	0.00022187657965398887	0.08825452512566663	7.452852967941689e-05	0.0007965124061354292	0.0022564801251529687	0.015498684002010432	0.0012113473205497913	0.00037706382437932773	0.0006603982094797906	2.417869013625968e-07	6.738322595627584e-06	4.11686851137701e-06
combined	balanced_node_gaussian_dyad	mantel	0.001	1.0	12	250000	3000000	0.19127112434022842	0.0008057795367349999	-0.18577605636053893	0.0019384987084604532	-0.1857640691050646	0.001955628522768527	-0.18577605636053893	0.0019384987084604532	-0.18577605636053893	0.0019384987084604532	0.0	0.0	0.0	0.0	1.1987255474350348e-05	3.268860554570622e-05	-0.004009844845491778	0.0015047654538295565	0.015421556365435601	0.0012414299750185948	0.022863999467394824	0.0018405440809625688	7.096307706064551e-05	0.0005362456503339705	7.953395365228928e-05	0.0005366830179008913	-8.570876591643763e-06	6.481163513326718e-06	0.00025689499999751	0.00022187657965398887	0.08825452512566663	7.452852967941689e-05	0.0007965124061354292	0.0022564801251529687	0.015498684002010432	0.0012113473205497913	0.00037706382437932773	0.0006603982094797906	2.417869013625968e-07	6.738322595627584e-06	1.1987255474350348e-05
combined	balanced_node_gaussian_dyad	profile_correlation	0.0005	1.0	12	250000	3000000	0.31245203921198256	0.0010277215761687944	-0.49068591198968514	0.0016641142109676502	-0.4906512515202531	0.0016584272912924664	-0.49068595537896537	0.001664121165363641	-0.4906887934531398	0.0016650062274452062	4.338928021504115e-08	3.486477083181294e-08	2.8814634546782867e-06	1.9610635099934416e-06	3.466046943209159e-05	3.057107190694767e-05	-0.004009844845491778	0.0015047654538295565	0.015421556365435601	0.0012414299750185948	0.022863999467394824	0.0018405440809625688	7.096307706064551e-05	0.0005362456503339705	7.953395365228928e-05	0.0005366830179008913	-8.570876591643763e-06	6.481163513326718e-06	0.00025689499999751	0.00022187657965398887	0.08825452512566663	7.452852967941689e-05	0.0007965124061354292	0.0022564801251529687	0.015498684002010432	0.0012113473205497913	0.00037706382437932773	0.0006603982094797906	2.417869013625968e-07	6.738322595627584e-06	3.466046943209159e-05
combined	balanced_node_gaussian_dyad	profile_correlation	0.001	1.0	12	250000	3000000	0.31245203921198256	0.0010277215761687944	-0.49068591198968514	0.0016641142109676502	-0.4906787000380242	0.0016594838455786518	-0.49068595537896537	0.001664121165363641	-0.4906887934531398	0.0016650062274452062	4.338928021504115e-08	3.486477083181294e-08	2.8814634546782867e-06	1.9610635099934416e-06	7.211951660891318e-06	4.60803743872193e-05	-0.004009844845491778	0.0015047654538295565	0.015421556365435601	0.0012414299750185948	0.022863999467394824	0.0018405440809625688	7.096307706064551e-05	0.0005362456503339705	7.953395365228928e-05	0.0005366830179008913	-8.570876591643763e-06	6.481163513326718e-06	0.00025689499999751	0.00022187657965398887	0.08825452512566663	7.452852967941689e-05	0.0007965124061354292	0.0022564801251529687	0.015498684002010432	0.0012113473205497913	0.00037706382437932773	0.0006603982094797906	2.417869013625968e-07	6.738322595627584e-06	7.211951660891318e-06
combined	balanced_node_lognormal_dyad	cdelta_star	0.0005	1.0	12	250000	3000000	1.2785940524049064	0.000712320350427138	0.010285858797481255	0.0029380606286014957	0.010250375295580335	0.0029355203367138127	0.009718537279515993	0.002935531513361729	-0.0031635303147197528	0.002911399372996146	0.0005673215179652613	1.089878415453191e-05	0.013449389112201006	0.00018270342283960308	-3.548350190091948e-05	4.5457819736874316e-05	-0.2867860750787982	0.0013331332040285298	-0.11960166220725166	0.0009204363170527005	-0.1773214243884713	0.0013646388836623332	-0.12586867941841243	0.0006756699620235108	-0.12045443301643843	0.0006376092251960865	-0.00541424640197401	5.56187721132932e-05	-0.02546533333339239	0.00018552826995744793	0.08824060331207267	3.7810539118965554e-05	-0.2881222967106772	0.0013112700631775938	-0.11572503122298262	0.0009003276770612992	-0.12627004742256426	0.0005496963943903703	-0.0052127966045608575	8.223493712977076e-05	3.548350190091948e-05
combined	balanced_node_lognormal_dyad	cdelta_star	0.001	1.0	12	250000	3000000	1.2785940524049064	0.000712320350427138	0.010285858797481255	0.0029380606286014957	0.010254122648341765	0.0029319229470414526	0.009718537279515993	0.002935531513361729	-0.0031635303147197528	0.002911399372996146	0.0005673215179652613	1.089878415453191e-05	0.013449389112201006	0.00018270342283960308	-3.173614913948991e-05	2.4065338210429566e-05	-0.2867860750787982	0.0013331332040285298	-0.11960166220725166	0.0009204363170527005	-0.1773214243884713	0.0013646388836623332	-0.12586867941841243	0.0006756699620235108	-0.12045443301643843	0.0006376092251960865	-0.00541424640197401	5.56187721132932e-05	-0.02546533333339239	0.00018552826995744793	0.08824060331207267	3.7810539118965554e-05	-0.2881222967106772	0.0013112700631775938	-0.11572503122298262	0.0009003276770612992	-0.12627004742256426	0.0005496963943903703	-0.0052127966045608575	8.223493712977076e-05	3.173614913948991e-05
combined	balanced_node_lognormal_dyad	mantel	0.0005	1.0	12	250000	3000000	0.22761579370459908	0.0004166840941057805	0.021280746815961638	0.002934435326260988	0.02125198410057409	0.002923068848016107	0.021280746815961638	0.002934435326260988	0.021280746815961638	0.002934435326260988	0.0	0.0	0.0	0.0	-2.8762715387553948e-05	3.8089822204284895e-05	-0.2867860750787982	0.0013331332040285298	-0.11960166220725166	0.0009204363170527005	-0.1773214243884713	0.0013646388836623332	-0.12586867941841243	0.0006756699620235108	-0.12045443301643843	0.0006376092251960865	-0.00541424640197401	5.56187721132932e-05	-0.02546533333339239	0.00018552826995744793	0.08824060331207267	3.7810539118965554e-05	-0.2881222967106772	0.0013112700631775938	-0.11572503122298262	0.0009003276770612992	-0.12627004742256426	0.0005496963943903703	-0.0052127966045608575	8.223493712977076e-05	2.8762715387553948e-05
combined	balanced_node_lognormal_dyad	mantel	0.001	1.0	12	250000	3000000	0.22761579370459908	0.0004166840941057805	0.021280746815961638	0.002934435326260988	0.021269821227379766	0.0029195714838442122	0.021280746815961638	0.002934435326260988	0.021280746815961638	0.002934435326260988	0.0	0.0	0.0	0.0	-1.0925588581874851e-05	3.759885041418707e-05	-0.2867860750787982	0.0013331332040285298	-0.11960166220725166	0.0009204363170527005	-0.1773214243884713	0.0013646388836623332	-0.12586867941841243	0.0006756699620235108	-0.12045443301643843	0.0006376092251960865	-0.00541424640197401	5.56187721132932e-05	-0.02546533333339239	0.00018552826995744793	0.08824060331207267	3.7810539118965554e-05	-0.2881222967106772	0.0013112700631775938	-0.11572503122298262	0.0009003276770612992	-0.12627004742256426	0.0005496963943903703	-0.0052127966045608575	8.223493712977076e-05	1.0925588581874851e-05
