kind	n	background	k	target_overlap_fraction	observed_overlap_fraction	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_divergence_correlation
l1	80	t3	4	0.25	0.25	300	199	0.1333	0.0995	0.1765	0.1108
l1	80	t3	4	0.5	0.5	300	199	0.5767	0.5201	0.6313	0.2492
l1	80	t3	4	0.75	0.75	300	199	0.8633	0.8198	0.8976	0.38
l1	80	t3	4	1.0	1.0	300	199	0.9233	0.8876	0.9484	0.5081
l1	80	t2	4	0.0	0.0	300	199	0.03	0.0159	0.056	-0.0129
l1	80	t2	4	0.25	0.25	300	199	0.0767	0.0516	0.1124	0.0558
l1	80	t2	4	0.5	0.5	300	199	0.1833	0.1436	0.231	0.1268
l1	80	t2	4	0.75	0.75	300	199	0.4467	0.3914	0.5032	0.2087
l1	80	t2	4	1.0	1.0	300	199	0.6133	0.5571	0.6667	0.3103
l1	160	normal	8	0.0	0.0	300	199	0.0	0.0	0.0126	-0.0468
l1	160	normal	8	0.25	0.25	300	199	0.6667	0.6115	0.7176	0.1782
l1	160	normal	8	0.5	0.5	300	199	1.0	0.9874	1.0	0.403
l1	160	normal	8	0.75	0.75	300	199	1.0	0.9874	1.0	0.6216
l1	160	normal	8	1.0	1.0	300	199	1.0	0.9874	1.0	0.8447
l1	160	t3	8	0.0	0.0	300	199	0.01	0.0034	0.029	-0.0299
l1	160	t3	8	0.25	0.25	300	199	0.2067	0.1647	0.2561	0.106
l1	160	t3	8	0.5	0.5	300	199	0.8333	0.787	0.8712	0.2419
l1	160	t3	8	0.75	0.75	300	199	0.9733	0.9483	0.9864	0.3739
l1	160	t3	8	1.0	1.0	300	199	0.99	0.971	0.9966	0.4986
l1	160	t2	8	0.0	0.0	300	199	0.05	0.0305	0.0808	-0.0135
l1	160	t2	8	0.25	0.25	300	199	0.1	0.0709	0.1392	0.0579
l1	160	t2	8	0.5	0.5	300	199	0.31	0.2603	0.3645	0.1221
l1	160	t2	8	0.75	0.75	300	199	0.5567	0.5001	0.6118	0.1879
l1	160	t2	8	1.0	1.0	300	199	0.7267	0.6736	0.774	0.2456
