phase	design	scenario	temperature	aggregation	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	median_p_value	mean_profile_weight	sd_profile_weight	total_rooms	minimum_rooms	maximum_rooms	size_cv	mean_positive_probability	mean_radius_product	mean_dyad_product	covariate_center_correlation	scale_ratio
seed1	balanced	conditional_null	0.0	building_equal	profile	300	199	0.03333333333333333	0.01820494733885481	0.06026182580405482	0.515	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
seed1	balanced	conditional_null	0.0	building_equal	mantel	300	199	0.03	0.01586185380943231	0.05602253914164096	0.52	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
seed1	balanced	conditional_null	0.0	building_equal	nested_max	300	199	0.03333333333333333	0.01820494733885481	0.06026182580405482	0.5125	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
seed1	balanced	conditional_null	0.0	building_equal	standardized_max	300	199	0.03	0.01586185380943231	0.05602253914164096	0.5225	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
seed1	balanced	conditional_null	0.0	building_equal	cv_retrained	300	199	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.4825	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
seed1	balanced	conditional_null	0.0	building_equal	cv_standardized	300	199	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.48	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
seed1	balanced	conditional_null	0.0	sqrt_rooms	profile	300	199	0.03333333333333333	0.01820494733885481	0.06026182580405482	0.515	0.5000000000000001	0.0	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
seed1	balanced	conditional_null	0.0	sqrt_rooms	mantel	300	199	0.03	0.01586185380943231	0.05602253914164096	0.52	0.5000000000000001	0.0	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
seed1	balanced	conditional_null	0.0	sqrt_rooms	nested_max	300	199	0.03333333333333333	0.01820494733885481	0.06026182580405482	0.5125	0.5000000000000001	0.0	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
seed1	balanced	conditional_null	0.0	sqrt_rooms	standardized_max	300	199	0.03	0.01586185380943231	0.05602253914164096	0.5225	0.5000000000000001	0.0	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
seed1	balanced	conditional_null	0.0	sqrt_rooms	cv_retrained	300	199	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.4825	0.5000000000000001	0.0	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
seed1	balanced	conditional_null	0.0	sqrt_rooms	cv_standardized	300	199	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.48	0.5000000000000001	0.0	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
seed1	balanced	conditional_null	0.0	room_equal	profile	300	199	0.03333333333333333	0.01820494733885481	0.06026182580405482	0.515	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.5005092592592593	-0.0036141886584853933	-0.004993862077028639	0.8989859030451303	1.8048711320065514
