check	passed	detail
all_result_tsvs_nonempty	1	none
historical_nonrectangular_tsv_inventory	1	10 legacy files: feedback_checks_20260713.tsv,followup_power_background_size_20260710.tsv,high_replication_checks_20260713.tsv,large_scale_simulation_20260712.tsv,multi_extreme_power_20260711.tsv,near_zero_boundary_20260712.tsv,normalization_feedback_checks_20260716.tsv,normalization_followup_checks_20260716.tsv,outlier_repeated_20260709.tsv,outlier_repeated_20260709_perm499.tsv
canonical_source_hashes_current	1	34 rows; 0 mismatched sources
canonical_inference_track_explicit	1	fully_recomputed_studentized_permutation_empirical
current_claim_chain_files_present	1	none
current_claim_tables_rectangular_unique_header	1	none
