configuration	node_strength	dyad_strength	center_weight	method	population_effect	pathwise_effect_slope	pathwise_effect_slope_se	finite_difference_effect_slope	finite_difference_effect_slope_se	absolute_derivative_check_error	finite_difference_epsilon	n_batches	batch_size	total_dyads
default	0.55	0.7	0.216	profile	0.26844895301097493	-0.5805388643351492	0.002481373276633697	-0.5803724796244775	0.002482236307092641	0.00016638471067176308	0.001	20	50000	1000000
default	0.55	0.7	0.216	mantel	0.13453220668714563	-0.09552368699401896	0.0031617932517825	-0.09552641005747123	0.003166902525113574	2.7230634522673602e-06	0.001	20	50000	1000000
weak_both	0.35	0.3	0.225	profile	0.15023036653065408	-0.4400613399376797	0.0026211020926164915	-0.44004232734191967	0.002606147676869131	1.9012595760037332e-05	0.001	20	50000	1000000
weak_both	0.35	0.3	0.225	mantel	0.0703298141191102	-0.13142038657560734	0.0034491700023396485	-0.13146866915846858	0.0034268669330881378	4.8282582861242096e-05	0.001	20	50000	1000000
strong_node_low_dyad	0.65	0.3	0.362	profile	0.20419639217264812	-0.5860600726110176	0.002696715999074747	-0.5860865546306735	0.0026911575484722034	2.6482019655937883e-05	0.001	20	50000	1000000
strong_node_low_dyad	0.65	0.3	0.362	mantel	0.10865680480253696	-0.23638918752820567	0.0021377340917312694	-0.23639819810129978	0.0021561804396368852	9.010573094103691e-06	0.001	20	50000	1000000
balanced_strong	0.65	0.65	0.258	profile	0.29174511995270513	-0.623260771331992	0.0033087831178453286	-0.6232038932728057	0.003276118184201696	5.687805918630495e-05	0.001	20	50000	1000000
balanced_strong	0.65	0.65	0.258	mantel	0.15467747932071352	-0.14127347082260497	0.003921303655664927	-0.14113110960929795	0.003906537549543275	0.00014236121330701845	0.001	20	50000	1000000
