scenario	n	n_perm	c_delta_star	pearson_robust_absolute_residuals	cv_product	identity_value	identity_absolute_error	unscaled_residual_cdelta	scale_normalisation_absolute_difference	permutation_p_cdelta	permutation_p_pearson	permutation_p_absolute_difference	maximum_permutation_rank_disagreement
normal_correlated	80	4999	1.164070260609448	0.28053113225680726	0.5848558029532789	1.1640702606094475	4.440892098500626e-16	1.1640702606094475	4.440892098500626e-16	0.0068	0.0068	0.0	0.0
t3_correlated	80	4999	1.5217355643976518	0.45714825179169993	1.141283079072958	1.5217355643976513	4.440892098500626e-16	1.521735564397651	8.881784197001252e-16	0.0012	0.0012	0.0	0.0
skew_correlated	80	4999	1.4196926663209808	0.37728817231202116	1.1123928527870484	1.4196926663209806	2.220446049250313e-16	1.4196926663209806	2.220446049250313e-16	0.0064	0.0064	0.0	0.0
matched_outlier	80	4999	3.450738080573648	0.8893234939256327	2.755732978284035	3.450738080573648	0.0	3.4507380805736467	1.3322676295501878e-15	0.0014	0.0014	0.0	0.0
unmatched_outlier	80	4999	1.3507631850840538	0.13769510716618083	2.5473903343618947	1.3507631850840542	4.440892098500626e-16	1.350763185084054	2.220446049250313e-16	0.028	0.028	0.0	0.0
