phase	design	scenario	strength	n_perm	repetitions	omnibus_rejection_rate	wilson_low	wilson_high	profile_rejection_rate	mantel_rejection_rate	best_component_power	omnibus_regret	adjusted_profile_rejection_rate	adjusted_mantel_rejection_rate	winner_profile_rate	winner_expected_rate	mean_profile_z	mean_mantel_z	profile_only_rate	mantel_only_rate	both_rate	unresolved_rate	profile_only_share_given_reject	mantel_only_share_given_reject	both_share_given_reject	unresolved_share_given_reject	winner_agreement_with_999	decision_agreement_with_999	attribution_agreement_with_999
seed2	moderately_unequal	conditional_null	0.0	199	50	0.04	0.011038884327619805	0.1346009068750702	0.02	0.06	0.06	0.019999999999999997	0.0	0.04	0.46	nan	0.10670774030143373	0.18863938841166847	0.0	0.04	0.0	0.96	0.0	1.0	0.0	0.0	0.96	1.0	1.0
seed2	moderately_unequal	conditional_null	0.0	499	50	0.04	0.011038884327619805	0.1346009068750702	0.0	0.06	0.06	0.019999999999999997	0.0	0.04	0.44	nan	0.10983999984821718	0.19024195606160405	0.0	0.04	0.0	0.96	0.0	1.0	0.0	0.0	0.98	1.0	1.0
seed2	moderately_unequal	conditional_null	0.0	999	50	0.04	0.011038884327619805	0.1346009068750702	0.02	0.06	0.06	0.019999999999999997	0.0	0.04	0.42	nan	0.1039188705027778	0.1883065278542062	0.0	0.04	0.0	0.96	0.0	1.0	0.0	0.0	1.0	1.0	1.0
seed2	moderately_unequal	radial_node	0.6	199	50	0.2	0.1124375001577611	0.3303710593222542	0.22	0.18	0.22	0.01999999999999999	0.1	0.18	0.54	0.54	0.7587075841935268	0.6938698911438093	0.02	0.1	0.08	0.8	0.1	0.5	0.4	0.0	1.0	1.0	0.96
seed2	moderately_unequal	radial_node	0.6	499	50	0.2	0.1124375001577611	0.3303710593222542	0.22	0.18	0.22	0.01999999999999999	0.12	0.18	0.54	0.54	0.7650121868604807	0.6968790057630262	0.02	0.08	0.1	0.8	0.1	0.4	0.5	0.0	1.0	1.0	0.98
seed2	moderately_unequal	radial_node	0.6	999	50	0.2	0.1124375001577611	0.3303710593222542	0.22	0.2	0.22	0.01999999999999999	0.12	0.2	0.54	0.54	0.7750807354645377	0.7087365913139315	0.0	0.08	0.12	0.8	0.0	0.4	0.6	0.0	1.0	1.0	1.0
seed2	moderately_unequal	radial_node	1.0	199	50	0.5	0.3664451431682858	0.6335548568317142	0.5	0.46	0.5	0.0	0.4	0.4	0.36	0.36	1.7572009406906428	1.7976540402058994	0.1	0.1	0.3	0.5	0.2	0.2	0.6	0.0	0.94	0.98	0.9
seed2	moderately_unequal	radial_node	1.0	499	50	0.5	0.3664451431682858	0.6335548568317142	0.46	0.46	0.46	-0.03999999999999998	0.38	0.42	0.4	0.4	1.774361949981363	1.8081724965592405	0.08	0.12	0.3	0.5	0.16	0.24	0.6	0.0	0.98	0.98	0.94
seed2	moderately_unequal	radial_node	1.0	999	50	0.52	0.38511744890044614	0.6520286471342196	0.46	0.48	0.48	-0.040000000000000036	0.4	0.46	0.42	0.42	1.7701123059928188	1.7989585270351447	0.06	0.12	0.34	0.48	0.11538461538461539	0.23076923076923078	0.6538461538461539	0.0	1.0	1.0	1.0
seed2	moderately_unequal	radial_node	1.4	199	50	0.58	0.4423344176857823	0.7062499664528802	0.6	0.54	0.6	0.020000000000000018	0.52	0.54	0.54	0.54	1.8787243315646063	1.830842187667367	0.04	0.06	0.48	0.42	0.06896551724137931	0.10344827586206896	0.8275862068965517	0.0	0.96	0.98	0.96
seed2	moderately_unequal	radial_node	1.4	499	50	0.58	0.4423344176857823	0.7062499664528802	0.66	0.54	0.66	0.08000000000000007	0.52	0.54	0.58	0.58	1.8657020587013158	1.8089971580119546	0.04	0.06	0.48	0.42	0.06896551724137931	0.10344827586206896	0.8275862068965517	0.0	1.0	0.98	0.96
seed2	moderately_unequal	radial_node	1.4	999	50	0.56	0.4230602802165686	0.6883780078874284	0.66	0.56	0.66	0.09999999999999998	0.5	0.56	0.58	0.58	1.8795180857576952	1.822666456327235	0.0	0.06	0.5	0.44	0.0	0.10714285714285714	0.8928571428571429	0.0	1.0	1.0	1.0
