target_profile_correlation	sigma_x	sigma_y	latent_gaussian_correlation	population_cv_x	population_cv_y	population_cv_product	population_cdelta_star	n	repetitions	mean_sample_profile_correlation	mean_sample_cdelta_star	sd_sample_cdelta_star	relative_cdelta_bias
0.3	0.25	0.25	0.30661661584678596	0.2539575927548915	0.2539575927548915	0.06449445891785932	1.0193483376753578	100	3000	0.2992625598406773	1.0190875309739817	0.00699007403402751	-0.0002558563071489717
0.3	0.25	0.25	0.30661661584678596	0.2539575927548915	0.2539575927548915	0.06449445891785932	1.0193483376753578	500	3000	0.3007486007800458	1.0193631476502663	0.003161766971945817	1.4528865512453137e-05
0.3	0.25	0.25	0.30661661584678596	0.2539575927548915	0.2539575927548915	0.06449445891785932	1.0193483376753578	2000	3000	0.3009816571405663	1.0194088746686343	0.001607435524557897	5.938793544757459e-05
0.3	0.5	0.5	0.32708531255348006	0.5329403500277882	0.5329403500277882	0.2840254166877414	1.0852076250063225	100	3000	0.3004868118416456	1.0834276499553197	0.03439824856929735	-0.0016402161300630436
0.3	0.5	0.5	0.32708531255348006	0.5329403500277882	0.5329403500277882	0.2840254166877414	1.0852076250063225	500	3000	0.30020819839232066	1.0850509070678447	0.015531648231490324	-0.00014441286152677701
0.3	0.5	0.5	0.32708531255348006	0.5329403500277882	0.5329403500277882	0.2840254166877414	1.0852076250063225	2000	3000	0.3002745107345674	1.0853054008659266	0.007846351535804864	9.009875838605907e-05
0.3	1.0	1.0	0.41573522184362866	1.3108324944320862	1.3108324944320862	1.718281828459045	1.5154845485377135	100	3000	0.3236670558232661	1.4849246275621244	0.3257889616612794	-0.020165115510465847
0.3	1.0	1.0	0.41573522184362866	1.3108324944320862	1.3108324944320862	1.718281828459045	1.5154845485377135	500	3000	0.30920771474226927	1.5108560571790945	0.19167643401702128	-0.003054132992042047
0.3	1.0	1.0	0.41573522184362866	1.3108324944320862	1.3108324944320862	1.718281828459045	1.5154845485377135	2000	3000	0.3040028486740008	1.513821147424713	0.09240681048923666	-0.0010976034791021494
0.3	1.5	1.5	0.5626269590444112	2.913371901484348	2.913371901484348	8.487735836358526	3.546320750907558	100	3000	0.38651418923857706	2.9038605859863673	2.2124652645367786	-0.18116245259450248
0.3	1.5	1.5	0.5626269590444112	2.913371901484348	2.913371901484348	8.487735836358526	3.546320750907558	500	3000	0.3550195579084395	3.3394980078084195	2.4345762886723223	-0.05832037134436008
0.3	1.5	1.5	0.5626269590444112	2.913371901484348	2.913371901484348	8.487735836358526	3.546320750907558	2000	3000	0.32981826484596277	3.4224160264181505	1.4638149538291403	-0.03493895030721583
0.3	0.5	1.5	0.5098646155250627	0.5329403500277882	2.913371901484348	1.5526534409381914	1.4657960322814574	100	3000	0.37778305956993535	1.4285972455347578	0.22756500161979812	-0.02537787381563661
0.3	0.5	1.5	0.5098646155250627	0.5329403500277882	2.913371901484348	1.5526534409381914	1.4657960322814574	500	3000	0.34551775850271443	1.4534935791227575	0.14260247206155577	-0.008393018460796098
0.3	0.5	1.5	0.5098646155250627	0.5329403500277882	2.913371901484348	1.5526534409381914	1.4657960322814574	2000	3000	0.3255839508687116	1.4632511726877886	0.08060476792927244	-0.0017361621519113024
