n	latent_correlation	population_cdelta	interval_method	repetitions	n_boot	successful_rate	coverage_rate	coverage_wilson_low	coverage_wilson_high	mean_width	mean_estimate_bias
20	0.0	1.0	percentile	300	399	1.0	1.0	0.9873570287754538	0.9999999999999998	0.4785651321956984	-0.003835167962478181
20	0.0	1.0	basic	300	399	1.0	0.9933333333333333	0.9760224167496929	0.998169851642088	0.4785651321956984	-0.003835167962478181
20	0.0	1.0	bca	300	399	1.0	0.9766666666666667	0.9526280277317246	0.9886523397008747	0.4789492346761105	-0.003835167962478181
20	0.0	1.0	normal	300	399	1.0	1.0	0.9873570287754538	0.9999999999999998	0.4644302770537086	-0.003835167962478181
20	0.2	1.0413313097025174	percentile	300	399	1.0	1.0	0.9873570287754538	0.9999999999999998	0.5182330831072083	0.007168175071452065
20	0.2	1.0413313097025174	basic	300	399	1.0	1.0	0.9873570287754538	0.9999999999999998	0.5182330831072083	0.007168175071452065
20	0.2	1.0413313097025174	bca	300	399	1.0	0.9833333333333333	0.9615846051669054	0.9928605226493666	0.5352221605423056	0.007168175071452065
20	0.2	1.0413313097025174	normal	300	399	1.0	1.0	0.9873570287754538	0.9999999999999998	0.5033463413905147	0.007168175071452065
20	0.5	1.1065532454978906	percentile	300	399	1.0	1.0	0.9873570287754538	0.9999999999999998	0.5241465918959646	0.002430772521652802
20	0.5	1.1065532454978906	basic	300	399	1.0	0.9933333333333333	0.9760224167496929	0.998169851642088	0.5241465918959646	0.002430772521652802
20	0.5	1.1065532454978906	bca	300	399	1.0	0.98	0.9570603791821394	0.9908023684422963	0.5567455067674775	0.002430772521652802
20	0.5	1.1065532454978906	normal	300	399	1.0	1.0	0.9873570287754538	0.9999999999999998	0.514921056456309	0.002430772521652802
40	0.0	1.0	percentile	300	399	1.0	0.99	0.9710165066376601	0.9965933815622847	0.23032546476551335	0.002881512672078035
40	0.0	1.0	basic	300	399	1.0	0.9966666666666667	0.9813633063054688	0.9994113422781488	0.2303254647655134	0.002881512672078035
40	0.0	1.0	bca	300	399	1.0	0.9733333333333334	0.9482710570494102	0.9864269301913529	0.23436269767404994	0.002881512672078035
40	0.0	1.0	normal	300	399	1.0	1.0	0.9873570287754538	0.9999999999999998	0.22838954356042515	0.002881512672078035
40	0.2	1.0413313097025174	percentile	300	399	1.0	0.9933333333333333	0.9760224167496929	0.998169851642088	0.22865450327953604	-0.002267071852634972
40	0.2	1.0413313097025174	basic	300	399	1.0	1.0	0.9873570287754538	0.9999999999999998	0.22865450327953604	-0.002267071852634972
40	0.2	1.0413313097025174	bca	300	399	1.0	0.9633333333333334	0.9355461518281071	0.979404694837147	0.2342957525562761	-0.002267071852634972
40	0.2	1.0413313097025174	normal	300	399	1.0	1.0	0.9873570287754538	0.9999999999999998	0.22691082869706336	-0.002267071852634972
40	0.5	1.1065532454978906	percentile	300	399	1.0	0.9833333333333333	0.9615846051669054	0.9928605226493666	0.2429790438775565	-0.0037543565751856356
40	0.5	1.1065532454978906	basic	300	399	1.0	0.99	0.9710165066376601	0.9965933815622847	0.2429790438775565	-0.0037543565751856356
40	0.5	1.1065532454978906	bca	300	399	1.0	0.9766666666666667	0.9526280277317246	0.9886523397008747	0.2550633524629913	-0.0037543565751856356
40	0.5	1.1065532454978906	normal	300	399	1.0	0.99	0.9710165066376601	0.9965933815622847	0.2434260233596919	-0.0037543565751856356
80	0.0	1.0	percentile	300	399	1.0	0.9633333333333334	0.9355461518281071	0.979404694837147	0.11672580171875233	-0.0002870794096211382
80	0.0	1.0	basic	300	399	1.0	0.9833333333333333	0.9615846051669054	0.9928605226493666	0.1167258017187523	-0.0002870794096211382
80	0.0	1.0	bca	300	399	1.0	0.9333333333333333	0.899276940483885	0.9564324844548417	0.11925877049779904	-0.0002870794096211382
80	0.0	1.0	normal	300	399	1.0	0.9733333333333334	0.9482710570494102	0.9864269301913529	0.11714067239365161	-0.0002870794096211382
80	0.2	1.0413313097025174	percentile	300	399	1.0	0.9666666666666667	0.9397381741959452	0.9817950526611452	0.1252464228825148	-0.004173520122290109
80	0.2	1.0413313097025174	basic	300	399	1.0	0.9733333333333334	0.9482710570494102	0.9864269301913529	0.1252464228825148	-0.004173520122290109
80	0.2	1.0413313097025174	bca	300	399	1.0	0.95	0.9191529665272558	0.9694683593706526	0.12817673335423516	-0.004173520122290109
80	0.2	1.0413313097025174	normal	300	399	1.0	0.9733333333333334	0.9482710570494102	0.9864269301913529	0.12568147220519815	-0.004173520122290109
80	0.5	1.1065532454978906	percentile	300	399	1.0	0.9366666666666666	0.9032086875144784	0.9590831176160847	0.1372423932007299	-0.0007554996365315425
80	0.5	1.1065532454978906	basic	300	399	1.0	0.9166666666666666	0.8798783980359391	0.9429191259436057	0.1372423932007299	-0.0007554996365315425
80	0.5	1.1065532454978906	bca	300	399	1.0	0.9233333333333333	0.8875898961498251	0.9483723882133924	0.14561649393517187	-0.0007554996365315425
80	0.5	1.1065532454978906	normal	300	399	1.0	0.93	0.8953639895740667	0.9537630551728237	0.13957998387405166	-0.0007554996365315425
160	0.0	1.0	percentile	300	399	1.0	0.9633333333333334	0.9355461518281071	0.979404694837147	0.07493875309299225	0.0005194414150029303
160	0.0	1.0	basic	300	399	1.0	0.97	0.9439774608583589	0.9841381461905676	0.07493875309299225	0.0005194414150029303
160	0.0	1.0	bca	300	399	1.0	0.9466666666666667	0.9151308582251686	0.9669080874809034	0.07616914411858015	0.0005194414150029303
160	0.0	1.0	normal	300	399	1.0	0.97	0.9439774608583589	0.9841381461905676	0.07554302103947097	0.0005194414150029303
160	0.2	1.0413313097025174	percentile	300	399	1.0	0.9433333333333334	0.9111340419775253	0.9643225235367106	0.07876383280325025	0.0002429424322321072
160	0.2	1.0413313097025174	basic	300	399	1.0	0.9266666666666666	0.8914686583942826	0.9510760061607713	0.07876383280325025	0.0002429424322321072
160	0.2	1.0413313097025174	bca	300	399	1.0	0.92	0.8837267595665261	0.9456531446048553	0.08087861717659177	0.0002429424322321072
160	0.2	1.0413313097025174	normal	300	399	1.0	0.9333333333333333	0.899276940483885	0.9564324844548417	0.07949305198613506	0.0002429424322321072
160	0.5	1.1065532454978906	percentile	300	399	1.0	0.9233333333333333	0.8875898961498251	0.9483723882133924	0.08874073104910113	-0.0016090901008785075
160	0.5	1.1065532454978906	basic	300	399	1.0	0.92	0.8837267595665261	0.9456531446048553	0.08874073104910113	-0.0016090901008785075
160	0.5	1.1065532454978906	bca	300	399	1.0	0.91	0.8722229892013517	0.9374097743945206	0.09253616160184922	-0.0016090901008785075
160	0.5	1.1065532454978906	normal	300	399	1.0	0.93	0.8953639895740667	0.9537630551728237	0.09023930325985169	-0.0016090901008785075
