background	kind	n	k_extremes	scenario	target_reference	target_corr	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	calibration_repetitions	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_raw	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
lognormal	l2	40	3	matched	explicit target_corr=0.35	0.35	2.5	0.3404	0.9356	0.05	180	500	499	226	0.452	0.4089	0.4958	41.435	0.9341	0.3197	0.0658	0.002	0.058	0.1661	3.0
lognormal	l2	40	3	negative_control	explicit target_corr=0.35	0.35	2.5	0.3404	0.9356	0.05	180	500	499	15	0.03	0.0183	0.0489	39.8991	0.9015	-0.0229	0.5465	0.07	0.585	0.946	0.0
lognormal	l2	40	3	independent_null	explicit target_corr=0.35	0.35	2.5	0.3404	0.9356	0.05	180	500	499	21	0.042	0.0276	0.0634	40.0123	0.9008	0.0016	0.498	0.054	0.52	0.948	0.204
normal	l2	40	1	matched	explicit target_corr=0.55	0.55	4.0	0.5656	0.9543	0.05	180	500	499	493	0.986	0.9714	0.9932	42.887	0.9541	0.5658	0.0161	0.002	0.014	0.038	1.0
normal	l2	40	1	negative_control	explicit target_corr=0.55	0.55	4.0	0.5656	0.9543	0.05	180	500	499	16	0.032	0.0198	0.0513	39.9096	0.8882	-0.0173	0.5255	0.0679	0.529	0.964	0.0
normal	l2	40	1	independent_null	explicit target_corr=0.55	0.55	4.0	0.5656	0.9543	0.05	180	500	499	34	0.068	0.0491	0.0935	40.0391	0.8912	0.0068	0.4878	0.0399	0.48	0.9461	0.028
normal	l2	40	2	matched	explicit target_corr=0.55	0.55	3.5	0.6013	0.9606	0.05	180	500	499	500	1.0	0.9924	1.0	42.9233	0.961	0.608	0.0043	0.002	0.004	0.01	2.0
normal	l2	40	2	negative_control	explicit target_corr=0.55	0.55	3.5	0.6013	0.9606	0.05	180	500	499	2	0.004	0.0011	0.0145	39.8536	0.8926	-0.0305	0.5423	0.1159	0.54	0.9482	0.0
normal	l2	40	2	independent_null	explicit target_corr=0.55	0.55	3.5	0.6013	0.9606	0.05	180	500	499	21	0.042	0.0276	0.0634	40.0025	0.8957	0.0006	0.5018	0.058	0.492	0.9501	0.116
normal	l2	40	3	matched	explicit target_corr=0.55	0.55	3.0	0.5547	0.9613	0.05	180	500	499	492	0.984	0.9687	0.9919	42.2919	0.9609	0.552	0.0058	0.002	0.002	0.02	3.0
normal	l2	40	3	negative_control	explicit target_corr=0.55	0.55	3.0	0.5547	0.9613	0.05	180	500	499	6	0.012	0.0055	0.0259	39.8454	0.906	-0.0368	0.5636	0.1219	0.596	0.9481	0.0
normal	l2	40	3	independent_null	explicit target_corr=0.55	0.55	3.0	0.5547	0.9613	0.05	180	500	499	26	0.052	0.0357	0.0751	39.998	0.9101	-0.0004	0.5079	0.0458	0.523	0.942	0.226
t3	l2	40	1	matched	explicit target_corr=0.55	0.55	8.0	0.5679	0.9295	0.05	180	500	499	428	0.856	0.8225	0.8841	44.9351	0.9348	0.5889	0.0271	0.002	0.019	0.082	1.0
t3	l2	40	1	negative_control	explicit target_corr=0.55	0.55	8.0	0.5679	0.9295	0.05	180	500	499	13	0.026	0.0153	0.044	39.9128	0.8281	-0.0104	0.5054	0.07	0.498	0.9442	0.0
t3	l2	40	1	independent_null	explicit target_corr=0.55	0.55	8.0	0.5679	0.9295	0.05	180	500	499	18	0.036	0.0229	0.0562	39.963	0.8321	-0.0044	0.509	0.0639	0.524	0.96	0.018
t3	l2	40	2	matched	explicit target_corr=0.55	0.55	6.0	0.5564	0.9406	0.05	180	500	499	407	0.814	0.7775	0.8457	43.6806	0.9359	0.5313	0.025	0.002	0.006	0.1081	2.0
t3	l2	40	2	negative_control	explicit target_corr=0.55	0.55	6.0	0.5564	0.9406	0.05	180	500	499	12	0.024	0.0138	0.0415	39.8444	0.8545	-0.0226	0.5248	0.116	0.524	0.9483	0.0
t3	l2	40	2	independent_null	explicit target_corr=0.55	0.55	6.0	0.5564	0.9406	0.05	180	500	499	31	0.062	0.044	0.0867	40.0591	0.8596	0.008	0.4965	0.0397	0.487	0.9521	0.122
t3	l2	40	3	matched	explicit target_corr=0.55	0.55	5.5	0.5458	0.9443	0.05	180	500	499	430	0.86	0.8268	0.8877	43.4351	0.9468	0.5615	0.0222	0.002	0.002	0.1183	3.0
t3	l2	40	3	negative_control	explicit target_corr=0.55	0.55	5.5	0.5458	0.9443	0.05	180	500	499	7	0.014	0.0068	0.0286	39.6991	0.8655	-0.0488	0.5854	0.1256	0.597	0.96	0.0
t3	l2	40	3	independent_null	explicit target_corr=0.55	0.55	5.5	0.5458	0.9443	0.05	180	500	499	20	0.04	0.026	0.061	39.9732	0.8724	-0.0032	0.5018	0.062	0.502	0.9421	0.23
lognormal	l2	40	1	matched	explicit target_corr=0.55	0.55	5.0	0.589	0.9379	0.05	180	500	499	467	0.934	0.9088	0.9526	44.4586	0.9403	0.5948	0.0212	0.002	0.018	0.054	1.0
lognormal	l2	40	1	negative_control	explicit target_corr=0.55	0.55	5.0	0.589	0.9379	0.05	180	500	499	14	0.028	0.0168	0.0464	39.8754	0.843	-0.0166	0.5279	0.0757	0.539	0.964	0.0
lognormal	l2	40	1	independent_null	explicit target_corr=0.55	0.55	5.0	0.589	0.9379	0.05	180	500	499	24	0.048	0.0325	0.0704	40.0084	0.8453	0.0016	0.499	0.05	0.49	0.9501	0.028
lognormal	l2	40	2	matched	explicit target_corr=0.55	0.55	3.5	0.4971	0.9395	0.05	180	500	499	476	0.952	0.9296	0.9675	42.8643	0.9411	0.5046	0.0148	0.002	0.01	0.046	2.0
lognormal	l2	40	2	negative_control	explicit target_corr=0.55	0.55	3.5	0.4971	0.9395	0.05	180	500	499	20	0.04	0.026	0.061	39.8453	0.8729	-0.0273	0.5463	0.0754	0.555	0.96	0.0
lognormal	l2	40	2	independent_null	explicit target_corr=0.55	0.55	3.5	0.4971	0.9395	0.05	180	500	499	23	0.046	0.0308	0.0681	40.0725	0.8788	0.0119	0.4821	0.0579	0.469	0.9541	0.116
