design	scenario	strength	n_perm	repetitions	omnibus_reject_count	omnibus_rejection_rate	wilson_low	wilson_high	profile_rejection_rate	mantel_rejection_rate	best_component_power	omnibus_regret	adjusted_profile_rejection_rate	adjusted_mantel_rejection_rate	winner_profile_rate	winner_expected_rate	mean_profile_z	mean_mantel_z	profile_only_rate	mantel_only_rate	both_rate	unresolved_rate	winner_agreement_with_999	decision_agreement_with_999	attribution_agreement_with_999	profile_only_share_given_reject	mantel_only_share_given_reject	both_share_given_reject	unresolved_share_given_reject
moderately_unequal	mixed_covariate	1.4	499	100	77	0.77	0.6784561697712622	0.8415673411969654	0.75	0.79	0.79	0.019999999999999962	0.68	0.75	0.21	nan	2.3844557125598285	2.775810975722601	0.02	0.09	0.66	0.23	0.99	0.99	0.98	0.025974025974025976	0.11688311688311688	0.8571428571428571	0.0
moderately_unequal	mixed_covariate	1.4	999	100	78	0.78	0.6892964648501421	0.8499871761539459	0.74	0.78	0.78	0.0	0.68	0.77	0.2	nan	2.3981046637784527	2.8019979017357537	0.01	0.1	0.67	0.22	1.0	1.0	1.0	0.01282051282051282	0.1282051282051282	0.8589743589743589	0.0
moderately_unequal	radial_node	0.6	199	100	17	0.17	0.10893566114059931	0.25548004767601123	0.19	0.17	0.19	0.01999999999999999	0.1	0.16	0.54	0.54	0.7589553075859066	0.7125140422003785	0.01	0.07	0.09	0.83	0.99	0.99	0.97	0.058823529411764705	0.4117647058823529	0.5294117647058824	0.0
moderately_unequal	radial_node	0.6	499	100	17	0.17	0.10893566114059931	0.25548004767601123	0.18	0.17	0.19	0.01999999999999999	0.1	0.16	0.55	0.55	0.7572412148182511	0.7043145978976943	0.01	0.07	0.09	0.83	1.0	0.99	0.96	0.058823529411764705	0.4117647058823529	0.5294117647058824	0.0
moderately_unequal	radial_node	0.6	999	100	18	0.18	0.1170022549894635	0.2666735838630073	0.2	0.18	0.2	0.01999999999999999	0.12	0.18	0.55	0.55	0.763691395699567	0.7103698062751856	0.0	0.06	0.12	0.82	1.0	1.0	1.0	0.0	0.3333333333333333	0.6666666666666666	0.0
moderately_unequal	radial_node	1.0	199	100	43	0.43	0.33733298524110106	0.5278461045078768	0.44	0.39	0.44	0.010000000000000009	0.35	0.35	0.44	0.44	1.6603310305182788	1.6644775657156066	0.08	0.08	0.27	0.57	0.95	0.96	0.92	0.18604651162790697	0.18604651162790697	0.627906976744186	0.0
moderately_unequal	radial_node	1.0	499	100	44	0.44	0.34672026630160796	0.5377189534832302	0.43	0.4	0.43	-0.009999999999999983	0.35	0.37	0.49	0.49	1.6828852332683493	1.6757554949890392	0.07	0.09	0.28	0.56	0.98	0.97	0.95	0.1590909090909091	0.20454545454545456	0.6363636363636364	0.0
moderately_unequal	radial_node	1.0	999	100	47	0.47	0.3751081795934127	0.5671114302990063	0.43	0.44	0.44	-0.03	0.36	0.41	0.49	0.49	1.677901055962267	1.672544964175209	0.06	0.11	0.3	0.53	1.0	1.0	1.0	0.1276595744680851	0.23404255319148937	0.6382978723404256	0.0
moderately_unequal	radial_node	1.4	199	100	67	0.67	0.5730534379509052	0.7543687726587197	0.69	0.63	0.69	0.020000000000000018	0.62	0.6	0.54	0.54	2.124757817723038	2.0909752254091027	0.07	0.05	0.55	0.33	0.94	0.98	0.93	0.1044776119402985	0.07462686567164178	0.8208955223880597	0.0
moderately_unequal	radial_node	1.4	499	100	68	0.68	0.5833738138954762	0.7633085267500092	0.72	0.62	0.72	0.040000000000000036	0.62	0.6	0.55	0.55	2.1305991614094584	2.094720738074997	0.08	0.06	0.54	0.32	0.99	0.99	0.97	0.11764705882352941	0.08823529411764706	0.7941176470588235	0.0
