phase	path	scenario	null_component	false_component	repetitions	n_perm	mean_null_effect	mean_false_effect	mean_null_z	sd_null_z	null_z_q05	null_z_q95	unadjusted_null_rejection	unadjusted_wilson_low	unadjusted_wilson_high	adjusted_null_rejection	adjusted_wilson_low	adjusted_wilson_high	false_component_rejection	omnibus_rejection	mean_max_critical_95	mean_reference_z_correlation	ks_null_z_vs_global
pilot	profile_null_mantel_alt	global_null	profile	mantel	120	199	-0.005687527151455355	-0.005011127318564114	-0.05058297661484909	0.9691921901794927	-1.5215478818357628	1.8936122375276825	0.058333333333333334	0.028541010000220295	0.11552592033630113	0.025	0.008538174769902228	0.0709300333278661	0.05	0.05	2.0202303607302246	0.9287444445591786	0.0
pilot	profile_null_mantel_alt	partial_null	profile	mantel	120	199	0.0011451078297621052	0.3541772898372246	-0.0016108161586853391	0.9679349588967062	-1.5269090804824208	1.7641357944480933	0.05	0.023114364414465793	0.10480288536236734	0.041666666666666664	0.017926716880109515	0.09384085233703535	0.975	0.975	1.9517780669316447	0.9353258449434684	0.08333333333333337
pilot	mantel_null_profile_alt	global_null	mantel	profile	300	199	-0.000897635738446426	-0.007346776314799865	-0.025396139766704705	0.9221521372893081	-0.7928264778235065	1.7011296976473123	0.043333333333333335	0.025496448084407246	0.07271746563401146	0.03333333333333333	0.01820494733885481	0.06026182580405482	0.04666666666666667	0.04	2.32794506390315	0.05132121873824254	0.0
pilot	mantel_null_profile_alt	partial_null	mantel	profile	300	199	-9.116659100071195e-05	0.8046850472578136	-0.00222046680290847	0.09619039548806498	-0.15179904412564063	0.1526934673825293	0.0	8.673617379884035e-19	0.012642971224546034	0.0	8.673617379884035e-19	0.012642971224546034	1.0	1.0	2.245064712604239	0.05269082144026873	0.5566666666666668
