kind	scale_design	df_label	scenario	n	k_extremes	magnitude	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high
l1	common_mad	t3	matched	80	2	8.0	300	299	300	1.0	0.9874	1.0
l1	common_mad	t3	independent_null	80	2	8.0	300	299	15	0.05	0.0305	0.0808
l1	common_mad	t2.5	matched	80	2	8.0	300	299	272	0.9067	0.8684	0.9346
l1	common_mad	t2.5	independent_null	80	2	8.0	300	299	13	0.0433	0.0255	0.0727
l1	common_mad	t2.2	matched	80	2	8.0	300	299	251	0.8367	0.7906	0.8742
l1	common_mad	t2.2	independent_null	80	2	8.0	300	299	16	0.0533	0.0331	0.0849
l1	common_mad	t2	matched	80	2	8.0	300	299	223	0.7433	0.691	0.7895
l1	common_mad	t2	independent_null	80	2	8.0	300	299	16	0.0533	0.0331	0.0849
l1	common_variance	normal	matched	80	2	8.0	300	299	300	1.0	0.9874	1.0
l1	common_variance	normal	independent_null	80	2	8.0	300	299	8	0.0267	0.0136	0.0517
l1	common_variance	t5	matched	80	2	8.0	300	299	300	1.0	0.9874	1.0
l1	common_variance	t5	independent_null	80	2	8.0	300	299	10	0.0333	0.0182	0.0603
l1	common_variance	t4	matched	80	2	8.0	300	299	300	1.0	0.9874	1.0
l1	common_variance	t4	independent_null	80	2	8.0	300	299	9	0.03	0.0159	0.056
l1	common_variance	t3	matched	80	2	8.0	300	299	299	0.9967	0.9814	0.9994
l1	common_variance	t3	independent_null	80	2	8.0	300	299	18	0.06	0.0383	0.0928
l1	common_variance	t2.5	matched	80	2	8.0	300	299	298	0.9933	0.976	0.9982
l1	common_variance	t2.5	independent_null	80	2	8.0	300	299	14	0.0467	0.028	0.0768
l1	common_variance	t2.2	matched	80	2	8.0	300	299	298	0.9933	0.976	0.9982
l1	common_variance	t2.2	independent_null	80	2	8.0	300	299	17	0.0567	0.0357	0.0889
