phase	path	scenario	null_component	false_component	repetitions	n_perm	mean_null_effect	mean_false_effect	mean_null_z	sd_null_z	null_z_q05	null_z_q95	unadjusted_null_rejection	unadjusted_wilson_low	unadjusted_wilson_high	adjusted_null_rejection	adjusted_wilson_low	adjusted_wilson_high	false_component_rejection	omnibus_rejection	mean_max_critical_95	mean_reference_z_correlation	ks_null_z_vs_global
confirmatory	profile_null_mantel_alt	global_null	profile	mantel	500	499	0.005158251113866923	0.0011464028417751113	0.0380893968498897	0.9789829349244795	-1.4729263232135612	1.846304836365937	0.056	0.03902562068315149	0.0797447936467069	0.044	0.02923395562860718	0.06571944287232845	0.05	0.052	2.0052457396574597	0.9286672589316995	0.0
confirmatory	profile_null_mantel_alt	partial_null	profile	mantel	500	499	-0.00982204379365444	0.36925005795156446	-0.07318285250240017	1.0348361067285432	-1.6498211226837514	1.8166302331140545	0.056	0.03902562068315149	0.0797447936467069	0.038	0.024460118055830385	0.05858477253064388	0.972	0.97	1.9599375690386183	0.9301088010005969	0.07599999999999996
confirmatory	mantel_null_profile_alt	global_null	mantel	profile	500	499	-3.1334087970842696e-05	-0.0013321685918859733	-0.005953000415837453	1.0833504485705194	-0.8120777165728402	1.9910421101451812	0.052	0.035730265115705276	0.07510114393784553	0.042	0.027632310108451703	0.06335158575433016	0.046	0.054	2.305598670580566	0.05280819762491836	0.0
confirmatory	mantel_null_profile_alt	partial_null	mantel	profile	500	499	5.8490082271928633e-05	0.8038206633128256	0.0043008942523336015	0.07486727688427386	-0.10814000754985194	0.1299454289570402	0.0	4.336808689942018e-19	0.007624340461552241	0.0	4.336808689942018e-19	0.007624340461552241	1.0	1.0	2.281252350180777	0.05099188081105674	0.596
