phase	configuration	node_strength	dyad_strength	dyadic_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
coarse	balanced_node_lognormal_dyad	0.55	0.7	0.3	250	199	0.352	0.364	-0.012	0.0200256863165735	-0.05125034518048406	0.027250345180484064	11	14	77	148	0.0
coarse	balanced_node_lognormal_dyad	0.55	0.7	0.4	250	199	0.372	0.408	-0.036	0.01908593965120601	-0.07340844171636376	0.0014084417163637772	7	16	86	141	0.0
coarse	balanced_node_lognormal_dyad	0.55	0.7	0.5	250	199	0.4	0.44	-0.04	0.021056435927666	-0.08127061441822536	0.0012706144182253604	9	19	91	131	0.0
coarse	balanced_node_lognormal_dyad	0.55	0.7	0.65	250	199	0.44	0.548	-0.108	0.021240258811453076	-0.14963090727044803	-0.06636909272955197	2	29	108	111	0.0
coarse	balanced_node_lognormal_dyad	0.55	0.7	0.8	250	199	0.548	0.664	-0.116	0.02107016391082223	-0.15729752126521157	-0.07470247873478844	1	30	136	83	0.0
coarse	balanced_node_lognormal_dyad	0.55	0.7	1.0	250	199	0.696	0.84	-0.144	0.022249407735450245	-0.18760883916148247	-0.10039116083851751	0	36	174	40	0.0
coarse	imbalanced_node_lognormal_dyad	0.55	0.7	0.0	250	199	0.376	0.36	0.016	0.019609029966444022	-0.022433698734230283	0.05443369873423028	14	10	80	146	0.0
coarse	imbalanced_node_lognormal_dyad	0.55	0.7	0.05	250	199	0.356	0.376	-0.02	0.016476830513636426	-0.0522945878067274	0.012294587806727392	6	11	83	150	0.0
coarse	imbalanced_node_lognormal_dyad	0.55	0.7	0.1	250	199	0.332	0.364	-0.032	0.017809342794248537	-0.06690631187672713	0.00290631187672713	6	14	77	153	0.0
coarse	imbalanced_node_lognormal_dyad	0.55	0.7	0.15	250	199	0.296	0.364	-0.068	0.01957130921983282	-0.10635976607087233	-0.02964023392912768	4	21	70	155	0.0
coarse	imbalanced_node_lognormal_dyad	0.55	0.7	0.2	250	199	0.272	0.348	-0.076	0.021039645117412666	-0.11723770443012882	-0.03476229556987118	5	24	63	158	0.0
coarse	imbalanced_node_lognormal_dyad	0.55	0.7	0.25	250	199	0.264	0.328	-0.064	0.020817045842058412	-0.10480140985043448	-0.023198590149565518	6	22	60	162	0.0
coarse	imbalanced_node_lognormal_dyad	0.55	0.7	0.3	250	199	0.272	0.328	-0.056	0.02166410241236256	-0.09846164072823062	-0.013538359271769385	8	22	60	160	0.0
coarse	imbalanced_node_lognormal_dyad	0.55	0.7	0.4	250	199	0.292	0.372	-0.08	0.019798178489091964	-0.11880442983862025	-0.04119557016137975	3	23	70	154	0.0
coarse	imbalanced_node_lognormal_dyad	0.55	0.7	0.5	250	199	0.316	0.44	-0.124	0.022371812442622332	-0.16784875238753977	-0.08015124761246023	2	33	77	138	0.0
coarse	imbalanced_node_lognormal_dyad	0.55	0.7	0.65	250	199	0.384	0.504	-0.12	0.022814073018881206	-0.16471558311700715	-0.07528441688299284	3	33	93	121	0.0
coarse	imbalanced_node_lognormal_dyad	0.55	0.7	0.8	250	199	0.452	0.644	-0.192	0.02559618445461234	-0.24216852153104018	-0.14183147846895983	1	49	112	88	0.0
coarse	imbalanced_node_lognormal_dyad	0.55	0.7	1.0	250	199	0.628	0.784	-0.156	0.022995023034068682	-0.20107024514677463	-0.11092975485322538	0	39	157	54	0.0
