phase	positive_probability	sign_agreement	magnitude_sigma	magnitude_rho	center_sd	center_rho	dyadic_weight	dyadic_rho	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	median_p_value	mean_observed_profile_weight	mean_realized_sign_agreement	mean_realized_positive_probability	mean_realized_log_radius_sd	mean_realized_log_radius_correlation	mean_realized_center_correlation
seed1	0.5	0.5	0.35	0.55	0.0	0.8	0.15	0.5	profile	400	199	0.335	0.29050908143055376	0.3826299756997641	0.1	0.6196561775499788	0.5009166666666667	0.5	0.3458703928683788	0.5437223940766848	0.7672027789538501
seed1	0.5	0.5	0.35	0.55	0.0	0.8	0.15	0.5	mantel	400	199	0.3075	0.2642873977313039	0.3543748355874003	0.13	0.6196561775499788	0.5009166666666667	0.5	0.3458703928683788	0.5437223940766848	0.7672027789538501
seed1	0.5	0.5	0.35	0.55	0.0	0.8	0.15	0.5	naive_selected	400	199	0.335	0.29050908143055376	0.3826299756997641	0.1	0.6196561775499788	0.5009166666666667	0.5	0.3458703928683788	0.5437223940766848	0.7672027789538501
seed1	0.5	0.5	0.35	0.55	0.0	0.8	0.15	0.5	nested_max	400	199	0.335	0.29050908143055376	0.3826299756997641	0.1	0.6196561775499788	0.5009166666666667	0.5	0.3458703928683788	0.5437223940766848	0.7672027789538501
seed1	0.5	0.5	0.35	0.55	0.0	0.8	0.15	0.5	cv_retrained	400	199	0.34	0.2952956192770117	0.38774831490996325	0.105	0.6196561775499788	0.5009166666666667	0.5	0.3458703928683788	0.5437223940766848	0.7672027789538501
seed1	0.5	0.5	0.35	0.55	0.0	0.8	0.15	0.5	cv_frozen	400	199	0.33	0.28572827595866784	0.377505904114993	0.12	0.6196561775499788	0.5009166666666667	0.5	0.3458703928683788	0.5437223940766848	0.7672027789538501
seed1	0.5	0.5	0.35	0.55	1.0	0.8	0.15	0.5	profile	400	199	0.1675	0.1341055740674824	0.2072201016648248	0.2475	0.5526843340608384	0.5011249999999999	0.4981458333333333	0.34602670639769	0.543225994337984	0.7777452535463908
seed1	0.5	0.5	0.35	0.55	1.0	0.8	0.15	0.5	mantel	400	199	0.1775	0.14317591908715524	0.217959510758466	0.24	0.5526843340608384	0.5011249999999999	0.4981458333333333	0.34602670639769	0.543225994337984	0.7777452535463908
seed1	0.5	0.5	0.35	0.55	1.0	0.8	0.15	0.5	naive_selected	400	199	0.1825	0.14772734739355886	0.22331295950871943	0.21	0.5526843340608384	0.5011249999999999	0.4981458333333333	0.34602670639769	0.543225994337984	0.7777452535463908
seed1	0.5	0.5	0.35	0.55	1.0	0.8	0.15	0.5	nested_max	400	199	0.1725	0.13863520728428091	0.2125953455046833	0.24	0.5526843340608384	0.5011249999999999	0.4981458333333333	0.34602670639769	0.543225994337984	0.7777452535463908
seed1	0.5	0.5	0.35	0.55	1.0	0.8	0.15	0.5	cv_retrained	400	199	0.2	0.16373705973387687	0.24197031686670106	0.19	0.5526843340608384	0.5011249999999999	0.4981458333333333	0.34602670639769	0.543225994337984	0.7777452535463908
seed1	0.5	0.5	0.35	0.55	1.0	0.8	0.15	0.5	cv_frozen	400	199	0.2075	0.17063415822479097	0.2499305339607725	0.21	0.5526843340608384	0.5011249999999999	0.4981458333333333	0.34602670639769	0.543225994337984	0.7777452535463908
