kind	scale_design	df_label	n	k_extremes	magnitude	repetition	matched_c_delta	matched_correlation	matched_p_value	independent_null_c_delta	independent_null_correlation	independent_null_p_value
l2	common_scale_parameter	normal	80	2	8.0	44	1.21813807	0.88470672	0.00333333	0.99835862	-0.006617	0.36333333
l2	common_scale_parameter	normal	80	2	8.0	45	1.24448138	0.91515372	0.00333333	1.00193507	0.00840243	0.29
l2	common_scale_parameter	normal	80	2	8.0	46	1.23602836	0.90796649	0.00333333	1.13425182	0.48936266	0.00666667
l2	common_scale_parameter	normal	80	2	8.0	47	1.21492668	0.91525609	0.00333333	1.00919308	0.03802635	0.14
l2	common_scale_parameter	normal	80	2	8.0	48	1.24347887	0.91107436	0.00333333	0.99395421	-0.02437654	0.45
l2	common_scale_parameter	normal	80	2	8.0	49	1.21276151	0.88793441	0.00333333	0.99087725	-0.03559522	0.51
l2	common_scale_parameter	normal	80	2	8.0	50	1.22121962	0.88339148	0.00333333	1.00106684	0.00389261	0.25333333
l2	common_scale_parameter	normal	80	2	8.0	51	1.24253551	0.89412504	0.00333333	0.97957245	-0.08397074	0.93333333
l2	common_scale_parameter	normal	80	2	8.0	52	1.21566934	0.90949154	0.00333333	0.97426358	-0.09568506	0.99
l2	common_scale_parameter	normal	80	2	8.0	53	1.21311075	0.89826515	0.00333333	0.9947184	-0.01895381	0.42666667
l2	common_scale_parameter	normal	80	2	8.0	54	1.2112	0.8850667	0.00333333	1.00312989	0.0123119	0.21
l2	common_scale_parameter	normal	80	2	8.0	55	1.23038888	0.90805273	0.00333333	0.99986403	-0.00051436	0.28333333
l2	common_scale_parameter	normal	80	2	8.0	56	1.20567388	0.86069333	0.00333333	1.00636147	0.02460457	0.19666667
l2	common_scale_parameter	normal	80	2	8.0	57	1.22473099	0.88749374	0.00333333	0.98152661	-0.07579096	0.83
l2	common_scale_parameter	normal	80	2	8.0	58	1.21813524	0.86462051	0.00333333	1.00611209	0.02430892	0.22666667
l2	common_scale_parameter	normal	80	2	8.0	59	1.22857496	0.8996527	0.00333333	0.976962	-0.09070535	0.95666667
l2	common_scale_parameter	normal	80	2	8.0	60	1.24498875	0.91306649	0.00333333	0.98062235	-0.0773962	0.93
l2	common_scale_parameter	normal	80	2	8.0	61	1.25313709	0.91426447	0.00333333	1.01248247	0.052498	0.09
l2	common_scale_parameter	normal	80	2	8.0	62	1.23844722	0.89152791	0.00333333	0.99661703	-0.01348873	0.38333333
l2	common_scale_parameter	normal	80	2	8.0	63	1.23189314	0.90827859	0.00333333	0.99433312	-0.02246971	0.41
l2	common_scale_parameter	normal	80	2	8.0	64	1.21967757	0.86923154	0.00333333	0.98936198	-0.04632901	0.66
l2	common_scale_parameter	normal	80	2	8.0	65	1.24134033	0.90062995	0.00333333	1.09641643	0.4113627	0.04333333
l2	common_scale_parameter	normal	80	2	8.0	66	1.22605349	0.91178002	0.00333333	0.97512376	-0.09358285	0.96333333
l2	common_scale_parameter	normal	80	2	8.0	67	1.22155319	0.89672807	0.00333333	0.99638855	-0.01461937	0.46333333
l2	common_scale_parameter	normal	80	2	8.0	68	1.2110245	0.886806	0.00333333	0.99425139	-0.02279015	0.42333333
l2	common_scale_parameter	normal	80	2	8.0	69	1.22992942	0.89920901	0.00333333	1.10720715	0.41761464	0.05
l2	common_scale_parameter	normal	80	2	8.0	70	1.220701	0.89760508	0.00333333	0.98380267	-0.06209381	0.75333333
l2	common_scale_parameter	normal	80	2	8.0	71	1.23154786	0.89740159	0.00333333	0.98849015	-0.04039082	0.61333333
l2	common_scale_parameter	normal	80	2	8.0	72	1.22705626	0.91469591	0.00333333	0.9967279	-0.01212472	0.29333333
l2	common_scale_parameter	normal	80	2	8.0	73	1.24661572	0.93652351	0.00333333	0.97397476	-0.09679312	0.99666667
l2	common_scale_parameter	normal	80	2	8.0	74	1.21751228	0.86004156	0.00333333	0.97245309	-0.10772006	0.99
l2	common_scale_parameter	normal	80	2	8.0	75	1.21042418	0.87949484	0.00333333	0.99287895	-0.02818988	0.48
l2	common_scale_parameter	normal	80	2	8.0	76	1.24631399	0.90269717	0.00333333	1.01204164	0.05266467	0.12333333
l2	common_scale_parameter	normal	80	2	8.0	77	1.23660586	0.89748943	0.00333333	0.99425	-0.02118714	0.44
l2	common_scale_parameter	normal	80	2	8.0	78	1.23977933	0.91536156	0.00333333	0.99867547	-0.00534146	0.39666667
l2	common_scale_parameter	normal	80	2	8.0	79	1.21653353	0.90216031	0.00333333	0.99808298	-0.00772887	0.35666667
l2	common_scale_parameter	normal	80	2	8.0	80	1.2172374	0.91693145	0.00333333	1.03245712	0.12344992	0.06
l2	common_scale_parameter	normal	80	2	8.0	81	1.20939963	0.8535673	0.00333333	0.99948454	-0.00191718	0.31333333
l2	common_scale_parameter	normal	80	2	8.0	82	1.23568875	0.89322401	0.00333333	1.0115711	0.0465712	0.18333333
l2	common_scale_parameter	normal	80	2	8.0	83	1.22485217	0.88178557	0.00333333	1.00269746	0.0102447	0.25333333
l2	common_scale_parameter	normal	80	2	8.0	84	1.22456405	0.87743911	0.00333333	0.99413745	-0.02291075	0.48333333
l2	common_scale_parameter	normal	80	2	8.0	85	1.22635634	0.88730056	0.00333333	0.97148102	-0.12078722	1.0
l2	common_scale_parameter	normal	80	2	8.0	86	1.24791353	0.93206754	0.00333333	0.97873431	-0.08027728	0.95333333
l2	common_scale_parameter	normal	80	2	8.0	87	1.25193525	0.93127047	0.00333333	0.98584556	-0.05722364	0.73666667
l2	common_scale_parameter	normal	80	2	8.0	88	1.21671937	0.89285588	0.00333333	1.03112112	0.13344704	0.06666667
l2	common_scale_parameter	normal	80	2	8.0	89	1.21670177	0.86149243	0.00333333	0.98061644	-0.08174099	0.88
l2	common_scale_parameter	normal	80	2	8.0	90	1.2182739	0.89656817	0.00333333	1.01257427	0.05207126	0.14333333
l2	common_scale_parameter	normal	80	2	8.0	91	1.19884246	0.85064835	0.00333333	0.99947905	-0.00217687	0.36
l2	common_scale_parameter	normal	80	2	8.0	92	1.21427149	0.86648504	0.00333333	1.01029077	0.04139767	0.12333333
l2	common_scale_parameter	normal	80	2	8.0	93	1.23418661	0.90965858	0.00333333	0.98158411	-0.06618139	0.88333333
l2	common_scale_parameter	normal	80	2	8.0	94	1.19698804	0.87214352	0.00666667	0.9790307	-0.08363085	0.92333333
l2	common_scale_parameter	normal	80	2	8.0	95	1.21916236	0.87438319	0.00333333	0.97973828	-0.07233282	0.92666667
l2	common_scale_parameter	normal	80	2	8.0	96	1.22593578	0.87707364	0.00333333	0.98631061	-0.05282363	0.77333333
l2	common_scale_parameter	normal	80	2	8.0	97	1.22500263	0.87556062	0.00333333	0.98743703	-0.05497014	0.70666667
l2	common_scale_parameter	normal	80	2	8.0	98	1.23128162	0.88549354	0.00333333	1.00710586	0.02862831	0.25
l2	common_scale_parameter	normal	80	2	8.0	99	1.25646816	0.90713297	0.00333333	0.97445254	-0.0970264	0.97666667
l2	common_scale_parameter	normal	80	2	8.0	100	1.22171779	0.91910852	0.00333333	0.98965641	-0.0407346	0.61
l2	common_scale_parameter	normal	80	2	8.0	101	1.21109734	0.87431075	0.00333333	0.98910666	-0.0427993	0.59
l2	common_scale_parameter	normal	80	2	8.0	102	1.20673251	0.86996447	0.00333333	0.98724835	-0.04690006	0.62
l2	common_scale_parameter	normal	80	2	8.0	103	1.22644187	0.91918644	0.00333333	0.99351834	-0.02468124	0.45333333
l2	common_scale_parameter	normal	80	2	8.0	104	1.20657131	0.87576571	0.00333333	1.01809229	0.07021793	0.10333333
l2	common_scale_parameter	normal	80	2	8.0	105	1.22038974	0.89783876	0.00333333	0.99872105	-0.00512861	0.32333333
l2	common_scale_parameter	normal	80	2	8.0	106	1.20244859	0.85466563	0.00333333	0.99621795	-0.0157931	0.39
l2	common_scale_parameter	normal	80	2	8.0	107	1.21658169	0.87865111	0.00333333	1.00334983	0.01420545	0.23333333
l2	common_scale_parameter	normal	80	2	8.0	108	1.24004728	0.92152213	0.00333333	0.97980342	-0.07890951	0.89333333
l2	common_scale_parameter	normal	80	2	8.0	109	1.21121231	0.89556888	0.00333333	0.97724154	-0.08333419	0.92666667
l2	common_scale_parameter	normal	80	2	8.0	110	1.23478192	0.92197552	0.00333333	1.01227084	0.05010088	0.15
l2	common_scale_parameter	normal	80	2	8.0	111	1.22094211	0.91256312	0.00333333	0.9777054	-0.09277336	0.94
l2	common_scale_parameter	normal	80	2	8.0	112	1.21282014	0.90324823	0.00333333	0.99159001	-0.0347236	0.56333333
l2	common_scale_parameter	normal	80	2	8.0	113	1.21728122	0.91844005	0.00333333	1.00660913	0.02785014	0.19666667
l2	common_scale_parameter	normal	80	2	8.0	114	1.23204822	0.90792502	0.00333333	0.97718008	-0.08298274	0.94333333
l2	common_scale_parameter	normal	80	2	8.0	115	1.22962093	0.90207858	0.00333333	0.99259601	-0.02792453	0.48666667
l2	common_scale_parameter	normal	80	2	8.0	116	1.20788205	0.88952253	0.00333333	0.98385639	-0.07318757	0.84666667
l2	common_scale_parameter	normal	80	2	8.0	117	1.22707731	0.87901479	0.00333333	0.97263244	-0.11199949	0.99666667
l2	common_scale_parameter	normal	80	2	8.0	118	1.21212776	0.89065763	0.00333333	1.00122614	0.0050633	0.34
l2	common_scale_parameter	normal	80	2	8.0	119	1.2257338	0.91235845	0.00333333	0.9831397	-0.06122271	0.79666667
l2	common_scale_parameter	normal	80	2	8.0	120	1.20731349	0.87744755	0.00333333	0.98991566	-0.04317664	0.60333333
l2	common_scale_parameter	normal	80	2	8.0	121	1.253878	0.926723	0.00333333	0.99338643	-0.02572906	0.48
