phase	radial_log_sd	n	repetitions	n_perm	mean_profile_effect	studentized_rejection	studentized_wilson_low	studentized_wilson_high	naive_rejection	naive_wilson_low	naive_wilson_high	median_max_gap_iqr	q95_max_gap_iqr	median_profile_cv_x	median_profile_cv_y	mean_distance_correlation	gap_0p5_pass_rate	gap_0p5_studentized_rejection_among_pass	gap_0p5_false_rejection_per_all	gap_0p75_pass_rate	gap_0p75_studentized_rejection_among_pass	gap_0p75_false_rejection_per_all	gap_0p9_pass_rate	gap_0p9_studentized_rejection_among_pass	gap_0p9_false_rejection_per_all
pilot	0.03	80	300	199	0.9044385987506576	0.9466666666666667	0.9151308582251686	0.9669080874809034	0.9066666666666666	0.8684146029829267	0.934635780421109	0.9447629352894134	0.9554626649369761	0.9137871163149628	0.9082391111868069	0.9996521976634775	0.0	nan	0.0	0.0	nan	0.0	0.0	nan	0.0
pilot	0.1	80	300	199	0.8432241893199116	0.84	0.7942563251514081	0.8771464544159004	0.9033333333333333	0.8646182980304887	0.9318497051817106	0.8261735856362102	0.8606289108408464	0.5348890283849841	0.5386829604897724	0.9961255981878666	0.0	nan	0.0	0.0	nan	0.0	1.0	0.84	0.84
pilot	0.2	80	300	199	0.3269036446226473	0.20333333333333334	0.16167385164165787	0.25249431128490607	0.52	0.4635710820137406	0.5759231991372775	0.6798962898208268	0.7381475097095704	0.2367670939549258	0.2372045063003263	0.9842128367143246	0.0	nan	0.0	0.9666666666666667	0.19655172413793104	0.19	1.0	0.20333333333333334	0.20333333333333334
pilot	0.4	80	300	199	0.07947679051935755	0.03	0.01586185380943231	0.05602253914164096	0.15666666666666668	0.11990681678878562	0.2021080234520693	0.46401016088470837	0.5440392564076226	0.4306908806895632	0.4276452354709753	0.938631860367801	0.76	0.03070175438596491	0.023333333333333334	1.0	0.03	0.03	1.0	0.03	0.03
pilot	0.8	80	300	199	0.014332640009237493	0.016666666666666666	0.00713947735063333	0.0384153948330945	0.05333333333333334	0.03309191251909646	0.08486914177483133	0.23692748141434927	0.35156752897899646	0.8891120649855659	0.8863682301518876	0.7702454280589344	0.9866666666666667	0.016891891891891893	0.016666666666666666	1.0	0.016666666666666666	0.016666666666666666	1.0	0.016666666666666666	0.016666666666666666
