phase	design	scenario	n	repetitions	n_perm	n_bootstrap	studentized_rejection	studentized_wilson_low	studentized_wilson_high	mean_profile_effect	median_spacing_risk	q10_spacing_risk	q90_spacing_risk	rejection_auc_spacing_risk	median_median_density_iqr	q10_median_density_iqr	q90_median_density_iqr	rejection_auc_median_density_iqr	median_valley_density_iqr	q10_valley_density_iqr	q90_valley_density_iqr	rejection_auc_valley_density_iqr	median_bootstrap_reference_spread	q10_bootstrap_reference_spread	q90_bootstrap_reference_spread	rejection_auc_bootstrap_reference_spread	median_bootstrap_large_shift_rate	q10_bootstrap_large_shift_rate	q90_bootstrap_large_shift_rate	rejection_auc_bootstrap_large_shift_rate	median_sqrt_n_bootstrap_reference_spread	q10_sqrt_n_bootstrap_reference_spread	q90_sqrt_n_bootstrap_reference_spread
pilot	external_cv	independent_affine_near_constant	40	150	99	79	0.05333333333333334	0.027269539920193826	0.1017038783819546	-0.01819374084431521	0.2886202258502391	0.19425147273380095	0.46373942359175646	0.4762323943661972	0.45069046130210555	0.400229673056492	0.493842423596174	0.48151408450704225	0.4251291265383764	0.38121786300078786	0.4622056062500547	0.5651408450704225	0.17923468068967152	0.15074955936084	0.21858614384248468	0.4137323943661972	0.06329113924050633	0.02531645569620253	0.10253164556962018	0.53125	1.1335796533447222	0.9534239276940227	1.3824601589908825
pilot	external_cv	independent_strong_skew	40	150	99	79	0.06666666666666667	0.03661185666960744	0.11836235511605896	0.014435314232218234	0.5400420107383205	0.3256609051162026	1.0115683231480703	0.6257142857142857	0.40962726898438223	0.2593159980543644	0.4953689938042412	0.6035714285714285	0.38695419914667023	0.25783886407535994	0.45021773693964345	0.5878571428571429	0.2154244520261817	0.18121210076205718	0.2666723702794731	0.5014285714285714	0.11392405063291139	0.06329113924050633	0.189873417721519	0.4903571428571428	1.3624638641928184	1.1460859559840697	1.6865841582378558
pilot	external_cv	independent_t5	40	150	99	79	0.04666666666666667	0.022786549161261972	0.09318647239912747	-0.004133255666577809	0.32598174510906613	0.21053220761002325	0.5383114113383649	0.48151848151848153	0.420823653042946	0.3652280137253302	0.4696236697835192	0.6433566433566433	0.4005500463005372	0.3535291961757069	0.4475466447044658	0.6473526473526473	0.1913257735630272	0.15314250833338777	0.2279056855196927	0.7822177822177823	0.0759493670886076	0.0379746835443038	0.13924050632911392	0.6233766233766234	1.2100504391055897	0.9685582658496441	1.4414021158885688
pilot	external_cv	profile_null_t5_sign_link	40	150	99	79	0.03333333333333333	0.01432043189809255	0.07565179617877894	0.05231551780306268	0.36929011129086087	0.2976280850738654	0.4472843390242727	0.48551724137931035	0.4424347943454701	0.40421060270338055	0.4913088074103318	0.4262068965517241	0.4066952790460099	0.37002889512745596	0.4598807416445719	0.44689655172413795	0.1772475166442295	0.15001932894250775	0.20943666333813477	0.6137931034482759	0.06329113924050633	0.0379746835443038	0.10126582278481013	0.6144827586206897	1.1210117244087399	0.9488055450166877	1.324593763388779
pilot	external_cv	independent_affine_near_constant	80	150	99	79	0.03333333333333333	0.01432043189809255	0.07565179617877894	-0.0034644930289333465	0.16238470827866464	0.1230132812381974	0.23297318372866618	0.40827586206896554	0.4744805647169329	0.44603180569600626	0.504415822540191	0.5310344827586206	0.45061957734671143	0.4198807309638888	0.47282285167300475	0.45655172413793105	0.12476039703654436	0.10727104599774832	0.14613827966166112	0.7751724137931034	0.0	0.0	0.02531645569620253	0.5517241379310345	1.1158909146943061	0.9594614034738881	1.307100509753397
pilot	external_cv	independent_strong_skew	80	150	99	79	0.02666666666666667	0.010417940822967993	0.06655389051214453	0.00018821659597492084	0.3553571762716843	0.23217440023092736	0.6358153647424751	0.6472602739726028	0.4305635949219475	0.32310106213580014	0.49706646131246623	0.7208904109589042	0.40150454328458585	0.3145811068643846	0.4559563894877243	0.6866438356164384	0.15365977174029827	0.12790332071324292	0.18108246277916334	0.5393835616438356	0.0379746835443038	0.012658227848101266	0.06329113924050633	0.4623287671232877	1.3743747800736323	1.1440020786510723	1.619650785229139
pilot	external_cv	independent_t5	80	150	99	79	0.06	0.03188404420920533	0.11008977083470209	0.0007089868515304196	0.20022940573849168	0.1464302675323863	0.2769271851552456	0.5626477541371159	0.44860868115899755	0.4078338996646841	0.4788803619171322	0.48699763593380613	0.4267198159746195	0.3946625274407269	0.4577987410502333	0.4846335697399527	0.13195823118380545	0.1115627026454445	0.15743016863812678	0.5177304964539007	0.012658227848101266	0.0	0.02531645569620253	0.4641449960598897	1.1802703004704862	0.9978471474752382	1.408098235136428
pilot	external_cv	profile_null_t5_sign_link	80	150	99	79	0.05333333333333334	0.027269539920193826	0.1017038783819546	0.023985050564007418	0.31364254757943066	0.27637460190521435	0.35870435695795644	0.5933098591549296	0.4531761914798532	0.4247442258572761	0.4861697062484929	0.5985915492957746	0.4118798884122926	0.3854010575192234	0.4436292547193236	0.48063380281690143	0.12006638736286748	0.10195192830305248	0.14023428380539657	0.5713028169014085	0.0	0.0	0.012658227848101266	0.5096830985915493	1.0739064158247738	0.9118857684912406	1.2542935654594585
pilot	external_cv	independent_affine_near_constant	160	150	99	79	0.04666666666666667	0.022786549161261972	0.09318647239912747	0.0034948709408466135	0.0974752143533329	0.07423071061933417	0.14073499318426555	0.48951048951048953	0.4839197766286082	0.4647374961217786	0.5051192326333721	0.7492507492507493	0.45806213979989036	0.43717107893474993	0.4825418882943694	0.6793206793206793	0.08900325791122227	0.07477653511154571	0.10157566355184079	0.5564435564435565	0.0	0.0	0.0	0.4965034965034965	1.125812056699451	0.9458566659521498	1.2848418066670626
pilot	external_cv	independent_strong_skew	160	150	99	79	0.02666666666666667	0.010417940822967993	0.06655389051214453	0.00590985258518294	0.2188311765363388	0.1542382198158871	0.3596990002572268	0.5462328767123288	0.4563489285832997	0.3506662477313464	0.5291958277327229	0.5428082191780822	0.42216236439600885	0.3390792586014018	0.46158229384093774	0.601027397260274	0.10954906762448732	0.09207196496622244	0.12648422565516396	0.476027397260274	0.0	0.0	0.012658227848101266	0.3972602739726027	1.3856982769647654	1.1646284717619637	1.5999129646120849
