phase	scenario	method	n_blocks	rooms_per_block	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	median_p_value	mean_observed_profile_weight
seed2	correlated_building_centers	profile	6	10	1000	199	0.033	0.023592927958426907	0.04598126446708159	0.495	0.49748144124490823
seed2	correlated_building_centers	mantel	6	10	1000	199	0.039	0.028658960904180485	0.052869310419501346	0.5	0.49748144124490823
seed2	correlated_building_centers	naive_selected	6	10	1000	199	0.036	0.02611557140738732	0.049435660467207834	0.455	0.49748144124490823
seed2	correlated_building_centers	nested_max	6	10	1000	199	0.03	0.0210937388288347	0.042503414147587126	0.4975	0.49748144124490823
seed2	correlated_building_centers	cv_retrained	6	10	1000	199	0.036	0.02611557140738732	0.049435660467207834	0.49	0.49748144124490823
seed2	correlated_building_centers	cv_frozen	6	10	1000	199	0.034	0.024431348663226313	0.04713519024531107	0.5075000000000001	0.49748144124490823
seed2	high_magnitude_heterogeneity	profile	6	10	1000	199	0.043	0.03207865341171336	0.057419003844084014	0.495	0.5023863610375637
seed2	high_magnitude_heterogeneity	mantel	6	10	1000	199	0.044	0.0329382145884185	0.058551789150407776	0.4975	0.5023863610375637
seed2	high_magnitude_heterogeneity	naive_selected	6	10	1000	199	0.044	0.0329382145884185	0.058551789150407776	0.475	0.5023863610375637
seed2	high_magnitude_heterogeneity	nested_max	6	10	1000	199	0.043	0.03207865341171336	0.057419003844084014	0.5	0.5023863610375637
seed2	high_magnitude_heterogeneity	cv_retrained	6	10	1000	199	0.048	0.036393301020807914	0.06306608865013393	0.485	0.5023863610375637
seed2	high_magnitude_heterogeneity	cv_frozen	6	10	1000	199	0.046	0.03466249276326498	0.06081220394161907	0.495	0.5023863610375637
seed2	few_buildings_correlated_centers	profile	3	16	1000	199	0.051	0.03900094277526684	0.06643548634476165	0.505	0.49959810052699993
seed2	few_buildings_correlated_centers	mantel	3	16	1000	199	0.039	0.028658960904180485	0.052869310419501346	0.495	0.49959810052699993
seed2	few_buildings_correlated_centers	naive_selected	3	16	1000	199	0.051	0.03900094277526684	0.06643548634476165	0.46	0.49959810052699993
seed2	few_buildings_correlated_centers	nested_max	3	16	1000	199	0.046	0.03466249276326498	0.06081220394161907	0.505	0.49959810052699993
seed2	few_buildings_correlated_centers	cv_retrained	3	16	1000	199	0.04	0.02951097368545276	0.05400964412125796	0.5	0.49959810052699993
seed2	few_buildings_correlated_centers	cv_frozen	3	16	1000	199	0.034	0.024431348663226313	0.04713519024531107	0.53	0.49959810052699993
seed2	dyad_dominant_independent_null	profile	6	10	1000	199	0.047	0.0355271051063845	0.06193993808152845	0.51	0.49953333129486477
seed2	dyad_dominant_independent_null	mantel	6	10	1000	199	0.05	0.03813026239274882	0.06531382024425081	0.5075000000000001	0.49953333129486477
seed2	dyad_dominant_independent_null	naive_selected	6	10	1000	199	0.048	0.036393301020807914	0.06306608865013393	0.48	0.49953333129486477
seed2	dyad_dominant_independent_null	nested_max	6	10	1000	199	0.047	0.0355271051063845	0.06193993808152845	0.5075000000000001	0.49953333129486477
seed2	dyad_dominant_independent_null	cv_retrained	6	10	1000	199	0.05	0.03813026239274882	0.06531382024425081	0.495	0.49953333129486477
seed2	dyad_dominant_independent_null	cv_frozen	6	10	1000	199	0.049	0.037261034647360615	0.06419070150661013	0.5175000000000001	0.49953333129486477
