kind	df_label	n	k_extremes	magnitude	scenario	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_index_overlap	mean_p	p05	p50	p95
l2	t5	40	3	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8581	-0.0019	0.2667	0.5189	0.053	0.5233	0.9635
l2	t5	40	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9838	0.8856	3.0	0.0034	0.0033	0.0033	0.0033
l2	t5	40	3	8.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8317	-0.0063	0.2583	0.5163	0.0733	0.5233	0.9603
l2	t5	80	1	4.0	matched	0.05	120	299	54	0.45	0.3639	0.5392	0.9101	0.1972	1.0	0.1039	0.0033	0.0633	0.2975
l2	t5	80	1	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8833	-0.0166	0.0083	0.5553	0.0665	0.605	0.9738
l2	t5	80	1	6.0	matched	0.05	120	299	109	0.9083	0.8433	0.948	0.9223	0.409	1.0	0.0188	0.0033	0.0133	0.0602
l2	t5	80	1	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8636	-0.0041	0.0167	0.5228	0.0498	0.55	0.9448
l2	t5	80	1	8.0	matched	0.05	120	299	119	0.9917	0.9543	0.9985	0.9393	0.6087	1.0	0.0109	0.0033	0.01	0.0235
l2	t5	80	1	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8398	-0.001	0.0167	0.4991	0.0598	0.4933	0.937
l2	t5	80	2	4.0	matched	0.05	120	299	86	0.7167	0.6303	0.7896	0.9195	0.2963	2.0	0.0383	0.0033	0.0233	0.1143
l2	t5	80	2	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8823	-0.0064	0.05	0.5209	0.0632	0.5333	0.94
l2	t5	80	2	6.0	matched	0.05	120	299	119	0.9917	0.9543	0.9985	0.9391	0.5712	2.0	0.0056	0.0033	0.0033	0.0135
l2	t5	80	2	6.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8548	0.0124	0.075	0.458	0.0567	0.4583	0.907
l2	t5	80	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.959	0.7495	2.0	0.0035	0.0033	0.0033	0.0067
l2	t5	80	2	8.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8245	0.0098	0.0583	0.4716	0.0565	0.45	0.9312
l2	t5	80	3	4.0	matched	0.05	120	299	111	0.925	0.8636	0.96	0.9299	0.3888	3.0	0.015	0.0033	0.0033	0.0633
l2	t5	80	3	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8839	-0.0072	0.1083	0.5188	0.0762	0.5533	0.9075
l2	t5	80	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9519	0.6621	3.0	0.0039	0.0033	0.0033	0.0033
l2	t5	80	3	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8522	-0.0017	0.0917	0.5074	0.053	0.4883	0.9368
l2	t5	80	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9686	0.8099	3.0	0.0033	0.0033	0.0033	0.0033
l2	t5	80	3	8.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8202	0.0043	0.1083	0.4871	0.0265	0.4683	0.9502
l2	t5	160	1	4.0	matched	0.05	120	299	22	0.1833	0.1243	0.262	0.8964	0.0898	1.0	0.1883	0.01	0.155	0.511
l2	t5	160	1	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8846	-0.0005	0.0	0.4964	0.0763	0.48	0.9568
l2	t5	160	1	6.0	matched	0.05	120	299	107	0.8917	0.8234	0.9356	0.9058	0.2556	1.0	0.0221	0.0033	0.0133	0.0803
l2	t5	160	1	6.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8758	0.0186	0.0083	0.4526	0.0233	0.415	0.9005
l2	t5	160	1	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9161	0.4132	1.0	0.0093	0.0033	0.0067	0.02
l2	t5	160	1	8.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8555	0.0027	0.0083	0.4862	0.0433	0.4883	0.9335
l2	t5	160	2	4.0	matched	0.05	120	299	66	0.55	0.4608	0.6361	0.904	0.1673	2.0	0.0672	0.0033	0.0417	0.241
l2	t5	160	2	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8827	-0.0062	0.0167	0.5278	0.0797	0.5283	0.9417
l2	t5	160	2	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9193	0.4023	2.0	0.0052	0.0033	0.0033	0.0102
l2	t5	160	2	6.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8631	0.0044	0.025	0.5052	0.0297	0.5133	0.9405
l2	t5	160	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.934	0.5833	2.0	0.0036	0.0033	0.0033	0.0035
l2	t5	160	2	8.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8379	0.005	0.025	0.4722	0.0598	0.4833	0.9337
l2	t5	160	3	4.0	matched	0.05	120	299	100	0.8333	0.7565	0.8894	0.909	0.2327	3.0	0.0234	0.0033	0.01	0.0867
l2	t5	160	3	4.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8809	-0.0041	0.05	0.523	0.063	0.5533	0.8875
l2	t5	160	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9289	0.4932	3.0	0.0038	0.0033	0.0033	0.0035
l2	t5	160	3	6.0	independent_null	0.05	120	299	0	0.0	-0.0	0.031	0.8556	-0.0059	0.075	0.5122	0.0795	0.5283	0.9202
l2	t5	160	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9474	0.6853	3.0	0.0033	0.0033	0.0033	0.0033
l2	t5	160	3	8.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.8266	-0.009	0.05	0.5325	0.0792	0.5467	0.9702
l2	t4	40	1	4.0	matched	0.05	120	299	48	0.4	0.3168	0.4894	0.916	0.2623	1.0	0.1164	0.01	0.075	0.3913
l2	t4	40	1	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8864	0.0105	0.0333	0.4726	0.0757	0.4567	0.9472
l2	t4	40	1	6.0	matched	0.05	120	299	101	0.8417	0.7659	0.8962	0.9342	0.5262	1.0	0.0302	0.0033	0.0233	0.0768
l2	t4	40	1	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8601	0.0143	0.0	0.4484	0.043	0.4117	0.8877
l2	t4	40	1	8.0	matched	0.05	120	299	108	0.9	0.8333	0.9419	0.9502	0.6774	1.0	0.0216	0.0033	0.0183	0.0567
l2	t4	40	1	8.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8285	0.0034	0.0417	0.5275	0.0398	0.5517	0.9472
l2	t4	40	2	4.0	matched	0.05	120	299	75	0.625	0.5358	0.7065	0.9298	0.3654	2.0	0.0668	0.0033	0.0333	0.2342
l2	t4	40	2	4.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.891	0.0355	0.1417	0.4446	0.0395	0.415	0.9138
l2	t4	40	2	6.0	matched	0.05	120	299	116	0.9667	0.9174	0.987	0.9549	0.6624	2.0	0.0082	0.0033	0.0033	0.0433
l2	t4	40	2	6.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8583	0.0001	0.125	0.5138	0.0598	0.5517	0.9515
l2	t4	40	2	8.0	matched	0.05	120	299	118	0.9833	0.9413	0.9954	0.9737	0.8275	2.0	0.0056	0.0033	0.0033	0.01
l2	t4	40	2	8.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8226	-0.0249	0.0833	0.5443	0.0762	0.5467	0.9238
l2	t4	40	3	4.0	matched	0.05	120	299	96	0.8	0.7196	0.8618	0.9439	0.4626	3.0	0.0351	0.0033	0.01	0.1435
l2	t4	40	3	4.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8901	-0.0171	0.175	0.545	0.03	0.5767	0.9433
l2	t4	40	3	6.0	matched	0.05	120	299	117	0.975	0.9291	0.9915	0.9663	0.7253	3.0	0.0061	0.0033	0.0033	0.0133
l2	t4	40	3	6.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8611	-0.016	0.2417	0.5173	0.0667	0.5333	0.9735
l2	t4	40	3	8.0	matched	0.05	120	299	118	0.9833	0.9413	0.9954	0.9785	0.8416	3.0	0.0049	0.0033	0.0033	0.0035
l2	t4	40	3	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8399	0.0077	0.2417	0.4842	0.056	0.485	0.9473
l2	t4	80	1	4.0	matched	0.05	120	299	26	0.2167	0.1524	0.2985	0.8961	0.1342	1.0	0.1786	0.01	0.125	0.514
l2	t4	80	1	4.0	independent_null	0.05	120	299	11	0.0917	0.052	0.1567	0.8835	0.017	0.0167	0.4609	0.0298	0.43	0.96
l2	t4	80	1	6.0	matched	0.05	120	299	95	0.7917	0.7105	0.8547	0.9134	0.3531	1.0	0.0304	0.0033	0.0167	0.094
l2	t4	80	1	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8639	0.0147	0.025	0.4581	0.049	0.435	0.9067
l2	t4	80	1	8.0	matched	0.05	120	299	116	0.9667	0.9174	0.987	0.9273	0.5314	1.0	0.0135	0.0033	0.01	0.0433
l2	t4	80	1	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8426	0.0116	0.0167	0.4667	0.0558	0.4083	0.9433
l2	t4	80	2	4.0	matched	0.05	120	299	61	0.5083	0.42	0.5961	0.9076	0.2317	2.0	0.0741	0.0033	0.0467	0.2577
l2	t4	80	2	4.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8794	0.0052	0.0333	0.4936	0.0298	0.4567	0.9735
l2	t4	80	2	6.0	matched	0.05	120	299	115	0.9583	0.9062	0.9821	0.9284	0.4908	2.0	0.0093	0.0033	0.0033	0.0402
l2	t4	80	2	6.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8528	-0.0134	0.0417	0.5523	0.0567	0.5517	0.9607
l2	t4	80	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.949	0.6809	2.0	0.0041	0.0033	0.0033	0.0067
l2	t4	80	2	8.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8253	-0.0029	0.05	0.5052	0.0532	0.5217	0.9702
l2	t4	80	3	4.0	matched	0.05	120	299	99	0.825	0.7472	0.8826	0.9219	0.3257	3.0	0.0282	0.0033	0.0133	0.1068
l2	t4	80	3	4.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.88	0.0039	0.1167	0.4849	0.0432	0.4267	0.9567
l2	t4	80	3	6.0	matched	0.05	120	299	116	0.9667	0.9174	0.987	0.9411	0.5788	3.0	0.0066	0.0033	0.0033	0.0143
l2	t4	80	3	6.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.8519	-0.0105	0.0917	0.516	0.0895	0.5	0.9
l2	t4	80	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9594	0.7483	3.0	0.0034	0.0033	0.0033	0.0033
l2	t4	80	3	8.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8269	0.0258	0.1167	0.4412	0.0365	0.4117	0.9117
l2	t4	160	1	4.0	matched	0.05	120	299	21	0.175	0.1174	0.2528	0.8846	0.0691	1.0	0.2539	0.0133	0.2117	0.6842
l2	t4	160	1	4.0	independent_null	0.05	120	299	1	0.0083	0.0015	0.0457	0.875	0.0026	0.0167	0.4785	0.0932	0.475	0.9477
l2	t4	160	1	6.0	matched	0.05	120	299	78	0.65	0.5612	0.7295	0.8915	0.1908	1.0	0.0534	0.0033	0.0317	0.1788
l2	t4	160	1	6.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8636	-0.006	0.0083	0.5194	0.0532	0.525	0.9503
l2	t4	160	1	8.0	matched	0.05	120	299	119	0.9917	0.9543	0.9985	0.9078	0.3637	1.0	0.0104	0.0033	0.0067	0.0267
l2	t4	160	1	8.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8493	0.002	0.0	0.4899	0.0467	0.49	0.9242
l2	t4	160	2	4.0	matched	0.05	120	299	38	0.3167	0.2402	0.4045	0.8885	0.1187	2.0	0.1306	0.0067	0.1033	0.3913
l2	t4	160	2	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8716	-0.0127	0.025	0.5471	0.113	0.54	0.9215
l2	t4	160	2	6.0	matched	0.05	120	299	115	0.9583	0.9062	0.9821	0.9059	0.3293	2.0	0.011	0.0033	0.0033	0.0435
l2	t4	160	2	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8554	-0.0016	0.0	0.5041	0.0685	0.5233	0.9158
l2	t4	160	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.921	0.504	2.0	0.0046	0.0033	0.0033	0.0133
l2	t4	160	2	8.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8371	0.0024	0.0	0.4731	0.0663	0.4333	0.9637
l2	t4	160	3	4.0	matched	0.05	120	299	73	0.6083	0.5189	0.691	0.8982	0.1853	3.0	0.0589	0.0033	0.03	0.2112
l2	t4	160	3	4.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8729	-0.0038	0.0583	0.5279	0.0393	0.5817	0.9542
l2	t4	160	3	6.0	matched	0.05	120	299	118	0.9833	0.9413	0.9954	0.9157	0.4102	3.0	0.0088	0.0033	0.0033	0.027
l2	t4	160	3	6.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8541	0.0017	0.0917	0.4804	0.073	0.4633	0.9567
l2	t4	160	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9369	0.6151	3.0	0.0033	0.0033	0.0033	0.0033
l2	t4	160	3	8.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8297	0.0068	0.0583	0.4732	0.043	0.4817	0.9078
l2	t3	40	1	4.0	matched	0.05	120	299	21	0.175	0.1174	0.2528	0.8973	0.1656	1.0	0.2131	0.0227	0.16	0.5685
l2	t3	40	1	4.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8809	0.0327	0.05	0.449	0.029	0.4267	0.9302
l2	t3	40	1	6.0	matched	0.05	120	299	77	0.6417	0.5527	0.7218	0.9189	0.4183	1.0	0.0576	0.0067	0.03	0.1975
l2	t3	40	1	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8559	0.0044	0.025	0.511	0.0562	0.5317	0.9533
l2	t3	40	1	8.0	matched	0.05	120	299	104	0.8667	0.7944	0.9162	0.936	0.5943	1.0	0.0258	0.0033	0.02	0.0703
l2	t3	40	1	8.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8398	0.033	0.05	0.4686	0.0265	0.4767	0.9302
l2	t3	40	2	4.0	matched	0.05	120	299	46	0.3833	0.3012	0.4727	0.9155	0.2713	2.0	0.1158	0.0033	0.0783	0.3723
l2	t3	40	2	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8807	-0.0022	0.1333	0.5062	0.0755	0.5317	0.94
l2	t3	40	2	6.0	matched	0.05	120	299	106	0.8833	0.8137	0.9292	0.9394	0.5511	2.0	0.0236	0.0033	0.0067	0.0968
l2	t3	40	2	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8598	-0.0015	0.1333	0.5073	0.0395	0.4967	0.9467
l2	t3	40	2	8.0	matched	0.05	120	299	118	0.9833	0.9413	0.9954	0.9575	0.7127	2.0	0.0074	0.0033	0.0033	0.0303
l2	t3	40	2	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8366	0.01	0.1167	0.4647	0.0498	0.4383	0.9335
l2	t3	40	3	4.0	matched	0.05	120	299	60	0.5	0.4119	0.5881	0.9223	0.3175	3.0	0.1045	0.0033	0.0483	0.4048
l2	t3	40	3	4.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8884	-0.0075	0.2333	0.5149	0.0787	0.5233	0.9638
l2	t3	40	3	6.0	matched	0.05	120	299	108	0.9	0.8333	0.9419	0.9498	0.6026	3.0	0.0214	0.0033	0.0033	0.067
l2	t3	40	3	6.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8709	0.0247	0.275	0.475	0.0362	0.4417	0.9402
l2	t3	40	3	8.0	matched	0.05	120	299	116	0.9667	0.9174	0.987	0.9661	0.7493	3.0	0.0084	0.0033	0.0033	0.0242
l2	t3	40	3	8.0	independent_null	0.05	120	299	1	0.0083	0.0015	0.0457	0.842	-0.0307	0.15	0.5465	0.1033	0.5567	0.92
l2	t3	80	1	4.0	matched	0.05	120	299	17	0.1417	0.0904	0.2152	0.8782	0.0782	1.0	0.2829	0.02	0.2233	0.6802
l2	t3	80	1	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8649	-0.0038	0.0167	0.5054	0.0598	0.475	0.9475
l2	t3	80	1	6.0	matched	0.05	120	299	53	0.4417	0.356	0.531	0.8834	0.2159	1.0	0.0943	0.0067	0.0567	0.3038
l2	t3	80	1	6.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8509	-0.0152	0.0167	0.5222	0.1032	0.5283	0.9768
l2	t3	80	1	8.0	matched	0.05	120	299	107	0.8917	0.8234	0.9356	0.9037	0.4039	1.0	0.026	0.0033	0.0167	0.0968
l2	t3	80	1	8.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.837	-0.0101	0.0083	0.5201	0.0698	0.545	0.9405
l2	t3	80	2	4.0	matched	0.05	120	299	33	0.275	0.203	0.3609	0.8894	0.1535	2.0	0.1654	0.0033	0.1233	0.4377
l2	t3	80	2	4.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8703	0.0109	0.0417	0.4781	0.0397	0.465	0.9302
l2	t3	80	2	6.0	matched	0.05	120	299	90	0.75	0.6656	0.8189	0.9046	0.3583	2.0	0.0336	0.0033	0.0117	0.1237
l2	t3	80	2	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8502	0.0064	0.0667	0.4973	0.0467	0.5017	0.9437
l2	t3	80	2	8.0	matched	0.05	120	299	113	0.9417	0.8845	0.9715	0.9239	0.5427	2.0	0.013	0.0033	0.0033	0.0573
l2	t3	80	2	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8271	-0.0066	0.05	0.5278	0.076	0.5333	0.96
l2	t3	80	3	4.0	matched	0.05	120	299	46	0.3833	0.3012	0.4727	0.897	0.1985	3.0	0.1098	0.0033	0.0717	0.3407
l2	t3	80	3	4.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.874	0.0114	0.1167	0.4727	0.0465	0.4333	0.9333
l2	t3	80	3	6.0	matched	0.05	120	299	105	0.875	0.804	0.9228	0.9193	0.4435	3.0	0.0208	0.0033	0.0033	0.1138
l2	t3	80	3	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.847	-0.0075	0.1167	0.5244	0.0498	0.5383	0.9537
l2	t3	80	3	8.0	matched	0.05	120	299	115	0.9583	0.9062	0.9821	0.9404	0.6334	3.0	0.0079	0.0033	0.0033	0.0402
l2	t3	80	3	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8258	-0.0092	0.125	0.5189	0.08	0.51	0.9542
l2	t3	160	1	4.0	matched	0.05	120	299	6	0.05	0.0231	0.1048	0.8611	0.0393	1.0	0.3138	0.0495	0.255	0.7572
l2	t3	160	1	4.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8617	0.0104	0.0	0.4699	0.0267	0.49	0.9302
l2	t3	160	1	6.0	matched	0.05	120	299	36	0.3	0.2253	0.3872	0.8677	0.1269	1.0	0.1066	0.0067	0.0783	0.3075
l2	t3	160	1	6.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8502	0.0043	0.0083	0.4768	0.0627	0.5033	0.897
l2	t3	160	1	8.0	matched	0.05	120	299	82	0.6833	0.5955	0.7598	0.8722	0.2094	1.0	0.0453	0.0033	0.0283	0.147
l2	t3	160	1	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8387	-0.0025	0.0167	0.5035	0.0497	0.5183	0.9472
l2	t3	160	2	4.0	matched	0.05	120	299	17	0.1417	0.0904	0.2152	0.8671	0.0683	2.0	0.2471	0.026	0.2083	0.6133
l2	t3	160	2	4.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8569	0.0081	0.0	0.4925	0.0388	0.545	0.8873
l2	t3	160	2	6.0	matched	0.05	120	299	92	0.7667	0.6834	0.8333	0.8845	0.2348	2.0	0.0381	0.0033	0.0167	0.1373
l2	t3	160	2	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8462	-0.0032	0.025	0.523	0.062	0.5333	0.954
l2	t3	160	2	8.0	matched	0.05	120	299	115	0.9583	0.9062	0.9821	0.8885	0.3412	2.0	0.0136	0.0033	0.0067	0.0435
l2	t3	160	2	8.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.831	-0.0051	0.0333	0.5245	0.0662	0.5183	0.98
l2	t3	160	3	4.0	matched	0.05	120	299	16	0.1333	0.0838	0.2056	0.8717	0.0903	3.0	0.1716	0.01	0.1367	0.4223
l2	t3	160	3	4.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8589	-0.0033	0.025	0.5273	0.0398	0.5517	0.9342
l2	t3	160	3	6.0	matched	0.05	120	299	99	0.825	0.7472	0.8826	0.8888	0.2806	3.0	0.0276	0.0033	0.0067	0.1147
l2	t3	160	3	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8461	-0.0025	0.05	0.5085	0.0467	0.5083	0.974
l2	t3	160	3	8.0	matched	0.05	120	299	115	0.9583	0.9062	0.9821	0.908	0.4579	3.0	0.0123	0.0033	0.0033	0.0368
l2	t3	160	3	8.0	independent_null	0.05	120	299	16	0.1333	0.0838	0.2056	0.8259	0.0074	0.0917	0.4942	0.0267	0.5167	0.8975
l2	t2.5	40	1	4.0	matched	0.05	120	299	14	0.1167	0.0708	0.1863	0.89	0.1388	1.0	0.2302	0.0167	0.17	0.6715
l2	t2.5	40	1	4.0	independent_null	0.05	120	299	14	0.1167	0.0708	0.1863	0.8749	0.0146	0.025	0.5068	0.02	0.5017	0.9368
l2	t2.5	40	1	6.0	matched	0.05	120	299	49	0.4083	0.3246	0.4978	0.8958	0.3014	1.0	0.1019	0.0067	0.06	0.3205
l2	t2.5	40	1	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8543	0.0007	0.0083	0.5104	0.0625	0.5483	0.9375
l2	t2.5	40	1	8.0	matched	0.05	120	299	93	0.775	0.6924	0.8405	0.9171	0.4869	1.0	0.0468	0.0065	0.03	0.1368
l2	t2.5	40	1	8.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8368	0.0231	0.0583	0.4697	0.0333	0.4233	0.9703
l2	t2.5	40	2	4.0	matched	0.05	120	299	28	0.2333	0.1667	0.3166	0.8921	0.1636	2.0	0.2228	0.0067	0.1983	0.591
l2	t2.5	40	2	4.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8761	-0.0066	0.1333	0.5104	0.0727	0.4983	0.95
l2	t2.5	40	2	6.0	matched	0.05	120	299	78	0.65	0.5612	0.7295	0.9219	0.4388	2.0	0.0541	0.0033	0.015	0.2202
l2	t2.5	40	2	6.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8622	0.0159	0.1	0.4648	0.04	0.4533	0.9467
l2	t2.5	40	2	8.0	matched	0.05	120	299	102	0.85	0.7753	0.903	0.9393	0.6056	2.0	0.023	0.0033	0.0033	0.1175
l2	t2.5	40	2	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8398	0.0126	0.0917	0.4701	0.0498	0.465	0.9567
l2	t2.5	40	3	4.0	matched	0.05	120	299	42	0.35	0.2705	0.4388	0.915	0.2455	3.0	0.1472	0.0033	0.1083	0.4568
l2	t2.5	40	3	4.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.8812	-0.0234	0.2	0.5454	0.0698	0.5683	0.957
l2	t2.5	40	3	6.0	matched	0.05	120	299	95	0.7917	0.7105	0.8547	0.9351	0.4893	3.0	0.0424	0.0033	0.0067	0.2008
l2	t2.5	40	3	6.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8689	-0.0063	0.25	0.5021	0.0765	0.55	0.9007
l2	t2.5	40	3	8.0	matched	0.05	120	299	109	0.9083	0.8433	0.948	0.9569	0.6818	3.0	0.0143	0.0033	0.0033	0.0808
l2	t2.5	40	3	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8497	-0.0043	0.2	0.4977	0.073	0.4917	0.9403
l2	t2.5	80	1	4.0	matched	0.05	120	299	12	0.1	0.0581	0.1667	0.8609	0.0588	1.0	0.3321	0.0365	0.285	0.734
l2	t2.5	80	1	4.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.8472	-0.007	0.0	0.5128	0.0665	0.53	0.9602
l2	t2.5	80	1	6.0	matched	0.05	120	299	26	0.2167	0.1524	0.2985	0.87	0.1592	1.0	0.1329	0.0133	0.0983	0.3067
l2	t2.5	80	1	6.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8415	-0.0053	0.0	0.5149	0.0667	0.5083	0.9402
l2	t2.5	80	1	8.0	matched	0.05	120	299	70	0.5833	0.4939	0.6676	0.879	0.2831	1.0	0.0573	0.0033	0.0333	0.18
l2	t2.5	80	1	8.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8348	0.0141	0.0	0.4773	0.0332	0.465	0.9468
l2	t2.5	80	2	4.0	matched	0.05	120	299	19	0.1583	0.1038	0.2341	0.8687	0.0915	2.0	0.2387	0.0232	0.2183	0.5587
l2	t2.5	80	2	4.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8573	0.0119	0.0417	0.4643	0.056	0.415	0.954
l2	t2.5	80	2	6.0	matched	0.05	120	299	56	0.4667	0.3798	0.5556	0.8811	0.2484	2.0	0.0794	0.0033	0.06	0.2237
l2	t2.5	80	2	6.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8441	-0.0144	0.0167	0.5406	0.0927	0.58	0.9637
l2	t2.5	80	2	8.0	matched	0.05	120	299	94	0.7833	0.7015	0.8476	0.898	0.4158	2.0	0.0352	0.0033	0.0067	0.1348
l2	t2.5	80	2	8.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8287	0.0089	0.0667	0.4715	0.0365	0.4383	0.937
l2	t2.5	80	3	4.0	matched	0.05	120	299	26	0.2167	0.1524	0.2985	0.8808	0.1417	3.0	0.1702	0.0065	0.1283	0.4407
l2	t2.5	80	3	4.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8585	0.0003	0.1	0.5254	0.0365	0.5617	0.97
l2	t2.5	80	3	6.0	matched	0.05	120	299	85	0.7083	0.6216	0.7822	0.8985	0.334	3.0	0.0429	0.0033	0.02	0.1638
l2	t2.5	80	3	6.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8519	0.0141	0.0583	0.4593	0.0697	0.4467	0.9135
