background	kind	n	k_extremes	scenario	target_reference	target_corr	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	calibration_repetitions	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_raw	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
t3	l2	20	1	matched	explicit target_corr=0.35	0.35	4.0	0.3603	0.9307	0.05	120	300	499	93	0.31	0.2603	0.3645	20.8749	0.9289	0.3447	0.1388	0.01	0.092	0.3902	1.0
t3	l2	20	1	independent_null	explicit target_corr=0.35	0.35	4.0	0.3603	0.9307	0.05	120	300	499	9	0.03	0.0159	0.056	20.0347	0.8914	0.0102	0.4769	0.0779	0.472	0.9364	0.0233
t3	l2	20	2	matched	explicit target_corr=0.35	0.35	3.5	0.3388	0.9395	0.05	120	300	499	115	0.3833	0.3301	0.4395	20.6958	0.9377	0.3272	0.1711	0.002	0.087	0.6046	2.0
t3	l2	20	2	independent_null	explicit target_corr=0.35	0.35	3.5	0.3388	0.9395	0.05	120	300	499	11	0.0367	0.0206	0.0645	20.0025	0.9076	0.0017	0.494	0.0659	0.478	0.966	0.2033
t3	l2	20	3	matched	explicit target_corr=0.35	0.35	3.5	0.3209	0.9473	0.05	120	300	499	122	0.4067	0.3526	0.4631	20.5963	0.9468	0.3304	0.1645	0.002	0.091	0.5567	3.0
t3	l2	20	3	independent_null	explicit target_corr=0.35	0.35	3.5	0.3209	0.9473	0.05	120	300	499	19	0.0633	0.0409	0.0968	19.996	0.9199	-0.0016	0.5054	0.0399	0.499	0.9541	0.4233
t3	l2	40	1	matched	explicit target_corr=0.35	0.35	5.5	0.3467	0.9101	0.05	120	300	499	154	0.5133	0.457	0.5694	42.2796	0.91	0.3471	0.0785	0.0059	0.044	0.2503	1.0
t3	l2	40	1	independent_null	explicit target_corr=0.35	0.35	5.5	0.3467	0.9101	0.05	120	300	499	13	0.0433	0.0255	0.0727	39.9705	0.8592	-0.0047	0.5112	0.0539	0.518	0.962	0.02
t3	l2	40	2	matched	explicit target_corr=0.35	0.35	4.5	0.3751	0.9243	0.05	120	300	499	172	0.5733	0.5168	0.628	42.1326	0.9208	0.3587	0.0747	0.002	0.034	0.2785	2.0
t3	l2	40	2	independent_null	explicit target_corr=0.35	0.35	4.5	0.3751	0.9243	0.05	120	300	499	15	0.05	0.0305	0.0808	39.9543	0.8755	-0.0073	0.5187	0.0496	0.544	0.9581	0.1
t3	l2	40	3	matched	explicit target_corr=0.35	0.35	4.5	0.4007	0.9332	0.05	120	300	499	210	0.7	0.6459	0.7491	42.3114	0.9346	0.4193	0.0499	0.002	0.014	0.2165	3.0
t3	l2	40	3	independent_null	explicit target_corr=0.35	0.35	4.5	0.4007	0.9332	0.05	120	300	499	15	0.05	0.0305	0.0808	39.9664	0.8825	-0.0054	0.5144	0.0517	0.531	0.9443	0.2333
