allowed_worst_core_power_loss	selected_cap	selected_worst_core_power_loss	selected_mean_masking_gain
0.005	7.0	0.0022222222222222365	0.2561111111111111
0.01	6.5	0.0050000000000000044	0.30472222222222217
0.02	6.0	0.015833333333333255	0.35194444444444445
0.03	6.0	0.015833333333333255	0.35194444444444445
0.04	5.5	0.031944444444444386	0.3970370370370371
0.05	5.5	0.031944444444444386	0.3970370370370371
0.06	5.0	0.05666666666666664	0.4326851851851852
0.1	4.5	0.09083333333333332	0.445
