kind	scale_design	df_label	statistic	n	k_extremes	magnitude	repetitions	matched_median	matched_mean	null_median	null_mad	null_mean	null_sd	null_q95	robust_separation	classical_separation	matched_median_minus_null_q95	median_conditional_permutation_q95	matched_median_minus_median_permutation_q95
l2	common_variance	t3	c_delta	80	2	8.0	300	1.256101	1.252305	0.98982	0.008857	1.00163	0.036418	1.109373	30.0639	6.8832	0.146727	1.085552	0.170549
l2	common_variance	t3	divergence_correlation	80	2	8.0	300	0.850219	0.818174	-0.032888	0.028513	0.005761	0.119894	0.358972	30.9722	6.7761	0.491247	NA	NA
l2	common_variance	t2.5	c_delta	80	2	8.0	300	1.293336	1.282277	0.986825	0.007247	0.998377	0.037311	1.092934	42.2919	7.6091	0.200401	1.091599	0.201736
l2	common_variance	t2.5	divergence_correlation	80	2	8.0	300	0.871915	0.824657	-0.038455	0.021362	-0.005499	0.106809	0.274977	42.6162	7.7724	0.596938	NA	NA
l2	common_variance	t2.2	c_delta	80	2	8.0	300	1.358643	1.343396	0.98562	0.005216	0.99923	0.044478	1.09937	71.513	7.7379	0.259273	1.10069	0.257952
l2	common_variance	t2.2	divergence_correlation	80	2	8.0	300	0.922487	0.869889	-0.036695	0.012982	-0.001997	0.111495	0.229088	73.8876	7.8199	0.693399	NA	NA
l1	common_scale_parameter	normal	c_delta	80	2	8.0	300	1.492081	1.492588	0.983641	0.019363	0.993822	0.05427	1.050159	26.2584	9.1905	0.441922	1.112208	0.379873
l1	common_scale_parameter	normal	divergence_correlation	80	2	8.0	300	0.877933	0.874851	-0.02824	0.03504	-0.010421	0.095306	0.091985	25.8614	9.2888	0.785948	NA	NA
l1	common_scale_parameter	t5	c_delta	80	2	8.0	300	1.345572	1.347106	0.983887	0.025636	1.000024	0.05785	1.131141	14.1083	5.9997	0.214431	1.124987	0.220585
l1	common_scale_parameter	t5	divergence_correlation	80	2	8.0	300	0.732808	0.721808	-0.035661	0.055401	0.000146	0.119259	0.300498	13.871	6.0512	0.432309	NA	NA
l1	common_scale_parameter	t4	c_delta	80	2	8.0	300	1.298167	1.302899	0.983807	0.022277	0.996483	0.049354	1.098671	14.1113	6.2085	0.199496	1.118181	0.179986
l1	common_scale_parameter	t4	divergence_correlation	80	2	8.0	300	0.657837	0.645267	-0.033504	0.046237	-0.007307	0.106221	0.216697	14.952	6.1436	0.44114	NA	NA
l1	common_scale_parameter	t3	c_delta	80	2	8.0	300	1.24357	1.247825	0.989013	0.027226	1.002926	0.053745	1.124926	9.3497	4.5567	0.118644	1.108248	0.135322
l1	common_scale_parameter	t3	divergence_correlation	80	2	8.0	300	0.558529	0.537882	-0.023289	0.058646	0.006964	0.113268	0.251963	9.9208	4.6873	0.306566	NA	NA
l1	common_scale_parameter	t2.5	c_delta	80	2	8.0	300	1.190927	1.194914	0.989313	0.029151	1.005516	0.080885	1.119027	6.9162	2.3416	0.0719	1.105296	0.085631
l1	common_scale_parameter	t2.5	divergence_correlation	80	2	8.0	300	0.424498	0.409765	-0.02607	0.057034	0.005844	0.115121	0.256527	7.9	3.5087	0.167971	NA	NA
l1	common_scale_parameter	t2.2	c_delta	80	2	8.0	300	1.161915	1.164273	0.983264	0.028245	0.998206	0.058043	1.112806	6.3251	2.8611	0.049109	1.112867	0.049048
l1	common_scale_parameter	t2.2	divergence_correlation	80	2	8.0	300	0.338805	0.331153	-0.031829	0.049581	-0.000474	0.11008	0.235357	7.4753	3.0126	0.103449	NA	NA
l1	common_scale_parameter	t2	c_delta	80	2	8.0	300	1.136039	1.135356	0.983357	0.035405	0.998263	0.07264	1.120935	4.3125	1.8873	0.015104	1.122298	0.013741
l1	common_scale_parameter	t2	divergence_correlation	80	2	8.0	300	0.245685	0.259989	-0.028751	0.055909	0.000872	0.114788	0.211825	4.9086	2.2574	0.03386	NA	NA
l1	common_mad	normal	c_delta	80	2	8.0	300	1.492693	1.497449	0.984542	0.020482	1.00116	0.069008	1.190282	24.8095	7.1918	0.302411	1.114457	0.378236
l1	common_mad	normal	divergence_correlation	80	2	8.0	300	0.875441	0.875737	-0.026871	0.037653	0.002519	0.122962	0.367805	23.9638	7.1015	0.507635	NA	NA
l1	common_mad	t5	c_delta	80	2	8.0	300	1.400173	1.398185	0.984715	0.02426	1.000877	0.059116	1.150722	17.1252	6.7209	0.24945	1.13049	0.269683
l1	common_mad	t5	divergence_correlation	80	2	8.0	300	0.767405	0.757173	-0.031229	0.047927	0.00238	0.114607	0.309802	16.6637	6.5859	0.457603	NA	NA
l1	common_mad	t4	c_delta	80	2	8.0	300	1.359975	1.364716	0.982983	0.024428	0.998481	0.057874	1.141376	15.4326	6.3282	0.2186	1.134725	0.22525
