phase	scenario	n	repetitions	valid_repetitions	failure_rate	n_perm	profile_null_true	mantel_null_true	mean_profile_effect	profile_local_rejection	profile_holm_rejection	mean_mantel_effect	mantel_local_rejection	mantel_holm_rejection	holm_true_null_fwer	holm_fwer_wilson_low	holm_fwer_wilson_high
pilot	independent_t5	80	300	300	0.0	199	1	1	-0.0016776938206570092	0.03333333333333333	0.016666666666666666	-0.000628722780434852	0.03666666666666667	0.016666666666666666	0.02	0.009197631557703617	0.042939620817860576
pilot	independent_t3_infinite_fourth	80	300	300	0.0	199	1	1	0.0026933166251019124	0.03333333333333333	0.02	0.002948381482902942	0.056666666666666664	0.023333333333333334	0.023333333333333334	0.011347660299125234	0.04737197226827532
pilot	independent_strong_skew	80	300	300	0.0	199	1	1	0.005033515428035582	0.04	0.03	0.002256790458927362	0.06666666666666667	0.03	0.03	0.01586185380943231	0.05602253914164096
pilot	profile_null_t5_sign_link	80	300	300	0.0	199	1	0	0.03125510121800814	0.05333333333333334	0.05333333333333334	0.36147566443940454	0.9266666666666666	0.87	0.05333333333333334	0.03309191251909646	0.08486914177483133
pilot	profile_null_near_constant	80	300	300	0.0	199	1	0	0.9122844031674642	0.9533333333333334	0.9533333333333334	0.9987678157500975	1.0	1.0	0.9533333333333334	0.923202639772079	0.9720010663176659
pilot	mantel_null_profile_alt	80	300	300	0.0	199	0	1	-0.3462300596618143	0.65	0.5366666666666666	0.007663901487161187	0.03333333333333333	0.03	0.03	0.01586185380943231	0.05602253914164096
