Multi-extreme power simulation
n	k_extremes	alignment	magnitude	background	alpha	repetitions	n_perm	resolution_floor_approx	mean_raw	mean_corr	rejection_rate	mean_raw_change
40	2	mismatched	4.0	normal	0.05	100	199	0.001282	39.7729	-0.0415	0.02	3.7724
40	2	matched	6.0	normal	0.05	100	199	0.001282	47.0021	0.8767	1.0	8.984
40	2	mismatched	6.0	normal	0.05	100	199	0.001282	39.6667	-0.042	0.0	3.6426
40	2	matched	8.0	normal	0.05	100	199	0.001282	49.5276	0.9429	1.0	11.5501
40	2	mismatched	8.0	normal	0.05	100	199	0.001282	39.4245	-0.0561	0.0	3.3023
40	2	matched	10.0	normal	0.05	100	199	0.001282	51.1218	0.9689	1.0	13.1275
40	2	mismatched	10.0	normal	0.05	100	199	0.001282	39.4419	-0.0485	0.0	3.4358
40	3	matched	4.0	normal	0.05	100	199	0.000101	43.9709	0.7388	1.0	7.0341
40	3	mismatched	4.0	normal	0.05	100	199	0.000101	39.7165	-0.0536	0.01	5.6915
40	3	matched	6.0	normal	0.05	100	199	0.000101	46.7564	0.9054	1.0	9.7276
40	3	mismatched	6.0	normal	0.05	100	199	0.000101	39.3643	-0.0852	0.0	5.364
40	3	matched	8.0	normal	0.05	100	199	0.000101	48.6402	0.9572	1.0	11.6709
40	3	mismatched	8.0	normal	0.05	100	199	0.000101	39.3437	-0.0726	0.0	5.2586
40	3	matched	10.0	normal	0.05	100	199	0.000101	49.7141	0.9733	1.0	12.7339
40	3	mismatched	10.0	normal	0.05	100	199	0.000101	39.161	-0.0843	0.0	5.2098
100	1	matched	4.0	normal	0.05	100	199	0.01	103.5093	0.3209	0.96	4.5892
100	1	mismatched	4.0	normal	0.05	100	199	0.01	100.0356	0.0046	0.04	2.017
100	1	matched	6.0	normal	0.05	100	199	0.01	109.0647	0.6035	1.0	9.9682
100	1	mismatched	6.0	normal	0.05	100	199	0.01	99.8708	-0.009	0.02	1.9225
100	1	matched	8.0	normal	0.05	100	199	0.01	115.4532	0.7626	1.0	16.4603
100	1	mismatched	8.0	normal	0.05	100	199	0.01	99.8634	-0.0069	0.02	1.8814
100	1	matched	10.0	normal	0.05	100	199	0.01	121.6832	0.8501	1.0	22.7756
100	1	mismatched	10.0	normal	0.05	100	199	0.01	99.5114	-0.0193	0.03	1.5907
100	2	matched	4.0	normal	0.05	100	199	0.000202	105.9273	0.4897	1.0	7.9344
100	2	mismatched	4.0	normal	0.05	100	199	0.000202	99.8743	-0.0097	0.02	3.9374
100	2	matched	6.0	normal	0.05	100	199	0.000202	113.234	0.739	1.0	15.4163
100	2	mismatched	6.0	normal	0.05	100	199	0.000202	99.6211	-0.0211	0.01	3.7116
100	2	matched	8.0	normal	0.05	100	199	0.000202	121.4165	0.8757	1.0	23.2106
100	2	mismatched	8.0	normal	0.05	100	199	0.000202	99.5732	-0.0179	0.0	3.6907
100	2	matched	10.0	normal	0.05	100	199	0.000202	127.8667	0.9292	1.0	29.9023
100	2	mismatched	10.0	normal	0.05	100	199	0.000202	99.2471	-0.0253	0.0	3.2378
100	3	matched	4.0	normal	0.05	100	199	6e-06	107.4734	0.5795	1.0	10.4406
100	3	mismatched	4.0	normal	0.05	100	199	6e-06	99.8076	-0.0144	0.01	5.7849
100	3	matched	6.0	normal	0.05	100	199	6e-06	116.0716	0.8243	1.0	18.9914
100	3	mismatched	6.0	normal	0.05	100	199	6e-06	99.5441	-0.0228	0.0	5.7354
100	3	matched	8.0	normal	0.05	100	199	6e-06	123.1404	0.9102	1.0	26.2039
100	3	mismatched	8.0	normal	0.05	100	199	6e-06	99.4661	-0.021	0.0	5.2789
100	3	matched	10.0	normal	0.05	100	199	6e-06	129.1304	0.953	1.0	32.0515
100	3	mismatched	10.0	normal	0.05	100	199	6e-06	99.0223	-0.0324	0.0	4.9147
