inference_track	scenario	regularity_class	n	repetitions	valid_repetitions	failures	failure_rate	root_cell_seed	radial_log_sd	mean_estimate	mean_standard_error	mean_z	sd_z	rejections	rejection_rate	monte_carlo_se	wilson_95_low	wilson_95_high
iid_full_if_wald	independent_t5	inside_appendix_conditions	80	600	600	0	0.0	2026182281		0.0020367237883784695	0.10207128595229889	-0.10685232725626131	1.1840845122863624	52	0.08666666666666667	0.011485901180400514	0.06670240369849674	0.11188993580616254
iid_full_if_wald	independent_t5	inside_appendix_conditions	160	600	600	0	0.0	2026182361		-7.462393716459404e-05	0.07461379489871142	-0.116989344128337	1.112654156600478	50	0.08333333333333333	0.0112833866731055	0.0637806745789658	0.10818740959911813
iid_full_if_wald	independent_t5	inside_appendix_conditions	320	600	600	0	0.0	2026182521		-0.0035154899449736494	0.054029089441831435	-0.14765280131285816	1.0376073519052176	34	0.056666666666666664	0.009438887253940084	0.04083165535330541	0.0781423862121759
iid_full_if_wald	independent_t5	inside_appendix_conditions	640	600	600	0	0.0	2026182841		0.0010930500601421056	0.03848402142773345	-0.04815971978128522	1.0584231622211757	45	0.075	0.010752906583803283	0.05652228942144615	0.09888515644019943
iid_full_if_wald	independent_strong_skew	inside_appendix_conditions	80	600	600	0	0.0	2026282281		0.005576281361597599	0.08693280172956924	-0.4026020909397072	1.3273610616681775	88	0.14666666666666667	0.01444273494157504	0.12060802259334437	0.17722091278967084
iid_full_if_wald	independent_strong_skew	inside_appendix_conditions	160	600	600	0	0.0	2026282361		-0.0023824370122197463	0.061477175342073996	-0.488549308268347	1.3587555384769303	99	0.165	0.015153382460691738	0.13744910047022482	0.1968132392089547
iid_full_if_wald	independent_strong_skew	inside_appendix_conditions	320	600	600	0	0.0	2026282521		0.0009009539049271821	0.0463642343673568	-0.37821410457771604	1.3706567254777422	81	0.135	0.013950806428303706	0.10996732443966875	0.16467671730033281
iid_full_if_wald	independent_strong_skew	inside_appendix_conditions	640	600	600	0	0.0	2026282841		0.001520578995746275	0.03524871962795213	-0.2931603449977863	1.2231190205672249	61	0.10166666666666667	0.012337649394945239	0.07996359842758784	0.1284378900466604
iid_full_if_wald	profile_null_normal_sign_link	inside_appendix_conditions	80	600	600	0	0.0	2026382281		0.02901502500066415	0.11481911838073552	0.22193122162874668	1.0357878601944157	44	0.07333333333333333	0.010642333355954383	0.055079099515184984	0.09701621868317296
iid_full_if_wald	profile_null_normal_sign_link	inside_appendix_conditions	160	600	600	0	0.0	2026382361		0.012552965647057691	0.08020367754489333	0.12495829022618982	0.9988508055740843	31	0.051666666666666666	0.009036704987828088	0.036634743907307504	0.0724029146683108
iid_full_if_wald	profile_null_normal_sign_link	inside_appendix_conditions	320	600	600	0	0.0	2026382521		0.003585953872444605	0.056535416387926	0.03694609161801119	0.9987930281906487	31	0.051666666666666666	0.009036704987828088	0.036634743907307504	0.0724029146683108
iid_full_if_wald	profile_null_normal_sign_link	inside_appendix_conditions	640	600	600	0	0.0	2026382841		0.005404057627753226	0.03977601154497291	0.1218300659777959	0.9938871188292903	28	0.04666666666666667	0.008610931897776695	0.03248188567095377	0.06661938991480156
iid_full_if_wald	separated_mode_sd_0.1	outside_positive_center_density_condition	80	600	600	0	0.0	2027082281	0.1	0.837027622927285	0.25239576648405904	41.443028357693784	54.97004110572949	470	0.7833333333333333	0.016818750559134003	0.7486223270376837	0.8144393757212192
iid_full_if_wald	separated_mode_sd_0.1	outside_positive_center_density_condition	640	600	600	0	0.0	2027082841	0.1	0.6582333418076466	0.3689644034306284	12.546479474476	20.766103975280004	353	0.5883333333333334	0.020091342340347422	0.5485145097653442	0.6270282563889021
iid_full_if_wald	separated_mode_sd_0.4	outside_positive_center_density_condition	80	600	600	0	0.0	2027182281	0.4	0.07727121592070615	0.15972879508037502	0.39448521507178896	0.929731334351618	34	0.056666666666666664	0.009438887253940084	0.04083165535330541	0.0781423862121759
iid_full_if_wald	separated_mode_sd_0.4	outside_positive_center_density_condition	640	600	600	0	0.0	2027182841	0.4	0.008831612637036326	0.04253433367897421	0.15973579772756702	0.9763835964988992	30	0.05	0.008897565210026092	0.03524526778459468	0.07048026312773596
iid_full_if_wald	independent_strong_skew	inside_appendix_conditions_slow_convergence_extension	1280	600	600	0	0.0	2026283481		0.000596259341416482	0.025393498358370223	-0.21999279029213786	1.1089399988215256	55	0.09166666666666666	0.011780201532577791	0.07110301449274017	0.11742570800178206
iid_full_if_wald	independent_strong_skew	inside_appendix_conditions_slow_convergence_extension	2560	600	600	0	0.0	2026284761		-0.00019694248968409086	0.01871330047485343	-0.21932185313065836	1.1270342073480966	49	0.08166666666666667	0.011180132842250595	0.0623236040554625	0.10633235245933376
