bridge_family	n	bridge_probability	repetitions	n_perm	n_bootstrap	studentized_rejection	studentized_wilson_low	studentized_wilson_high	median_location_spread	q10_location_spread	q90_location_spread	rejection_spearman_location_spread	rejection_spearman_p_location_spread	median_log_mad_scale_spread	q10_log_mad_scale_spread	q90_log_mad_scale_spread	rejection_spearman_log_mad_scale_spread	rejection_spearman_p_log_mad_scale_spread	median_minimum_scale_iqr_ratio	q10_minimum_scale_iqr_ratio	q90_minimum_scale_iqr_ratio	rejection_spearman_minimum_scale_iqr_ratio	rejection_spearman_p_minimum_scale_iqr_ratio
uniform	320	0.05	300	99	199	0.37666666666666665	0.3237203650702255	0.4327315678318291	3.4963034070019425	2.213694936702602	4.184943202337996	0.22285481869783552	9.904793645450358e-05	14.222720556910192	7.57408092383665	16.701271965458805	-0.6247163506145527	7.112028103706255e-34	0.3200072169182245	0.22608258930146374	0.7170075528413836	0.7344160492856313	4.3371974028321005e-52
exponential	320	0.05	300	99	199	0.27666666666666667	0.22911058318108624	0.32986994396587765	3.4627958156852303	2.1345654086731964	4.254066726387519	0.008474988126951613	0.8837785673583181	14.30046179772448	7.522601894901041	16.779786762843752	-0.6641035112474724	1.5881819225143644e-39	0.32499194807353027	0.2231063721568483	0.7287129725087782	0.7288059586735396	6.07462856474552e-51
half_normal	320	0.05	300	99	199	0.3466666666666667	0.2950585411049252	0.40215197007060216	3.539162815903009	2.10585529552093	4.240414929704503	0.21513383167874695	0.0001735285273555605	14.376178662026822	7.961324203495575	16.89169937832418	-0.6432178057673212	1.998614354917359e-36	0.3187466555689972	0.22533639641781317	0.71771388055861	0.7768272380730693	8.276930399157878e-62
scaled_beta12	320	0.05	300	99	199	0.33	0.2792344636154957	0.3850641466008499	3.5621022979919816	2.2376106681609254	4.258056678041146	0.17791632511390146	0.001978415551264132	13.559176642652965	7.979638774489596	16.62498127661717	-0.6499041468791444	2.1620555875366077e-37	0.33472320998738947	0.23096286466705174	0.7227315876827521	0.725867500781008	2.358024389728274e-50
