magnitude	method	ordinary_mean_score	remote_score	remote_to_ordinary_ratio
4.0	original_l2	1.7608316357026137	4.171330722922842	2.368954895144408
4.0	huber_radius	0.6588398843198137	2.5366837294813385	3.8502279383104
4.0	huber_l2_floor0.5	0.8655232984059698	2.5854911222851555	2.9871999136786296
4.0	huber_l2_floor1	1.2403466543084638	2.726676428074177	2.19831804165618
4.0	huber_radius_cap6	0.6588398843198137	2.5366837294813385	3.8502279383104
8.0	original_l2	2.072944522699719	8.087026647662292	3.9012267617900718
8.0	huber_radius	0.6588398843198191	5.1061723370109995	7.750247759032637
8.0	huber_l2_floor0.5	0.8655232984059751	5.130594111334123	5.9277365736810115
8.0	huber_l2_floor1	1.2403466543084685	5.203171718793872	4.1949334895370844
8.0	huber_radius_cap6	0.6588398843198191	5.1061723370109995	7.750247759032637
16.0	original_l2	3.002365868111557	16.043690348545127	5.343682633401493
16.0	huber_radius	0.6588398843198175	10.245149552070837	15.550287400477993
16.0	huber_l2_floor0.5	0.8655232984059735	10.257343191309202	11.851030711940462
16.0	huber_l2_floor1	1.240346654308467	10.293837445010352	8.299161697460697
16.0	huber_radius_cap6	0.6588398843198175	6.0	9.106916783270286
64.0	original_l2	10.134096918711869	64.01093656555885	6.316392775696405
64.0	huber_radius	0.6588398843198192	41.0790128424294	62.35052524914916
64.0	huber_l2_floor0.5	0.8655232984059753	41.08205564609054	47.464991088918005
64.0	huber_l2_floor1	1.2403466543084685	41.09118270515561	33.12878908684219
64.0	huber_radius_cap6	0.6588398843198192	6.0	9.106916783270263
256.0	original_l2	40.015482797547115	256.002734360397	6.397592043449982
256.0	huber_radius	0.6588398843198191	164.41446600386396	249.55147664383452
256.0	huber_l2_floor0.5	0.8655232984059753	164.4152262758402	189.9604858455479
256.0	huber_l2_floor1	1.2403466543084685	164.41750707067584	132.55770594418516
256.0	huber_radius_cap6	0.6588398843198191	6.0	9.106916783270265
1024.0	original_l2	159.93068617427934	1024.0006835935217	6.4027780289621825
1024.0	huber_radius	0.6588398843198192	657.7562786496022	998.3552822225756
1024.0	huber_l2_floor0.5	0.8655232984059753	657.7564686895699	759.952354721072
1024.0	huber_l2_floor1	1.2403466543084687	657.7570388091435	530.3009739449519
1024.0	huber_radius_cap6	0.6588398843198192	6.0	9.106916783270263
