n	flip_probability	repetitions	mean_c_delta	sd_c_delta	mean_profile_correlation	minimum_profile_correlation	mean_mantel_correlation	sd_mantel_correlation	minimum_mantel_correlation	maximum_mantel_correlation	l2_row_profile_identity_max_error
40	0.0	2000	1.041847958206004	2.220446049250313e-16	1.0	1.0	1.0	0.0	1.0	1.0	8.881784197001252e-16
40	0.25	2000	1.041847958206004	3.302423657661217e-16	1.0	0.9999999999999998	0.4296566082959354	0.18810451091184388	0.1613665869561483	1.0	8.881784197001252e-16
40	0.5	2000	1.041847958206004	3.494999009911391e-16	1.0	0.9999999999999998	0.23076334055965683	0.07760840622386804	0.15890270093823247	0.8870741913926944	8.881784197001252e-16
40	0.75	2000	1.041847958206004	3.2731815056658357e-16	1.0	0.9999999999999998	0.41696034973036045	0.18109655265534916	0.1618543029559599	1.0	8.881784197001252e-16
40	1.0	2000	1.041847958206004	2.220446049250313e-16	1.0	1.0	1.0	0.0	1.0	1.0	8.881784197001252e-16
