phase	design	scenario	strength	n_perm	repetitions	omnibus_rejection_rate	wilson_low	wilson_high	profile_rejection_rate	mantel_rejection_rate	best_component_power	omnibus_regret	adjusted_profile_rejection_rate	adjusted_mantel_rejection_rate	winner_profile_rate	winner_expected_rate	mean_profile_z	mean_mantel_z	profile_only_rate	mantel_only_rate	both_rate	unresolved_rate	profile_only_share_given_reject	mantel_only_share_given_reject	both_share_given_reject	unresolved_share_given_reject	winner_agreement_with_999	decision_agreement_with_999	attribution_agreement_with_999
seed1	moderately_unequal	dyadic	1.0	499	50	0.26	0.15871527493552393	0.39553157264848837	0.18	0.3	0.3	0.03999999999999998	0.16	0.26	0.18	0.82	0.6399035711671179	1.0099228839218244	0.0	0.1	0.16	0.74	0.0	0.38461538461538464	0.6153846153846154	0.0	0.98	0.98	0.96
seed1	moderately_unequal	dyadic	1.0	999	50	0.28	0.17474170665911232	0.4166512369595657	0.2	0.3	0.3	0.019999999999999962	0.14	0.28	0.2	0.8	0.6301835827093168	1.0051643747257382	0.0	0.14	0.14	0.72	0.0	0.5	0.5	0.0	1.0	1.0	1.0
seed1	moderately_unequal	dyadic	1.4	199	50	0.38	0.25862789310193596	0.5184955306900703	0.24	0.42	0.42	0.03999999999999998	0.16	0.38	0.14	0.86	1.0150944441594911	1.6787479327374124	0.0	0.22	0.16	0.62	0.0	0.5789473684210527	0.42105263157894735	0.0	1.0	0.9	0.88
seed1	moderately_unequal	dyadic	1.4	499	50	0.42	0.2937500335471198	0.5576655823142176	0.28	0.46	0.46	0.040000000000000036	0.18	0.42	0.12	0.88	1.0215084835763273	1.6987294559253128	0.0	0.24	0.18	0.58	0.0	0.5714285714285714	0.42857142857142855	0.0	0.98	0.98	0.98
seed1	moderately_unequal	dyadic	1.4	999	50	0.44	0.3116219921125717	0.5769397197834315	0.28	0.46	0.46	0.020000000000000018	0.18	0.44	0.14	0.86	1.025830611184662	1.7042177069378162	0.0	0.26	0.18	0.56	0.0	0.5909090909090909	0.4090909090909091	0.0	1.0	1.0	1.0
seed1	moderately_unequal	mixed_covariate	0.6	199	50	0.24	0.1429739139699173	0.3741268375794292	0.14	0.24	0.24	0.0	0.12	0.24	0.46	nan	0.7494469799427936	0.8258186441883945	0.0	0.12	0.12	0.76	0.0	0.5	0.5	0.0	0.96	0.98	0.96
seed1	moderately_unequal	mixed_covariate	0.6	499	50	0.2	0.1124375001577611	0.3303710593222542	0.14	0.22	0.22	0.01999999999999999	0.12	0.2	0.48	nan	0.7366802225324938	0.8047945141740495	0.0	0.08	0.12	0.8	0.0	0.4	0.6	0.0	0.98	0.98	0.96
seed1	moderately_unequal	mixed_covariate	0.6	999	50	0.22	0.1275391597021442	0.3524154958125367	0.14	0.24	0.24	0.01999999999999999	0.1	0.22	0.46	nan	0.7266803636365823	0.79724332961736	0.0	0.12	0.1	0.78	0.0	0.5454545454545454	0.45454545454545453	0.0	1.0	1.0	1.0
seed1	moderately_unequal	mixed_covariate	1.0	199	50	0.42	0.2937500335471198	0.5576655823142176	0.42	0.44	0.44	0.020000000000000018	0.3	0.4	0.4	nan	1.537138005897628	1.7260616617534266	0.02	0.12	0.28	0.58	0.047619047619047616	0.2857142857142857	0.6666666666666666	0.0	0.98	0.9	0.84
seed1	moderately_unequal	mixed_covariate	1.0	499	50	0.52	0.38511744890044614	0.6520286471342196	0.44	0.46	0.46	-0.06	0.36	0.42	0.4	nan	1.5461258212379392	1.738966005088789	0.1	0.16	0.26	0.48	0.19230769230769232	0.3076923076923077	0.5	0.0	0.98	0.96	0.96
seed1	moderately_unequal	mixed_covariate	1.0	999	50	0.48	0.34797135286578046	0.6148825510995539	0.46	0.46	0.46	-0.019999999999999962	0.32	0.42	0.42	nan	1.5369771117860247	1.7354661676423673	0.06	0.16	0.26	0.52	0.125	0.3333333333333333	0.5416666666666666	0.0	1.0	1.0	1.0
seed1	moderately_unequal	mixed_covariate	1.4	199	50	0.78	0.6475845041874634	0.8724608402978559	0.78	0.8	0.8	0.020000000000000018	0.68	0.74	0.18	nan	2.3391790844909823	2.7770580620965495	0.04	0.1	0.64	0.22	0.05128205128205128	0.1282051282051282	0.8205128205128205	0.0	0.98	0.94	0.92
seed1	moderately_unequal	mixed_covariate	1.4	499	50	0.78	0.6475845041874634	0.8724608402978559	0.78	0.82	0.82	0.039999999999999925	0.68	0.76	0.18	nan	2.3951017945135975	2.854578712762338	0.02	0.1	0.66	0.22	0.02564102564102564	0.1282051282051282	0.8461538461538461	0.0	0.98	0.98	0.98
seed1	moderately_unequal	mixed_covariate	1.4	999	50	0.8	0.6696289406777459	0.887562499842239	0.78	0.8	0.8	0.0	0.68	0.78	0.16	nan	2.39564620136187	2.877152155660433	0.02	0.12	0.66	0.2	0.025	0.15	0.825	0.0	1.0	1.0	1.0
seed1	severely_unequal	conditional_null	0.0	199	50	0.04	0.011038884327619805	0.1346009068750702	0.02	0.04	0.04	0.0	0.02	0.04	0.5	nan	-0.0985437192193437	-0.06830631770739136	0.0	0.02	0.02	0.96	0.0	0.5	0.5	0.0	0.92	1.0	1.0
seed1	severely_unequal	conditional_null	0.0	499	50	0.06	0.02061497034897397	0.16217091688838173	0.06	0.04	0.06	0.0	0.04	0.04	0.48	nan	-0.0933721217041733	-0.06496738743001208	0.02	0.02	0.02	0.94	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	0.98	0.98	0.98
seed1	severely_unequal	conditional_null	0.0	999	50	0.04	0.011038884327619805	0.1346009068750702	0.04	0.04	0.04	0.0	0.02	0.04	0.5	nan	-0.08590594004297376	-0.05490971907379092	0.0	0.02	0.02	0.96	0.0	0.5	0.5	0.0	1.0	1.0	1.0
seed1	severely_unequal	radial_node	0.6	199	50	0.38	0.25862789310193596	0.5184955306900703	0.32	0.34	0.34	-0.03999999999999998	0.28	0.34	0.42	0.42	1.0211545662919432	1.1147784168550166	0.04	0.1	0.24	0.62	0.10526315789473684	0.2631578947368421	0.631578947368421	0.0	1.0	0.96	0.9
