n	noise	positive_probability	contamination_fraction	magnitude_family	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
80	0.5	0.5	0.05	uniform	huber_cap6	1500	499	0.088	0.07469568518530124	0.10340916572812829
80	0.5	0.5	0.05	lognormal	original_l2	1500	499	0.043333333333333335	0.03414340356776986	0.054856309823329244
80	0.5	0.5	0.05	lognormal	original_l1	1500	499	0.05266666666666667	0.042462382108623964	0.06515631524236508
80	0.5	0.5	0.05	lognormal	huber_primary	1500	499	0.06466666666666666	0.053299069453722925	0.07825832155998175
80	0.5	0.5	0.05	lognormal	huber_cap6	1500	499	0.11466666666666667	0.09951746454568376	0.1317844833960028
80	0.5	0.65	0.0	uniform	original_l2	1500	499	0.726	0.7028734003661228	0.7479719969483551
80	0.5	0.65	0.0	uniform	original_l1	1500	499	0.41	0.38537090351854847	0.43508889401108414
80	0.5	0.65	0.0	uniform	huber_primary	1500	499	0.5586666666666666	0.5334202261839628	0.5836133872782024
80	0.5	0.65	0.0	uniform	huber_cap6	1500	499	0.5586666666666666	0.5334202261839628	0.5836133872782024
80	0.5	0.65	0.0	lognormal	original_l2	1500	499	0.964	0.953325076335369	0.9723044119563026
80	0.5	0.65	0.0	lognormal	original_l1	1500	499	0.8826666666666667	0.865394747682313	0.8979835946731749
80	0.5	0.65	0.0	lognormal	huber_primary	1500	499	0.874	0.8562453323355887	0.8898439534857154
80	0.5	0.65	0.0	lognormal	huber_cap6	1500	499	0.874	0.8562453323355887	0.8898439534857154
80	0.5	0.65	0.05	uniform	original_l2	1500	499	0.050666666666666665	0.040670651803700913	0.06295826327016886
80	0.5	0.65	0.05	uniform	original_l1	1500	499	0.05466666666666667	0.0442585691503609	0.06734991047774742
80	0.5	0.65	0.05	uniform	huber_primary	1500	499	0.05733333333333333	0.04666002962225208	0.07026815970868193
80	0.5	0.65	0.05	uniform	huber_cap6	1500	499	0.088	0.07469568518530124	0.10340916572812829
