model	n_combinations	intercept	coefficient_1	coefficient_2	r_squared_logit_crossover	rmse_logit_crossover	maximum_absolute_logit_residual	loocv_rmse_logit_crossover	loocv_maximum_absolute_logit_error	separate_coefficient_sum
raw_ratio	16	-1.1676876039237447	0.667491780769777	nan	0.8034762609657505	0.15542150163980173	0.39916313619800126	0.1705592904845621	0.4396449058078804	nan
fisher_z_ratio	16	-1.1563814866263424	0.5153948258941541	nan	0.7793596632086024	0.16468196764366022	0.4326626189478706	0.1806295084517676	0.47248126006367874	nan
separate_fisher_z	16	-0.956935708230498	0.7853955882308704	-0.35981476796082756	0.9026067706012586	0.10941276032074813	0.24763914807711385	0.13565725856425118	0.31974603971109694	0.42558082027004285
