design	scenario	temperature	aggregation	method	repetitions	reject_count	rejection_rate	wilson_low	wilson_high	mean_profile_weight
balanced	conditional_null	0.0	building_equal	cv_retrained	600	25	0.041666666666666664	0.02837972965493859	0.06078516294095374	0.4999999999999999
balanced	conditional_null	0.0	building_equal	cv_standardized	600	27	0.045	0.03110848866772835	0.0646806592547393	0.4999999999999999
balanced	conditional_null	0.0	building_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.4999999999999999
balanced	conditional_null	0.0	building_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.4999999999999999
balanced	conditional_null	0.0	building_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.4999999999999999
balanced	conditional_null	0.0	building_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.4999999999999999
balanced	conditional_null	0.0	room_equal	cv_retrained	600	25	0.041666666666666664	0.02837972965493859	0.06078516294095374	0.4999999999999999
balanced	conditional_null	0.0	room_equal	cv_standardized	600	27	0.045	0.03110848866772835	0.0646806592547393	0.4999999999999999
balanced	conditional_null	0.0	room_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.4999999999999999
balanced	conditional_null	0.0	room_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.4999999999999999
balanced	conditional_null	0.0	room_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.4999999999999999
balanced	conditional_null	0.0	room_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.4999999999999999
balanced	conditional_null	0.0	sqrt_rooms	cv_retrained	600	25	0.041666666666666664	0.02837972965493859	0.06078516294095374	0.5000000000000001
balanced	conditional_null	0.0	sqrt_rooms	cv_standardized	600	27	0.045	0.03110848866772835	0.0646806592547393	0.5000000000000001
balanced	conditional_null	0.0	sqrt_rooms	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.5000000000000001
balanced	conditional_null	0.0	sqrt_rooms	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.5000000000000001
balanced	conditional_null	0.0	sqrt_rooms	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.5000000000000001
