seed	distribution	n	repetitions	quantity	mean_abs_difference	mcse_mean_abs_difference	median_abs_difference	q95_abs_difference	sqrt_n_times_median_abs_difference	sqrt_n_times_q95_abs_difference	n_times_median_abs_difference
20260820	normal	40	6000	median	0.031091670812067974	0.0003923892024189755	0.022225622085355886	0.092317963856542	0.14056717640773175	0.5838700694715494	0.8890248834142355
20260820	normal	40	6000	mad	0.02654721089293357	0.0003029666550468853	0.02024659794307293	0.07372568677224668	0.12805072873958118	0.46628218452089415	0.8098639177229172
20260820	normal	80	6000	median	0.01576080283595846	0.0002042434090449264	0.010927388259543147	0.048246397188038775	0.09773753185948637	0.43152889512763765	0.8741910607634518
20260820	normal	80	6000	mad	0.013702118817991566	0.00015815559027405703	0.01034762195103478	0.037688497503252955	0.09255194435193108	0.33709616954841887	0.8278097560827824
20260820	normal	160	6000	median	0.00787684480094781	0.0001016487128599965	0.005465849683982452	0.023412453596218925	0.06913813739798443	0.2961467159082078	0.8745359494371924
20260820	normal	160	6000	mad	0.006787344967575655	7.880411252970214e-05	0.005127766374522835	0.018825621239588843	0.06486168421086466	0.2381273659389726	0.8204426199236536
20260820	normal	320	6000	median	0.0038555421421707136	4.9811228314445666e-05	0.0026811580272513113	0.011350713797380792	0.04796201285882533	0.2030477411527058	0.8579705687204197
20260820	normal	320	6000	mad	0.0033101941769257326	3.859492933028648e-05	0.002502703818190899	0.00917799050241951	0.044769726920185	0.16418088528205976	0.8008652218210877
20260820	normal	640	6000	median	0.001968004297642752	2.492431280943997e-05	0.001387139737334257	0.005899726814318308	0.03509216802323164	0.14925259444812117	0.8877694318939244
20260820	normal	640	6000	mad	0.0017006068866603137	1.9799356960009533e-05	0.0012555447200414682	0.0047092531075725195	0.03176304815623598	0.11913572718524078	0.8035486208265397
20260820	lognormal_logsd_1p1	40	6000	median	0.03497556075405813	0.0004676176687531729	0.023779906614623758	0.10741655087512683	0.15039733489662999	0.6793619183295075	0.9511962645849503
20260820	lognormal_logsd_1p1	40	6000	mad	0.03395382841233373	0.0003713868054739391	0.02706563429732628	0.08964502204634976	0.17117810139344397	0.5669649011249475	1.0826253718930512
20260820	lognormal_logsd_1p1	80	6000	median	0.0177591447401191	0.0002376278990682835	0.011922010757317358	0.055014268259077334	0.10663370592738146	0.49206257423882377	0.9537608605853887
20260820	lognormal_logsd_1p1	80	6000	mad	0.01725434884842307	0.0001882778376036789	0.013564557364061314	0.046344905586901734	0.12132508940294584	0.4145214372124883	1.085164589124905
20260820	lognormal_logsd_1p1	160	6000	median	0.008680692299225174	0.00010941587938031121	0.006236105619849164	0.025779939284976294	0.07888118995239798	0.32609330432551087	0.9977768991758662
20260820	lognormal_logsd_1p1	160	6000	mad	0.008556924389989288	8.969681550839462e-05	0.006846966583602898	0.022081434377907067	0.08660803786898742	0.2793105065509183	1.0955146533764637
20260820	lognormal_logsd_1p1	320	6000	median	0.004325669866168236	5.76591121109889e-05	0.002979795125350848	0.013066240362056836	0.05330419567445603	0.2337360132792844	0.9535344401122714
20260820	lognormal_logsd_1p1	320	6000	mad	0.004334291531694757	4.697997684034756e-05	0.0033887851942900338	0.011447533132220852	0.06062043244461878	0.2047796980666153	1.0844112621728108
20260820	lognormal_logsd_1p1	640	6000	median	0.0021720298052312955	2.829724373561685e-05	0.0014872450903996026	0.006595580763711456	0.037624655396526124	0.1668564616393683	0.9518368578557457
20260820	lognormal_logsd_1p1	640	6000	mad	0.002135895694357436	2.2505823225880628e-05	0.0017225714008387571	0.005561755305132911	0.043577992471338825	0.1407025164219582	1.1024456965368046
