n	method	root_seed	replications	valid	failures	truth	bias	bias_mcse	empirical_sd	mean_se	se_sd_ratio	coverage_count	coverage	coverage_mcse	wilson_low	wilson_high	mean_width	z_mean	z_sd	z_q025	z_q975	mean_coefficient_x
160	complete_kde	2026090701	2000	2000	0	0.19347511885804566	-0.00782301300354718	0.0027784116606084613	0.12425434685197188	0.10433635937368081	0.8396998738239717	1716	0.858	0.00780499839846236	0.8420154493218232	0.8726119448247996	0.40899101330088494	-0.2923570571322724	1.3375589535944081	-3.2784432527700096	2.0502897779148994	-0.16162952110604858
160	direct_only_ablation	2026090701	2000	2000	0	0.19347511885804566	-0.00782301300354718	0.0027784116606084613	0.12425434685197188	0.10341608232454666	0.8322934766036757	1707	0.8535	0.007906887820122402	0.8373251458577445	0.8683195017144097	0.40538359355668147	-0.31259372948973246	1.3751700157174382	-3.4430047944305726	2.090406428248594	-0.16162952110604858
160	oracle_fixed_reference	2026090701	2000	2000	0	0.19347511885804566	-0.00917700073285349	0.002795469047820766	0.12501717639847687	0.10336053949052297	0.8267707083790948	1697	0.8485	0.008017098914195832	0.832119542548813	0.8635442754961538	0.40516586964811	-0.32652687163984095	1.391928902289172	-3.471633226168802	2.0911592219774513	-0.16162952110604858
640	complete_kde	2026090701	2000	2000	0	0.19347511885804566	-0.002474231561545248	0.0014946974390313685	0.06684490158937975	0.060153735520727204	0.8999001283634827	1823	0.9115	0.006350895606133045	0.8982505492332389	0.9231717208542898	0.23579831031234616	-0.18695144602534797	1.1561254008951707	-2.597642982429701	1.8839053354441322	-0.15469459451702966
640	direct_only_ablation	2026090701	2000	2000	0	0.19347511885804566	-0.002474231561545248	0.0014946974390313685	0.06684490158937975	0.06009954127425935	0.89908938221562	1822	0.911	0.006367063687446513	0.897719973128375	0.9227042140064351	0.2355858727698536	-0.19100094473639864	1.16149684518774	-2.6279359734491265	1.8792875868186736	-0.15469459451702966
640	oracle_fixed_reference	2026090701	2000	2000	0	0.19347511885804566	-0.0024381882231768737	0.0014978744266839767	0.06698698079647794	0.060064110649809106	0.896653497972955	1810	0.905	0.006556485338960196	0.8913619885095446	0.9170852031926405	0.2354469872741091	-0.19007837534281719	1.1652441090604557	-2.592440559584193	1.8724512597624376	-0.15469459451702966
2560	complete_kde	2026090701	2000	2000	0	0.19347511885804566	-0.0008269007549355778	0.0007463907677453909	0.03337960988913903	0.03225824249403791	0.9664056171169936	1854	0.927	0.005816829033072915	0.9147622011152128	0.9376006405065973	0.12644998698574766	-0.12110997668300706	1.05726793195295	-2.3440118325571038	1.6653682110844223	-0.1517773596588923
2560	direct_only_ablation	2026090701	2000	2000	0	0.19347511885804566	-0.0008269007549356333	0.0007463907677453909	0.03337960988913903	0.03227394327332165	0.9668759874818926	1853	0.9265	0.005835141386461857	0.9142274629206418	0.9371372957484493	0.12651153290959835	-0.12225086606749541	1.0578641528113697	-2.35648886124135	1.6636639529094608	-0.1517773596588923
2560	oracle_fixed_reference	2026090701	2000	2000	0	0.19347511885804566	-0.0008806632793447455	0.0007500893306641776	0.03354501465124837	0.03227168432790444	0.9620411457087694	1858	0.929	0.005742778073371805	0.9169027082144119	0.9394524652182732	0.12650267800627682	-0.1239748238954949	1.0651397890720948	-2.388784468095793	1.674408813426024	-0.1517773596588923
