phase	scenario	n	repetitions	n_perm	mean_profile_effect	mean_profile_z	profile_studentized_permutation_rejection	holm_profile_rejection	mean_mantel_effect	mean_mantel_z	mantel_studentized_permutation_rejection	holm_mantel_rejection	raw_true_null_fwer	holm_true_null_fwer	holm_fwer_wilson_low	holm_fwer_wilson_high	both_holm_rejection
pilot	global_null_profile_margins	80	120	199	-0.022340245158781684	-0.36964092234968554	0.05	0.041666666666666664	-0.006766840656848651	-0.49579984786378445	0.075	0.058333333333333334	0.08333333333333333	0.058333333333333334	0.028541010000220295	0.11552592033630113	0.041666666666666664
pilot	profile_null_mantel_alt	80	120	199	0.018902402780819928	0.0524713617186018	0.025	0.025	0.3676060970769122	5.3256772339228124	0.9416666666666667	0.85	0.025	0.025	0.008538174769902228	0.0709300333278661	0.025
pilot	global_null_mantel_margins	80	120	199	-0.004223468982291174	-0.036213754950242955	0.041666666666666664	0.03333333333333333	-0.004459244273211508	-0.30710013131063124	0.041666666666666664	0.025	0.06666666666666667	0.041666666666666664	0.017926716880109515	0.09384085233703535	0.016666666666666666
pilot	mantel_null_profile_alt	80	120	199	-0.3389030723246295	-3.070254206283442	0.6333333333333333	0.48333333333333334	0.01604862897369375	0.04220408765916668	0.05	0.03333333333333333	0.05	0.03333333333333333	0.0130375510983506	0.082580337559106	0.025
pilot	both_positive_alt	80	120	199	0.5190827575352414	5.876797474239455	1.0	1.0	0.6438104127240497	11.562954678903598	1.0	1.0	0.0	0.0	0.0	0.031019166418703486	1.0
