n	latent_correlation	population_cdelta	interval_method	repetitions	n_boot	successful_rate	coverage_rate	coverage_wilson_low	coverage_wilson_high	mean_width	mean_estimate_bias
80	0.5	1.1065532454978906	percentile	800	399	1.0	0.93375	0.9143588941199503	0.9489954307716257	0.13785964548328644	-0.0032646713550297246
80	0.5	1.1065532454978906	basic	800	399	1.0	0.93625	0.917148222748839	0.9511822077617087	0.13785964548328644	-0.0032646713550297246
80	0.5	1.1065532454978906	bca	800	399	1.0	0.93875	0.919944761260124	0.9533617748693953	0.14613924241083928	-0.0032646713550297246
80	0.5	1.1065532454978906	normal	800	399	1.0	0.93875	0.919944761260124	0.9533617748693953	0.1397910658938602	-0.0032646713550297246
160	0.5	1.1065532454978906	percentile	800	399	1.0	0.92375	0.903266743051205	0.9401831593644846	0.09064162076456693	-0.0014832789142864566
160	0.5	1.1065532454978906	basic	800	399	1.0	0.91875	0.897755682062572	0.9357420091151744	0.09064162076456693	-0.0014832789142864566
160	0.5	1.1065532454978906	bca	800	399	1.0	0.9325	0.9129668165719684	0.9478994555101219	0.0950797243410939	-0.0014832789142864566
160	0.5	1.1065532454978906	normal	800	399	1.0	0.92125	0.9005085087242237	0.9379652880724942	0.092234555123643	-0.0014832789142864566
