section	source_file	kind	background	n	k_extremes	scenario	target_corr	selected_magnitude	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	t3	40	2	negative_control	0.35	4.5	0.05	500	499	14	0.028	0.0168	0.0464	0.8746	-0.0192	0.5336	0.0739	0.538	0.9421	0.0
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	t3	40	2	independent_null	0.35	4.5	0.05	500	499	32	0.064	0.0457	0.089	0.8786	0.0133	0.4822	0.032	0.464	0.936	0.14
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	t3	40	3	matched	0.35	4.0	0.05	500	499	286	0.572	0.5282	0.6147	0.9277	0.3424	0.0836	0.002	0.034	0.3227	3.0
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	t3	40	3	negative_control	0.35	4.0	0.05	500	499	13	0.026	0.0153	0.044	0.8841	-0.0421	0.5791	0.1	0.608	0.968	0.0
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	t3	40	3	independent_null	0.35	4.0	0.05	500	499	13	0.026	0.0153	0.044	0.8888	0.0031	0.4863	0.0699	0.46	0.936	0.23
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	lognormal	40	1	matched	0.35	3.5	0.05	500	499	198	0.396	0.3541	0.4395	0.9144	0.3372	0.0647	0.006	0.06	0.136	1.0
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	lognormal	40	1	negative_control	0.35	3.5	0.05	500	499	26	0.052	0.0357	0.0751	0.8696	-0.0077	0.5223	0.0459	0.531	0.9662	0.0
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	lognormal	40	1	independent_null	0.35	3.5	0.05	500	499	23	0.046	0.0308	0.0681	0.8689	-0.0022	0.5059	0.0539	0.505	0.948	0.024
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	lognormal	40	2	matched	0.35	3.0	0.05	500	499	334	0.668	0.6256	0.7079	0.9317	0.3871	0.0394	0.002	0.032	0.11	2.0
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	lognormal	40	2	negative_control	0.35	3.0	0.05	500	499	18	0.036	0.0229	0.0562	0.8827	-0.022	0.5396	0.0678	0.554	0.952	0.0
lower_target_l2_target_0.35	lower_target_calibration_20260715.tsv	l2	lognormal	40	2	independent_null	0.35	3.0	0.05	500	499	19	0.038	0.0245	0.0586	0.886	0.0093	0.4826	0.0599	0.467	0.958	0.136
