tau	n	stage	root_seed	replications	valid	failures	mean_rho	mean_rho_mcse	mean_C	reference_correlation	reference_correlation_mcse	mean_reference_product	mean_active_fraction	max_root_gap_in_scale_units	max_score_residual	scope	reference_rmse_x	reference_rmse_mcse_x	reference_minus_mean_rmse_x	reference_sign_correlation_x	mean_scale_x	median_rmse_x	reference_rmse_y	reference_rmse_mcse_y	reference_minus_mean_rmse_y	reference_sign_correlation_y	mean_scale_y	median_rmse_y	stage_aware_rejections	stage_aware_rate	stage_aware_wilson_low	stage_aware_wilson_high	stage_aware_mcse	direct_only_rejections	direct_only_rate	direct_only_wilson_low	direct_only_wilson_high	direct_only_mcse
0.1	80	population_reference	2026090901	2000	2000	0	0.0006350655444560387	0.002522353945160622	1.0000052433952238	nan	nan	0.0	1.0	0.0	0.2672117265464126	empirical null rejection; not a finite-sample validity certificate	0.0	0.0	0.11433572742662354	nan	1.4826000000000004	0.8225149414624731	0.0	0.0	0.11480625358235073	nan	1.4826000000000004	0.8235902054766299	144	0.072	0.061473133317261355	0.08416785915549115	0.005779965397820302	144	0.072	0.061473133317261355	0.08416785915549115	0.005779965397820302
0.1	80	population_scale	2026090901	2000	2000	0	0.38042079064920825	0.006530257534129809	1.0133841370478693	0.9902992875786012	0.00045177036117897555	0.012999111094976618	1.0	0.0	8.881784197001253e-17	empirical null rejection; not a finite-sample validity certificate	0.11433572742662354	0.0018182978178909043	3.1062361210427834e-17	0.9950687733114137	1.4826000000000004	0.8225149414624731	0.11480625358235073	0.0018307568141579075	3.2004699234799856e-17	0.9954471719545087	1.4826000000000004	0.8235902054766299	447	0.2235	0.20578231824139684	0.24227780890513598	0.009315249594079592	1357	0.6785	0.6577054850262555	0.6986101290943373	0.010443604502277937
0.1	80	population_median	2026090901	2000	2000	0	0.38042079064920825	0.00653025753412981	1.0133841370478693	0.9902992875786012	0.00045177036117897523	0.01299911109497662	1.0	0.0	9.43689570931383e-17	empirical null rejection; not a finite-sample validity certificate	0.11433572742662354	0.0018182978178909043	3.1804873181588565e-17	0.9950687733114137	1.482731437163983	0.8225149414624731	0.11480625358235073	0.0018307568141579075	3.112835216130854e-17	0.9954471719545088	1.482349330401044	0.8235902054766299	447	0.2235	0.20578231824139684	0.24227780890513598	0.009315249594079592	1357	0.6785	0.6577054850262555	0.6986101290943373	0.010443604502277937
0.1	80	full_fit	2026090901	2000	2000	0	0.8206743815357221	0.006820744249974822	1.3011905784313036	0.9846811084374243	0.0007456680283142537	0.2518625813548666	0.473259375	5.935549726265949e-10	1.11291564852678e-10	empirical null rejection; not a finite-sample validity certificate	0.5055523659321616	0.004367730614574807	0.3987243853611329	0.9526979076159111	0.5354496000051018	0.8225149414624731	0.5059348730365503	0.00432382275117715	0.398822861897295	0.9521428630875859	0.5344114694885415	0.8235902054766299	1510	0.755	0.735673828496995	0.773348477389566	0.00961704216482386	1807	0.9035	0.889774970136178	0.9156779727078507	0.006602565789145914
0.1	640	population_reference	2026090901	2000	2000	0	-0.0006058625783309457	0.0008658487944139289	0.9999942134785408	nan	nan	0.0	1.0	0.0	0.09501044689523129	empirical null rejection; not a finite-sample validity certificate	0.0	0.0	0.04012750292456144	nan	1.4826000000000004	0.8088261029758524	0.0	0.0	0.04013857029627042	nan	1.4826000000000004	0.8088942440942448	105	0.0525	0.04355496702511128	0.06316079029161008	0.004987171041783107	105	0.0525	0.04355496702511128	0.06316079029161008	0.004987171041783107
0.1	640	population_scale	2026090901	2000	2000	0	0.1116500363585304	0.0029048564441220897	1.0015725136102585	0.9898981792102319	0.0004345269879517716	0.001594390176027613	1.0	0.0	7.494005416219807e-17	empirical null rejection; not a finite-sample validity certificate	0.04012750292456144	0.0006385595199577999	2.5918519637150567e-17	0.9950113956184374	1.4826000000000004	0.8088261029758524	0.04013857029627042	0.0006305258335617682	2.5415569570491274e-17	0.9948249700719567	1.4826000000000004	0.8088942440942448	66	0.033	0.026022752700289677	0.041767769460400554	0.003994433626936364	975	0.4875	0.4656387430577313	0.5094091831243	0.011176845485198405
0.1	640	population_median	2026090901	2000	2000	0	0.1116500363585304	0.0029048564441220897	1.0015725136102585	0.9898981792102319	0.0004345269879517716	0.001594390176027613	1.0	0.0	7.494005416219807e-17	empirical null rejection; not a finite-sample validity certificate	0.04012750292456144	0.0006385595199577999	2.6202822943585327e-17	0.9950113956184374	1.4824539683540672	0.8088261029758524	0.04013857029627042	0.0006305258335617682	2.5726672709459456e-17	0.9948249700719567	1.4827032213560585	0.8088942440942448	66	0.033	0.026022752700289677	0.041767769460400554	0.003994433626936364	975	0.4875	0.4656387430577313	0.5094091831243	0.011176845485198405
0.1	640	full_fit	2026090901	2000	2000	0	0.6305943846508535	0.00811090834259646	1.0795502662541667	0.9867059717742669	0.000627254512093613	0.07672187119180134	0.37185820312500006	1.410854281002949e-05	1.0140515144516082e-06	empirical null rejection; not a finite-sample validity certificate	0.2789731698620243	0.003335532839600205	0.23988668536778687	0.9830101550434012	0.6178804753370057	0.8088261029758524	0.27872063499167316	0.0033185195428917552	0.23963979398609409	0.9823497887274526	0.6179959359621816	0.8088942440942448	1102	0.551	0.5291241420776668	0.5726803190996456	0.011122027692826521	1654	0.827	0.8098000496879411	0.8429462013901193	0.008457866161154362
0.4	80	population_reference	2026090901	2000	2000	0	-0.003459843266172511	0.0024977207290822583	0.9995175341364974	nan	nan	0.0	0.95789375	0.0	0.2964666708604583	empirical null rejection; not a finite-sample validity certificate	0.0	0.0	0.13065734257068662	nan	1.4826000000000004	0.5525860015911771	0.0	0.0	0.13097982349228543	nan	1.4826000000000004	0.555178030614559	151	0.0755	0.06471759454279065	0.08790997859899309	0.005907611615534657	151	0.0755	0.06471759454279065	0.08790997859899309	0.005907611615534657
0.4	80	population_scale	2026090901	2000	2000	0	0.061604452809332515	0.00285980788316254	1.0132323833716825	0.8688899566462438	0.00554532597936851	0.015356272228241727	0.9584437499999999	0.0	1.605937605120289e-14	empirical null rejection; not a finite-sample validity certificate	0.13322586622672566	0.00215696721099825	0.01242301818486292	0.9320343698027049	1.4826000000000004	0.5525860015911771	0.13265782517127964	0.0021054132294122405	0.011935249955589531	0.9358784464728687	1.4826000000000004	0.555178030614559	98	0.049	0.04037353995030726	0.05935563669738288	0.0048269555622566076	321	0.1605	0.14506587373687918	0.1772358013670915	0.008207915386990781
