group	metric	method	correlation_with_rejection_rate	bootstrap_low	bootstrap_high	n_rows
n=40	background_cv	pearson	-0.5376	-0.6518	-0.4232	162
n=40	background_cv	spearman	-0.6253	-0.7035	-0.5271	162
n=40	background_q90_to_mean	pearson	0.1775	0.0192	0.3409	162
n=40	background_q90_to_mean	spearman	0.1341	-0.0329	0.2873	162
n=40	background_q95_to_mean	pearson	-0.2995	-0.4354	-0.147	162
n=40	background_q95_to_mean	spearman	-0.3763	-0.5137	-0.2344	162
n=40	background_topk_to_mean	pearson	-0.6393	-0.7251	-0.5382	162
n=40	background_topk_to_mean	spearman	-0.7137	-0.7757	-0.6265	162
n=40	background_max_to_mean	pearson	-0.6163	-0.7107	-0.516	162
n=40	background_max_to_mean	spearman	-0.7356	-0.7927	-0.6634	162
n=40	signal_over_q90_noise	pearson	0.5615	0.4811	0.6337	162
n=40	signal_over_q90_noise	spearman	0.5966	0.4803	0.6971	162
n=40	signal_over_q95_noise	pearson	0.6216	0.5507	0.6888	162
n=40	signal_over_q95_noise	spearman	0.6878	0.5931	0.765	162
n=40	signal_over_topk_noise	pearson	0.7986	0.7529	0.8462	162
n=40	signal_over_topk_noise	spearman	0.9249	0.8901	0.9476	162
n=40	signal_over_max_noise	pearson	0.7019	0.6468	0.7571	162
n=40	signal_over_max_noise	spearman	0.8369	0.7882	0.8721	162
n=40	mean_corr_from_signal_runs	pearson	0.9272	0.9096	0.9427	162
n=40	mean_corr_from_signal_runs	spearman	0.9521	0.9254	0.9694	162
n=40	mean_norm_from_signal_runs	pearson	0.7871	0.7349	0.8368	162
n=40	mean_norm_from_signal_runs	spearman	0.8592	0.8259	0.8832	162
n=80	matched_extreme_to_mean	pearson	0.6567	0.5892	0.7282	162
n=80	matched_extreme_to_mean	spearman	0.7238	0.6317	0.7999	162
n=80	background_cv	pearson	-0.5949	-0.6918	-0.4942	162
n=80	background_cv	spearman	-0.6758	-0.7481	-0.5844	162
n=80	background_q90_to_mean	pearson	0.2731	0.12	0.4173	162
n=80	background_q90_to_mean	spearman	0.3169	0.1786	0.4421	162
n=80	background_q95_to_mean	pearson	-0.2684	-0.4284	-0.1055	162
n=80	background_q95_to_mean	spearman	-0.2708	-0.4193	-0.101	162
n=80	background_topk_to_mean	pearson	-0.6973	-0.7627	-0.6162	162
n=80	background_topk_to_mean	spearman	-0.7768	-0.8281	-0.7104	162
n=80	background_max_to_mean	pearson	-0.6748	-0.7461	-0.5968	162
n=80	background_max_to_mean	spearman	-0.7621	-0.8102	-0.6995	162
n=80	signal_over_q90_noise	pearson	0.6672	0.5898	0.7383	162
n=80	signal_over_q90_noise	spearman	0.7269	0.6333	0.8069	162
n=80	signal_over_q95_noise	pearson	0.7175	0.6584	0.7708	162
n=80	signal_over_q95_noise	spearman	0.8035	0.7336	0.8595	162
n=80	signal_over_topk_noise	pearson	0.8215	0.7845	0.8613	162
n=80	signal_over_topk_noise	spearman	0.9526	0.9312	0.9648	162
n=80	signal_over_max_noise	pearson	0.7637	0.7189	0.8095	162
n=80	signal_over_max_noise	spearman	0.898	0.868	0.9182	162
n=80	mean_corr_from_signal_runs	pearson	0.8854	0.8628	0.9093	162
n=80	mean_corr_from_signal_runs	spearman	0.957	0.9341	0.9706	162
n=80	mean_norm_from_signal_runs	pearson	0.7487	0.6836	0.8067	162
n=80	mean_norm_from_signal_runs	spearman	0.8239	0.7741	0.8586	162
n=160	matched_extreme_to_mean	pearson	0.7156	0.6519	0.7716	162
n=160	matched_extreme_to_mean	spearman	0.7946	0.7206	0.854	162
n=160	background_cv	pearson	-0.6139	-0.6959	-0.5209	162
n=160	background_cv	spearman	-0.6869	-0.7509	-0.6069	162
n=160	background_q90_to_mean	pearson	0.3162	0.1532	0.4541	162
n=160	background_q90_to_mean	spearman	0.2795	0.1353	0.4208	162
n=160	background_q95_to_mean	pearson	-0.224	-0.3699	-0.0677	162
n=160	background_q95_to_mean	spearman	-0.1601	-0.3293	0.0065	162
n=160	background_topk_to_mean	pearson	-0.7166	-0.7747	-0.6539	162
n=160	background_topk_to_mean	spearman	-0.786	-0.8287	-0.7298	162
n=160	background_max_to_mean	pearson	-0.695	-0.7627	-0.6163	162
n=160	background_max_to_mean	spearman	-0.7661	-0.8133	-0.7067	162
n=160	signal_over_q90_noise	pearson	0.7238	0.6556	0.7842	162
n=160	signal_over_q90_noise	spearman	0.7996	0.7197	0.856	162
n=160	signal_over_q95_noise	pearson	0.7661	0.715	0.8178	162
