n	latent_correlation	contamination_fraction	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_cdelta_minus_one	mean_profile_correlation
20	0.3	0.05	huber_primary	1200	499	0.05583333333333333	0.04420361839753011	0.07029772047123273	0.015456865296514577	0.002473921074303479
20	0.3	0.05	huber_cap6	1200	499	0.058333333333333334	0.0464284241141606	0.07305695975158857	0.029447425883100342	0.021972858153368482
20	0.5	0.0	original_l2	1200	499	0.42333333333333334	0.3956664377256536	0.451489515700099	0.018225564322265297	0.3536106914479792
20	0.5	0.0	huber_primary	1200	499	0.4325	0.4047286537500697	0.46070213133129934	0.09947937300928844	0.3406611877628431
20	0.5	0.0	huber_cap6	1200	499	0.43083333333333335	0.4030802523943794	0.4590278360223322	0.09847512682898696	0.33993416974081886
20	0.5	0.05	original_l2	1200	499	0.0425	0.032471408616991965	0.05544835693451049	-0.0012461758429670455	-0.0036306393407615914
20	0.5	0.05	huber_primary	1200	499	0.04583333333333333	0.035380848837991884	0.05918431004282566	0.004988293785815223	0.0009563837720613751
20	0.5	0.05	huber_cap6	1200	499	0.050833333333333335	0.0397759124281339	0.0647573364466563	0.03957549711280639	0.031029043365872047
20	0.7	0.0	original_l2	1200	499	0.7233333333333334	0.6973402886503763	0.7479010644137354	0.027109818905356464	0.5260273260725404
20	0.7	0.0	huber_primary	1200	499	0.7233333333333334	0.6973402886503763	0.7479010644137354	0.1438866112599615	0.49979579241772787
20	0.7	0.0	huber_cap6	1200	499	0.7233333333333334	0.6973402886503763	0.7479010644137354	0.14321394876144233	0.49924086062986334
20	0.7	0.05	original_l2	1200	499	0.0575	0.04568605530313232	0.07213798023028808	0.002791973952391391	0.008167794147565995
20	0.7	0.05	huber_primary	1200	499	0.06166666666666667	0.04940522288254483	0.07672555431251947	0.06378465950743406	0.015609691754209844
20	0.7	0.05	huber_cap6	1200	499	0.07	0.05689397841972531	0.08585028209862673	0.08732777765956579	0.06179010882664678
40	0.0	0.0	original_l2	1200	499	0.04416666666666667	0.03392392584061023	0.05731853637554976	-9.444133041602853e-05	-0.0016916814800676313
40	0.0	0.0	huber_primary	1200	499	0.0425	0.032471408616991965	0.05544835693451049	-0.00048109682232333473	-0.001321227352307132
40	0.0	0.0	huber_cap6	1200	499	0.0425	0.032471408616991965	0.05544835693451049	-0.0005057266057983956	-0.0013565161934888173
40	0.0	0.05	original_l2	1200	499	0.06166666666666667	0.04940522288254483	0.07672555431251947	0.003936189680826319	0.011426818083632941
40	0.0	0.05	huber_primary	1200	499	0.060833333333333336	0.048659952771868555	0.07580947609086694	0.04798531233328318	0.011378208135871733
40	0.0	0.05	huber_cap6	1200	499	0.060833333333333336	0.048659952771868555	0.07580947609086694	0.019921855427856627	0.010322512524270076
40	0.1	0.0	original_l2	1200	499	0.11666666666666667	0.0997144441069211	0.13606532302184232	0.004258455742308653	0.08086441664439441
40	0.1	0.0	huber_primary	1200	499	0.13416666666666666	0.11604548355623404	0.15462259855143365	0.022082310741823985	0.08470181668857132
40	0.1	0.0	huber_cap6	1200	499	0.13416666666666666	0.11604548355623404	0.15462259855143365	0.02208450300902043	0.08469682435574487
40	0.1	0.05	original_l2	1200	499	0.050833333333333335	0.0397759124281339	0.0647573364466563	-0.0007229106069500668	-0.0021135400025466635
40	0.1	0.05	huber_primary	1200	499	0.04583333333333333	0.035380848837991884	0.05918431004282566	-0.0032340082060232644	-0.0009489621053052322
40	0.1	0.05	huber_cap6	1200	499	0.05416666666666667	0.04272435599457301	0.06845428620953228	0.006287054430792027	0.004640050838590307
40	0.2	0.0	original_l2	1200	499	0.20583333333333334	0.18391373534638447	0.2296303033415579	0.007841980226013012	0.1555427906555457
40	0.2	0.0	huber_primary	1200	499	0.22083333333333333	0.19827514192228965	0.24517316674757064	0.040491755776754346	0.1607481759255018
40	0.2	0.0	huber_cap6	1200	499	0.22083333333333333	0.19827514192228965	0.24517316674757064	0.040477826037649045	0.16074945736731464
40	0.2	0.05	original_l2	1200	499	0.045	0.034651851044372725	0.058251959504116047	0.0014787607858490759	0.0041818242300513545
40	0.2	0.05	huber_primary	1200	499	0.0525	0.041248404856606004	0.06660754068284175	0.03016148693414422	0.006471989750234802
40	0.2	0.05	huber_cap6	1200	499	0.056666666666666664	0.044944448197728686	0.07121823900336294	0.0262669120612129	0.015774054258847297
40	0.3	0.0	original_l2	1200	499	0.4008333333333333	0.37346458148814615	0.4288349669647295	0.012438158424385115	0.24081444517406514
40	0.3	0.0	huber_primary	1200	499	0.4483333333333333	0.4204044455689072	0.4765919578267086	0.06298261384969472	0.24714627648466111
40	0.3	0.0	huber_cap6	1200	499	0.4483333333333333	0.4204044455689072	0.4765919578267086	0.06293627117754874	0.2470715697946097
40	0.3	0.05	original_l2	1200	499	0.0575	0.04568605530313232	0.07213798023028808	0.0029178910107183764	0.008475719534817107
40	0.3	0.05	huber_primary	1200	499	0.06416666666666666	0.05164513089868225	0.07946969129336834	0.05611062689380941	0.012932364701198665
40	0.3	0.05	huber_cap6	1200	499	0.07666666666666666	0.06292738768669681	0.0931076594902854	0.04260498208783026	0.027996663827976023
40	0.5	0.0	original_l2	1200	499	0.7658333333333334	0.7410482645652837	0.7889218534475956	0.020916207957820232	0.4040217573798233
