phase	node_strength	dyad_strength	raw_strength_ratio	fisher_z_strength_ratio	dyadic_weight	node_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
external_boundary_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.0	1.0	800	199	0.5525	0.445	0.1075	0.014519580237142825	0.07904162273520006	0.13595837726479992	115	29	327	329	0.0
external_boundary_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.05	0.95	800	199	0.43375	0.37875	0.055	0.013093244109143733	0.029337241546078283	0.08066275845392172	78	34	269	419	0.0
external_boundary_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.1	0.9	800	199	0.34625	0.31875	0.0275	0.012343830450380249	0.003306092317254712	0.05169390768274529	60	38	217	485	0.0
external_boundary_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.125	0.875	800	199	0.30375	0.28	0.02375	0.012162126398091493	-8.776774025932507e-05	0.04758776774025933	57	38	186	519	0.0
external_boundary_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.15	0.85	800	199	0.2675	0.2625	0.005	0.011995775226266074	-0.018511719443481504	0.028511719443481506	48	44	166	542	0.0
external_boundary_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.175	0.825	800	199	0.24125	0.24125	0.0	0.011997079327506679	-0.02351427548191309	0.02351427548191309	46	46	147	561	0.0
external_boundary_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.2	0.8	800	199	0.21	0.2175	-0.0075	0.01146053521150595	-0.029962649014551663	0.014962649014551663	39	45	129	587	0.0
external_boundary_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.25	0.75	800	199	0.1675	0.18875	-0.02125	0.010805970948284515	-0.04242970305863765	-7.02969413623536e-05	29	46	105	620	0.0
