kind	n	background	k	magnitude_mad	overlap	overlap_fraction	binary_theory_correlation	mean_divergence_correlation	attenuation_from_binary_theory	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
l2	80	t2	4	8.0	0	0.0	-0.0526	-0.0093	0.0433	200	199	0.05	0.0274	0.0896
l2	80	t2	4	8.0	1	0.25	0.2105	0.0696	-0.1409	200	199	0.095	0.0617	0.1436
l2	80	t2	4	8.0	2	0.5	0.4737	0.1317	-0.342	200	199	0.19	0.1417	0.25
l2	80	t2	4	8.0	3	0.75	0.7368	0.2041	-0.5328	200	199	0.43	0.3633	0.4993
l2	80	t2	4	8.0	4	1.0	1.0	0.2716	-0.7284	200	199	0.5	0.4314	0.5686
l2	80	t2	4	12.0	0	0.0	-0.0526	-0.0401	0.0126	200	199	0.005	0.0009	0.0278
l2	80	t2	4	12.0	1	0.25	0.2105	0.1013	-0.1092	200	199	0.08	0.0498	0.126
l2	80	t2	4	12.0	2	0.5	0.4737	0.2515	-0.2222	200	199	0.535	0.4659	0.6028
l2	80	t2	4	12.0	3	0.75	0.7368	0.3536	-0.3832	200	199	0.695	0.628	0.7546
l2	80	t2	4	12.0	4	1.0	1.0	0.5101	-0.4899	200	199	0.8	0.7391	0.8495
l1	80	normal	4	4.0	0	0.0	-0.0526	-0.0176	0.035	200	199	0.025	0.0107	0.0572
l1	80	normal	4	4.0	1	0.25	0.2105	0.087	-0.1236	200	199	0.15	0.1071	0.2061
l1	80	normal	4	4.0	2	0.5	0.4737	0.1982	-0.2755	200	199	0.45	0.3826	0.5192
l1	80	normal	4	4.0	3	0.75	0.7368	0.3012	-0.4357	200	199	0.815	0.7554	0.8627
l1	80	normal	4	4.0	4	1.0	1.0	0.4093	-0.5907	200	199	0.98	0.9497	0.9922
l1	80	normal	4	6.0	0	0.0	-0.0526	-0.0382	0.0144	200	199	0.005	0.0009	0.0278
l1	80	normal	4	6.0	1	0.25	0.2105	0.1396	-0.0709	200	199	0.155	0.1114	0.2116
l1	80	normal	4	6.0	2	0.5	0.4737	0.337	-0.1367	200	199	0.945	0.9042	0.969
l1	80	normal	4	6.0	3	0.75	0.7368	0.5269	-0.21	200	199	1.0	0.9812	1.0
l1	80	normal	4	6.0	4	1.0	1.0	0.7067	-0.2933	200	199	1.0	0.9812	1.0
l1	80	normal	4	8.0	0	0.0	-0.0526	-0.0403	0.0123	200	199	0.0	0.0	0.0188
l1	80	normal	4	8.0	1	0.25	0.2105	0.1796	-0.031	200	199	0.21	0.1593	0.2716
l1	80	normal	4	8.0	2	0.5	0.4737	0.3955	-0.0782	200	199	1.0	0.9812	1.0
l1	80	normal	4	8.0	3	0.75	0.7368	0.6172	-0.1197	200	199	1.0	0.9812	1.0
l1	80	normal	4	8.0	4	1.0	1.0	0.8351	-0.1649	200	199	1.0	0.9812	1.0
l1	80	normal	4	12.0	0	0.0	-0.0526	-0.0471	0.0055	200	199	0.0	0.0	0.0188
l1	80	normal	4	12.0	1	0.25	0.2105	0.2006	-0.0099	200	199	0.215	0.1637	0.277
l1	80	normal	4	12.0	2	0.5	0.4737	0.4439	-0.0297	200	199	1.0	0.9812	1.0
l1	80	normal	4	12.0	3	0.75	0.7368	0.6873	-0.0495	200	199	1.0	0.9812	1.0
l1	80	normal	4	12.0	4	1.0	1.0	0.9296	-0.0704	200	199	1.0	0.9812	1.0
l1	80	t3	4	4.0	0	0.0	-0.0526	0.0027	0.0553	200	199	0.045	0.0239	0.0833
l1	80	t3	4	4.0	1	0.25	0.2105	0.0303	-0.1802	200	199	0.065	0.0384	0.108
l1	80	t3	4	4.0	2	0.5	0.4737	0.0587	-0.415	200	199	0.08	0.0498	0.126
l1	80	t3	4	4.0	3	0.75	0.7368	0.0888	-0.648	200	199	0.125	0.0861	0.178
l1	80	t3	4	4.0	4	1.0	1.0	0.1377	-0.8623	200	199	0.245	0.1906	0.309
l1	80	t3	4	6.0	0	0.0	-0.0526	-0.0165	0.0361	200	199	0.015	0.0051	0.0432
l1	80	t3	4	6.0	1	0.25	0.2105	0.0794	-0.1312	200	199	0.095	0.0617	0.1436
l1	80	t3	4	6.0	2	0.5	0.4737	0.1608	-0.3129	200	199	0.275	0.2178	0.3407
l1	80	t3	4	6.0	3	0.75	0.7368	0.2608	-0.476	200	199	0.635	0.5663	0.6986
l1	80	t3	4	6.0	4	1.0	1.0	0.3371	-0.6629	200	199	0.755	0.691	0.8094
l1	80	t3	4	8.0	0	0.0	-0.0526	-0.0283	0.0243	200	199	0.02	0.0078	0.0503
l1	80	t3	4	8.0	1	0.25	0.2105	0.0981	-0.1124	200	199	0.105	0.0697	0.1552
l1	80	t3	4	8.0	2	0.5	0.4737	0.2394	-0.2342	200	199	0.54	0.4708	0.6077
l1	80	t3	4	8.0	3	0.75	0.7368	0.3761	-0.3607	200	199	0.86	0.8051	0.9013
l1	80	t3	4	8.0	4	1.0	1.0	0.5335	-0.4665	200	199	0.96	0.9231	0.9796
l1	80	t3	4	12.0	0	0.0	-0.0526	-0.0399	0.0127	200	199	0.005	0.0009	0.0278
l1	80	t3	4	12.0	1	0.25	0.2105	0.1591	-0.0514	200	199	0.14	0.0987	0.1949
l1	80	t3	4	12.0	2	0.5	0.4737	0.3485	-0.1252	200	199	0.91	0.8622	0.9423
l1	80	t3	4	12.0	3	0.75	0.7368	0.5424	-0.1944	200	199	0.975	0.9428	0.9893
l1	80	t3	4	12.0	4	1.0	1.0	0.7346	-0.2654	200	199	0.99	0.9643	0.9973
l1	80	t2	4	4.0	0	0.0	-0.0526	0.008	0.0606	200	199	0.055	0.031	0.0958
l1	80	t2	4	4.0	1	0.25	0.2105	0.0031	-0.2075	200	199	0.04	0.0204	0.0769
l1	80	t2	4	4.0	2	0.5	0.4737	0.0208	-0.4529	200	199	0.06	0.0347	0.1019
l1	80	t2	4	4.0	3	0.75	0.7368	0.0344	-0.7025	200	199	0.075	0.046	0.12
l1	80	t2	4	4.0	4	1.0	1.0	0.0554	-0.9446	200	199	0.095	0.0617	0.1436
l1	80	t2	4	6.0	0	0.0	-0.0526	-0.0147	0.0379	200	199	0.04	0.0204	0.0769
l1	80	t2	4	6.0	1	0.25	0.2105	0.0214	-0.1891	200	199	0.055	0.031	0.0958
l1	80	t2	4	6.0	2	0.5	0.4737	0.0728	-0.4009	200	199	0.13	0.0903	0.1837
l1	80	t2	4	6.0	3	0.75	0.7368	0.1155	-0.6213	200	199	0.17	0.1243	0.2282
l1	80	t2	4	6.0	4	1.0	1.0	0.1506	-0.8494	200	199	0.26	0.2041	0.3249
l1	80	t2	4	8.0	0	0.0	-0.0526	-0.0225	0.0302	200	199	0.015	0.0051	0.0432
l1	80	t2	4	8.0	1	0.25	0.2105	0.0504	-0.1601	200	199	0.06	0.0347	0.1019
l1	80	t2	4	8.0	2	0.5	0.4737	0.1204	-0.3532	200	199	0.175	0.1286	0.2336
l1	80	t2	4	8.0	3	0.75	0.7368	0.2257	-0.5111	200	199	0.45	0.3826	0.5192
l1	80	t2	4	8.0	4	1.0	1.0	0.2971	-0.7029	200	199	0.57	0.5007	0.6367
l1	80	t2	4	12.0	0	0.0	-0.0526	-0.0241	0.0285	200	199	0.015	0.0051	0.0432
l1	80	t2	4	12.0	1	0.25	0.2105	0.11	-0.1005	200	199	0.135	0.0945	0.1893
l1	80	t2	4	12.0	2	0.5	0.4737	0.2403	-0.2334	200	199	0.56	0.4907	0.627
l1	80	t2	4	12.0	3	0.75	0.7368	0.3624	-0.3745	200	199	0.775	0.7123	0.8274
l1	80	t2	4	12.0	4	1.0	1.0	0.4848	-0.5152	200	199	0.82	0.7609	0.8671
