cap	null_max	minimum_sparse_power_retention	mean_t2_power	mean_masking_power	feasible	selected
3.0	0.058	0.3406666666666667	0.5623333333333334	0.3666666666666667	0	0
4.0	0.05733333333333333	0.7786666666666666	0.8036666666666668	0.5376666666666666	0	0
5.0	0.06	0.974	0.9039999999999999	0.5823333333333334	1	1
6.0	0.06133333333333333	0.9946666666666667	0.921	0.5116666666666667	1	0
8.0	0.06266666666666666	1.0	0.8946666666666667	0.2813333333333333	1	0
