phase	configuration	bracket_low	bracket_high	crossover_estimate	zero_difference_band_low	zero_difference_band_high	grid_points	repetitions_per_point	n_perm
coarse	balanced_magnitude_skew_gaussian_dyad	0.15	0.2	0.190625	0.1	0.3	12	250	199
coarse	balanced_magnitude_skew_lognormal_dyad	0.4	0.5	0.4076923076923077	0.15	0.4	12	250	199
