phase	configuration	node_strength	dyad_strength	dyadic_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
local_seed2	balanced_node_gaussian_dyad	0.55	0.7	0.225	600	199	0.345	0.3233333333333333	0.021666666666666667	0.012562402205571598	-0.0029556416562536644	0.046288974989587	35	22	172	371	0.0
local_seed2	balanced_node_gaussian_dyad	0.55	0.7	0.25	600	199	0.32166666666666666	0.30833333333333335	0.013333333333333334	0.012245555373865015	-0.010667955199442096	0.037334621866108766	31	23	162	384	0.0
local_seed2	balanced_node_gaussian_dyad	0.55	0.7	0.275	600	199	0.30833333333333335	0.315	-0.006666666666666667	0.012025447573900306	-0.030236543911511267	0.01690321057817793	24	28	161	387	0.0
local_seed2	balanced_node_gaussian_dyad	0.55	0.7	0.3	600	199	0.3	0.31666666666666665	-0.016666666666666666	0.012238736924463001	-0.040654591038614143	0.007321257705280814	22	32	158	388	0.0
local_seed2	balanced_node_gaussian_dyad	0.55	0.7	0.325	600	199	0.2866666666666667	0.31833333333333336	-0.03166666666666667	0.012963534891235312	-0.057075195053487876	-0.006258138279845459	21	40	151	388	0.0
local_seed2	balanced_node_gaussian_dyad	0.55	0.7	0.35	600	199	0.2733333333333333	0.32166666666666666	-0.04833333333333333	0.013091681902638838	-0.07399302986250546	-0.02267363680416121	17	46	147	390	0.0
local_seed2	balanced_node_gaussian_dyad	0.55	0.7	0.375	600	199	0.27	0.325	-0.055	0.013047684473379232	-0.0805734615678233	-0.029426538432176706	15	48	147	390	0.0
local_seed2	balanced_node_gaussian_dyad	0.55	0.7	0.4	600	199	0.275	0.33666666666666667	-0.06166666666666667	0.013210164268190622	-0.08755858863232029	-0.03577474470101305	14	51	151	384	0.0
local_seed2	balanced_node_gaussian_dyad	0.55	0.7	0.425	600	199	0.27166666666666667	0.33666666666666667	-0.065	0.014002245626401549	-0.09244440142774704	-0.03755559857225296	17	56	146	381	0.0
local_seed2	balanced_node_gaussian_dyad	0.55	0.7	0.45	600	199	0.265	0.34833333333333333	-0.08333333333333333	0.014525832661353964	-0.1118039653495871	-0.05486270131707956	15	65	144	376	0.0
local_seed2	balanced_node_gaussian_dyad	0.55	0.7	0.475	600	199	0.25333333333333335	0.3566666666666667	-0.10333333333333333	0.014881589142907076	-0.1325012480534312	-0.07416541861323547	12	74	140	374	0.0
local_seed2	imbalanced_node_gaussian_dyad	0.55	0.7	0.0	600	199	0.38166666666666665	0.37333333333333335	0.008333333333333333	0.011907444645650944	-0.015005258172142518	0.031671924838809186	28	23	201	348	0.0
local_seed2	imbalanced_node_gaussian_dyad	0.55	0.7	0.025	600	199	0.37	0.37333333333333335	-0.0033333333333333335	0.010281693719743589	-0.023485453024030767	0.0168187863573641	18	20	204	358	0.0
local_seed2	imbalanced_node_gaussian_dyad	0.55	0.7	0.05	600	199	0.375	0.36666666666666664	0.008333333333333333	0.010411448331196829	-0.012073105395812451	0.028739772062479116	22	17	203	358	0.0
local_seed2	imbalanced_node_gaussian_dyad	0.55	0.7	0.075	600	199	0.3566666666666667	0.36333333333333334	-0.006666666666666667	0.010546203474073722	-0.027337225475851164	0.014003892142517828	18	22	196	364	0.0
local_seed2	imbalanced_node_gaussian_dyad	0.55	0.7	0.1	600	199	0.3566666666666667	0.365	-0.008333333333333333	0.010411448331196829	-0.028739772062479116	0.012073105395812451	17	22	197	364	0.0
local_seed2	imbalanced_node_gaussian_dyad	0.55	0.7	0.125	600	199	0.34833333333333333	0.37	-0.021666666666666667	0.010644026822266877	-0.042528959238309745	-0.0008043740950235898	14	27	195	364	0.0
local_seed2	balanced_node_lognormal_dyad	0.55	0.7	0.175	600	199	0.44166666666666665	0.37833333333333335	0.06333333333333334	0.013091150559221278	0.03767467823725963	0.08899198842940705	51	13	214	322	0.0
local_seed2	balanced_node_lognormal_dyad	0.55	0.7	0.2	600	199	0.4266666666666667	0.36833333333333335	0.058333333333333334	0.013023493746020102	0.03280728559113394	0.08385938107553273	49	14	207	330	0.0
local_seed2	balanced_node_lognormal_dyad	0.55	0.7	0.225	600	199	0.40166666666666667	0.365	0.03666666666666667	0.012392367251321847	0.012377626854075847	0.060955706479257486	39	17	202	342	0.0
local_seed2	balanced_node_lognormal_dyad	0.55	0.7	0.25	600	199	0.39	0.36833333333333335	0.021666666666666667	0.01211132893737086	-0.0020715380505802183	0.04540487138391355	33	20	201	346	0.0
local_seed2	balanced_node_lognormal_dyad	0.55	0.7	0.275	600	199	0.37666666666666665	0.37666666666666665	0.0	0.012920716240994558	-0.025324603832349333	0.025324603832349333	30	30	196	344	0.0
local_seed2	balanced_node_lognormal_dyad	0.55	0.7	0.3	600	199	0.35833333333333334	0.36833333333333335	-0.01	0.012914254266976479	-0.0353119383632739	0.0153119383632739	27	33	188	352	0.0
local_seed2	balanced_node_lognormal_dyad	0.55	0.7	0.325	600	199	0.345	0.36666666666666664	-0.021666666666666667	0.013624907358875274	-0.0483714850900622	0.005038151756728868	27	40	180	353	0.0
local_seed2	balanced_node_lognormal_dyad	0.55	0.7	0.35	600	199	0.33666666666666667	0.365	-0.028333333333333332	0.014007543612497493	-0.05578811881382842	-0.0008785478528382483	27	44	175	354	0.0
local_seed2	balanced_node_lognormal_dyad	0.55	0.7	0.375	600	199	0.335	0.375	-0.04	0.014059259272290124	-0.06755614817368864	-0.012443851826311358	24	48	177	351	0.0
local_seed2	imbalanced_node_lognormal_dyad	0.55	0.7	0.0	600	199	0.35833333333333334	0.35333333333333333	0.005	0.011674613717529743	-0.017882242886358295	0.027882242886358297	26	23	189	362	0.0
local_seed2	imbalanced_node_lognormal_dyad	0.55	0.7	0.025	600	199	0.3566666666666667	0.3616666666666667	-0.005	0.010678824109555646	-0.025930495254729066	0.015930495254729064	19	22	195	364	0.0
local_seed2	imbalanced_node_lognormal_dyad	0.55	0.7	0.05	600	199	0.3416666666666667	0.3566666666666667	-0.015	0.011660305126246613	-0.03785419804744336	0.007854198047443361	20	29	185	366	0.0
local_seed2	imbalanced_node_lognormal_dyad	0.55	0.7	0.075	600	199	0.33	0.35333333333333333	-0.023333333333333334	0.011273072961428628	-0.04542855633773345	-0.001238110328933225	16	30	182	372	0.0
local_seed2	imbalanced_node_lognormal_dyad	0.55	0.7	0.1	600	199	0.33166666666666667	0.3466666666666667	-0.015	0.01117287138974667	-0.03689882792390348	0.006898827923903474	18	27	181	374	0.0
local_seed2	imbalanced_node_lognormal_dyad	0.55	0.7	0.125	600	199	0.32166666666666666	0.35333333333333333	-0.03166666666666667	0.012526914078531947	-0.05621941826058928	-0.007113915072744056	19	38	174	369	0.0
