phase	scenario	n_buildings	rooms_per_building	repetitions	room_iid_profile_rejection	cluster_t_profile_rejection	signflip_profile_rejection	room_iid_mantel_rejection	cluster_t_mantel_rejection	signflip_mantel_rejection	room_iid_raw_fwer	cluster_t_holm_fwer	cluster_t_holm_wilson_low	cluster_t_holm_wilson_high	signflip_holm_fwer	mean_profile_max_cluster_score_share	mean_mantel_max_cluster_score_share	mean_profile_effect	mean_mantel_effect	cluster_t_both_rejection	signflip_both_rejection
confirmatory	gaussian_cluster_null	6	20	2000	0.1525	0.04	0.1305	0.203	0.0515	0.159	0.245	0.0405	0.03270494331440327	0.05005682313706816	0.18	0.3375066699812318	0.348386171932511	-0.003423464009471977	0.02810283773405819	0.0155	0.0765
confirmatory	skew_scale_cluster_null	6	20	2000	0.319	0.091	0.215	0.3205	0.0875	0.218	0.3685	0.0735	0.06286270425155069	0.08577253707935806	0.236	0.34239689795138284	0.34951202462086556	-0.0006983069160865774	0.011136558255494842	0.0545	0.1615
confirmatory	correlated_cluster_alt	6	20	2000	0.7155	0.464	0.6825	0.869	0.5905	0.8095	nan	nan	nan	nan	nan	0.34438611193025026	0.3536804967626989	0.2811724420964481	0.27062645685481296	0.3975	0.663
