point	epsilon	population_rho_p	analytic_influence	finite_difference	scaled_error	reference_component	mad_component
matched_high	0.0001	0.19347511885804566	13.551581516920454	13.528402373160775	0.0015928951593836146	-0.3412060119940812	-0.06015307106708376
matched_high	1e-05	0.19347511885804566	13.551581516920454	13.549260050177423	0.0001595336383423933	-0.3412060119940812	-0.06015307106708376
matched_high	1e-06	0.19347511885804566	13.551581516920454	13.551349322182826	1.5956666796483457e-05	-0.3412060119940812	-0.06015307106708376
unmatched_x_high	0.0001	0.19347511885804566	-5.188962399127354	-5.183815260886848	0.0008316641641306327	-0.17718609361984772	-0.021302629291557004
unmatched_x_high	1e-05	0.19347511885804566	-5.188962399127354	-5.18844706667021	8.326637389446508e-05	-0.17718609361984772	-0.021302629291557004
unmatched_x_high	1e-06	0.19347511885804566	-5.188962399127354	-5.188910866593677	8.326522339978831e-06	-0.17718609361984772	-0.021302629291557004
central_regular	0.0001	0.19347511885804566	0.5683498808789973	0.5683485355212348	8.578173652002546e-07	0.06687177408130554	0.03885044177552676
central_regular	1e-05	0.19347511885804566	0.5683498808789973	0.5683497465741594	8.563448727549314e-08	0.06687177408130554	0.03885044177552676
central_regular	1e-06	0.19347511885804566	0.5683498808789973	0.5683498659758701	9.502425038236402e-09	0.06687177408130554	0.03885044177552676
low_high	0.0001	0.19347511885804566	0.3229858953467658	0.3226330528557919	0.0002667016271412399	-0.03885044177552674	-0.038850441775526746
low_high	1e-05	0.19347511885804566	0.3229858953467658	0.32295063450704653	2.665246836213122e-05	-0.03885044177552674	-0.038850441775526746
low_high	1e-06	0.19347511885804566	0.3229858953467658	0.32298236363192956	2.6695030148610324e-06	-0.03885044177552674	-0.038850441775526746
