positive_probability	sign_agreement	magnitude_sigma	center_sd	method	repetitions	reject_count	rejection_rate	wilson_low	wilson_high
0.7	0.5	0.35	1.0	naive_selected	800	46	0.0575	0.04338329484491769	0.0758460105971056
0.7	0.5	0.35	1.0	nested_max	800	42	0.0525	0.03907279601307098	0.07020429819100907
0.7	0.5	0.35	1.0	profile	800	40	0.05	0.036931386385980994	0.06736960219912745
0.7	0.5	0.85	0.0	cv_frozen	800	413	0.51625	0.4816258071112713	0.5507188794120441
0.7	0.5	0.85	0.0	cv_retrained	800	411	0.51375	0.47913259204411907	0.548235988860225
0.7	0.5	0.85	0.0	mantel	800	421	0.52625	0.4916072857257379	0.5606418232734641
0.7	0.5	0.85	0.0	naive_selected	800	431	0.53875	0.5041035712932386	0.5730260658008214
0.7	0.5	0.85	0.0	nested_max	800	429	0.53625	0.5016025823604913	0.5705509491145973
0.7	0.5	0.85	0.0	profile	800	429	0.53625	0.5016025823604913	0.5705509491145973
0.7	0.5	0.85	1.0	cv_frozen	800	327	0.40875	0.3751990514134117	0.44317309349412426
0.7	0.5	0.85	1.0	cv_retrained	800	313	0.39125	0.3580284600082399	0.42551094556649466
0.7	0.5	0.85	1.0	mantel	800	268	0.335	0.3031505627087722	0.368426466439101
0.7	0.5	0.85	1.0	naive_selected	800	290	0.3625	0.32991856064861297	0.39639563030794805
0.7	0.5	0.85	1.0	nested_max	800	283	0.35375	0.3213884834599114	0.38750933783024893
0.7	0.5	0.85	1.0	profile	800	284	0.355	0.32260633340197653	0.3887795406976695
0.7	0.75	0.35	0.0	cv_frozen	800	651	0.81375	0.785296238791033	0.8392050163899053
0.7	0.75	0.35	0.0	cv_retrained	800	648	0.81	0.7813585824895336	0.8356785142629474
0.7	0.75	0.35	0.0	mantel	800	686	0.8575	0.8315662014027991	0.8800169021101427
0.7	0.75	0.35	0.0	naive_selected	800	622	0.7775	0.747390631353365	0.8049570923524848
0.7	0.75	0.35	0.0	nested_max	800	609	0.76125	0.7305038578498542	0.7894991793326802
0.7	0.75	0.35	0.0	profile	800	604	0.755	0.7240247462188395	0.7835380269162658
0.7	0.75	0.35	1.0	cv_frozen	800	621	0.77625	0.7460894743474059	0.8037701965489582
0.7	0.75	0.35	1.0	cv_retrained	800	602	0.7525	0.7214354726700669	0.7811511948460665
0.7	0.75	0.35	1.0	mantel	800	671	0.83875	0.8116565370083233	0.8626057743623312
0.7	0.75	0.35	1.0	naive_selected	800	590	0.7375	0.7059273962307174	0.7668026375715865
0.7	0.75	0.35	1.0	nested_max	800	547	0.68375	0.6507138985281875	0.7150298644662265
0.7	0.75	0.35	1.0	profile	800	529	0.66125	0.6277524354100065	0.693206377013663
0.7	0.75	0.85	0.0	cv_frozen	800	635	0.79375	0.7643404031459192	0.8203520070832461
0.7	0.75	0.85	0.0	cv_retrained	800	632	0.79	0.7604230597704305	0.8168051920302777
0.7	0.75	0.85	0.0	mantel	800	600	0.75	0.71884753333338	0.778763028563782
0.7	0.75	0.85	0.0	naive_selected	800	568	0.71	0.6776120807946185	0.7403807911989976
0.7	0.75	0.85	0.0	nested_max	800	563	0.70375	0.6711966179409363	0.7343559900052508
0.7	0.75	0.85	0.0	profile	800	562	0.7025	0.669914375270527	0.7331501798661744
0.7	0.75	0.85	1.0	cv_frozen	800	645	0.80625	0.7774249148421484	0.8321480234818752
0.7	0.75	0.85	1.0	cv_retrained	800	633	0.79125	0.7617284411390669	0.817987863471127
0.7	0.75	0.85	1.0	mantel	800	632	0.79	0.7604230597704305	0.8168051920302777
0.7	0.75	0.85	1.0	naive_selected	800	595	0.74375	0.7123834357303729	0.7727868621193601
0.7	0.75	0.85	1.0	nested_max	800	557	0.69625	0.6635073552523973	0.727116935836875
0.7	0.75	0.85	1.0	profile	800	536	0.67	0.636671909637673	0.7017032724523973
