design	scenario	strength	n_perm	repetitions	omnibus_reject_count	omnibus_rejection_rate	wilson_low	wilson_high	profile_rejection_rate	mantel_rejection_rate	best_component_power	omnibus_regret	adjusted_profile_rejection_rate	adjusted_mantel_rejection_rate	winner_profile_rate	winner_expected_rate	mean_profile_z	mean_mantel_z	profile_only_rate	mantel_only_rate	both_rate	unresolved_rate	winner_agreement_with_999	decision_agreement_with_999	attribution_agreement_with_999	profile_only_share_given_reject	mantel_only_share_given_reject	both_share_given_reject	unresolved_share_given_reject	expected_component
four_building_target_separation	conditional_null	1.0	499	600	23	0.03833333333333333	0.025677277815960083	0.0568633594533569	0.045	0.045	0.04833333333333333	0.010000000000000004	0.023333333333333334	0.03833333333333333	0.5433333333333333	nan	-0.03288663405128425	-0.04454087418355617	0.0	0.015	0.023333333333333334	0.9616666666666667	1.0	1.0	1.0	0.0	0.391304347826087	0.6086956521739131	0.0	none
four_building_target_separation	node_salience_sign_rewired	1.0	499	600	487	0.8116666666666666	0.7784364474063096	0.8409314256284836	0.825	0.7016666666666667	0.825	0.013333333333333308	0.785	0.6716666666666666	0.735	0.735	2.7821250938833844	2.481864697501647	0.14	0.02666666666666667	0.645	0.18833333333333332	1.0	1.0	1.0	0.17248459958932238	0.03285420944558522	0.7946611909650924	0.0	profile
four_building_target_separation	shared_dyadic_geometry	1.0	499	600	571	0.9516666666666667	0.9314474971378495	0.9661390996131076	0.79	0.9583333333333334	0.9583333333333334	0.006666666666666599	0.7283333333333334	0.9516666666666667	0.0016666666666666668	0.9983333333333333	2.396670760119129	4.143988192338767	0.0	0.22333333333333333	0.7283333333333334	0.04833333333333334	1.0	1.0	1.0	0.0	0.23467600700525393	0.7653239929947461	0.0	mantel
