phase	design	scenario	temperature	aggregation	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	median_p_value	mean_profile_weight	sd_profile_weight	total_rooms	minimum_rooms	maximum_rooms	size_cv	mean_positive_probability	mean_radius_product	mean_dyad_product	covariate_center_correlation	scale_ratio
seed2	balanced	conditional_null	0.0	building_equal	profile	300	199	0.03666666666666667	0.02059530516285303	0.06445384817189295	0.455	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.4993981481481482	0.006777164336524256	-0.020476891051258408	0.9009466470547002	1.8048711320065514
seed2	balanced	conditional_null	0.0	building_equal	mantel	300	199	0.03333333333333333	0.01820494733885481	0.06026182580405482	0.4875	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.4993981481481482	0.006777164336524256	-0.020476891051258408	0.9009466470547002	1.8048711320065514
seed2	balanced	conditional_null	0.0	building_equal	nested_max	300	199	0.04	0.023027321487942308	0.06860421203864003	0.4925	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.4993981481481482	0.006777164336524256	-0.020476891051258408	0.9009466470547002	1.8048711320065514
seed2	balanced	conditional_null	0.0	building_equal	standardized_max	300	199	0.03	0.01586185380943231	0.05602253914164096	0.47	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.4993981481481482	0.006777164336524256	-0.020476891051258408	0.9009466470547002	1.8048711320065514
seed2	balanced	conditional_null	0.0	building_equal	cv_retrained	300	199	0.03666666666666667	0.02059530516285303	0.06445384817189295	0.5	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.4993981481481482	0.006777164336524256	-0.020476891051258408	0.9009466470547002	1.8048711320065514
seed2	balanced	conditional_null	0.0	building_equal	cv_standardized	300	199	0.043333333333333335	0.025496448084407246	0.07271746563401146	0.53	0.4999999999999999	5.551115123125783e-17	72.0	12.0	12.0	0.0	0.4993981481481482	0.006777164336524256	-0.020476891051258408	0.9009466470547002	1.8048711320065514
seed2	balanced	conditional_null	0.0	sqrt_rooms	profile	300	199	0.03666666666666667	0.02059530516285303	0.06445384817189295	0.455	0.5000000000000001	0.0	72.0	12.0	12.0	0.0	0.4993981481481482	0.006777164336524256	-0.020476891051258408	0.9009466470547002	1.8048711320065514
seed2	balanced	conditional_null	0.0	sqrt_rooms	mantel	300	199	0.03333333333333333	0.01820494733885481	0.06026182580405482	0.4875	0.5000000000000001	0.0	72.0	12.0	12.0	0.0	0.4993981481481482	0.006777164336524256	-0.020476891051258408	0.9009466470547002	1.8048711320065514
seed2	balanced	conditional_null	0.0	sqrt_rooms	nested_max	300	199	0.04	0.023027321487942308	0.06860421203864003	0.4925	0.5000000000000001	0.0	72.0	12.0	12.0	0.0	0.4993981481481482	0.006777164336524256	-0.020476891051258408	0.9009466470547002	1.8048711320065514
seed2	balanced	conditional_null	0.0	sqrt_rooms	standardized_max	300	199	0.03	0.01586185380943231	0.05602253914164096	0.47	0.5000000000000001	0.0	72.0	12.0	12.0	0.0	0.4993981481481482	0.006777164336524256	-0.020476891051258408	0.9009466470547002	1.8048711320065514
