High-replication independent-null size check
background	n	k_extremes	magnitude	alpha	repetitions	n_perm	reject_count	empirical_size	wilson_low	wilson_high	mean_p	p05	p25	p50	p75	p95	mean_index_overlap
normal	40	2	8.0	0.05	1000	999	57	0.057	0.0443	0.0731	0.4947	0.0429	0.2435	0.4895	0.7358	0.945	0.104
normal	40	2	8.0	0.01	1000	999	6	0.006	0.0028	0.013	0.4947	0.0429	0.2435	0.4895	0.7358	0.945	0.104
t3	40	2	8.0	0.05	1000	999	51	0.051	0.039	0.0664	0.4997	0.049	0.246	0.4955	0.749	0.952	0.094
t3	40	2	8.0	0.01	1000	999	10	0.01	0.0054	0.0183	0.4997	0.049	0.246	0.4955	0.749	0.952	0.094
lognormal	40	2	8.0	0.05	1000	999	53	0.053	0.0407	0.0687	0.5062	0.042	0.2648	0.503	0.7632	0.948	0.104
lognormal	40	2	8.0	0.01	1000	999	15	0.015	0.0091	0.0246	0.5062	0.042	0.2648	0.503	0.7632	0.948	0.104

High-replication overlap-layer diagnostic
n	k_extremes	magnitude	overlap_count	n_permutations	layer_probability	mean_stat	p95_stat	max_stat	observed_stat	share_ge_observed
15	3	8.0	0	48184	0.48184	14.651709	14.917634	15.249067	16.385642	0.0
15	3	8.0	1	43659	0.43659	15.23232	15.466603	15.715345	16.385642	0.0
15	3	8.0	2	7924	0.07924	15.811696	15.997666	16.10742	16.385642	0.0
15	3	8.0	3	233	0.00233	16.391677	16.436361	16.467484	16.385642	0.562232
