order_per_interval	rho_p	huber_location	mad	location_coefficient_x	location_coefficient_y	mass_error	cross_moment_error	full_if_mean	mad_if_component_mean	full_if_variance	direct_if_variance	nuisance_if_variance	twice_direct_nuisance_covariance	mad_component_rms
24	0.19347511885804566	1.0798088609617673	0.387121537597268	-0.14981376848913427	-0.14981376848913427	6.661338147750939e-15	2.609024107869118e-15	3.913536161803677e-15	3.183217578417441e-16	2.930344036194305	2.935125447077452	0.029924671347369303	-0.03470608223051655	0.035593370612172215
48	0.19347511885804566	1.0798088609617673	0.387121537597268	-0.14981376848913427	-0.14981376848913427	9.992007221626409e-15	4.163336342344337e-15	-3.151066334670959e-15	-2.851130744275762e-16	2.9303440361917925	2.935125447074935	0.029924671347370382	-0.034706082230512705	0.03559337061217269
72	0.19347511885804566	1.0798088609617673	0.387121537597268	-0.14981376848913427	-0.14981376848913427	1.5987211554602254e-14	6.106226635438361e-15	-5.1871378827861255e-15	-4.787720855513602e-16	2.930344036191777	2.935125447074918	0.029924671347370705	-0.034706082230512116	0.03559337061217282
