condition	method	magnitude	n	repetitions	mean_cdelta	mean_profile_correlation	median_largest_numerator_share	mean_ordinary_profile_shift_x	mean_ordinary_profile_shift_y
matched	original_l2	2.0	60	1000	1.0066694865700352	0.0778931363001155	0.04566912045992927	0.020016107526154635	0.01968527006322723
matched	huber_uncapped_cdelta_star	2.0	60	1000	1.0356386984326793	0.06387688076638709	0.10287830700475303	0.045562128734096645	0.04512584385478287
matched	huber_cap6_sensitivity	2.0	60	1000	1.0356386984326793	0.06387688076638709	0.10287830700475303	0.04556033175533278	0.04512584385478287
matched	original_l2	4.0	60	1000	1.0532487442082101	0.4533847703209589	0.12117277712216598	0.07365302075720538	0.07294276832447155
matched	huber_uncapped_cdelta_star	4.0	60	1000	1.2356996236143807	0.32681669971908617	0.2989148178004837	0.04557141896497483	0.04513418267392375
matched	huber_cap6_sensitivity	4.0	60	1000	1.2354066073227812	0.32659366875200385	0.2989148178004837	0.045569621986210965	0.04513418267392375
matched	original_l2	8.0	60	1000	1.1995088485222276	0.8520414452084	0.2725980266631618	0.27424504581441556	0.2708138582177838
matched	huber_uncapped_cdelta_star	8.0	60	1000	2.027559338874126	0.7093032680020624	0.6319176453258557	0.045571418965080414	0.045134182674038396
matched	huber_cap6_sensitivity	8.0	60	1000	1.5804343536149599	0.5598584311880281	0.49600698250197106	0.04556962198631654	0.045134182674038396
matched	original_l2	16.0	60	1000	1.4038395494617852	0.9772897052597735	0.41091902348842313	0.8621793923322136	0.8525103628332626
matched	huber_uncapped_cdelta_star	16.0	60	1000	4.4829586082506205	0.9155462503843798	0.8735053862598824	0.04557141896506987	0.04513418267405674
matched	huber_cap6_sensitivity	16.0	60	1000	1.581947121145831	0.5603388467637332	0.496589483518029	0.045569621986306	0.04513418267405674
matched	original_l2	32.0	60	1000	1.5304858978137201	0.9971417399621034	0.4737276769530494	2.2788321848589046	2.2573313750066224
matched	huber_uncapped_cdelta_star	32.0	60	1000	10.295131235663607	0.9785756944161206	0.9651707332164994	0.045571418965083293	0.045134182674091756
matched	huber_cap6_sensitivity	32.0	60	1000	1.5819471211458331	0.5603388467637523	0.49658948351799403	0.04556962198631942	0.045134182674091756
unmatched	original_l2	2.0	60	1000	0.9998867684659599	-0.0014206185737254812	0.041830572877049485	0.020009966103443088	0.0199749151011218
unmatched	huber_uncapped_cdelta_star	2.0	60	1000	0.998620994742575	-0.0023925959767930782	0.09217189561175326	0.04555493779680316	0.046136287008776124
unmatched	huber_cap6_sensitivity	2.0	60	1000	0.998620994742575	-0.0023925959767930782	0.09217189561175326	0.04555303768194135	0.046136287008776124
unmatched	original_l2	4.0	60	1000	0.9985332076584841	-0.01245661949889068	0.04916914232465494	0.07362152167584017	0.0727201435823412
unmatched	huber_uncapped_cdelta_star	4.0	60	1000	0.9924061111904423	-0.010219368989151661	0.10994315906182747	0.04556428459997462	0.046143688727707605
unmatched	huber_cap6_sensitivity	4.0	60	1000	0.9924462208088982	-0.010208624878768054	0.10994315906182747	0.045562384485112815	0.046143688727707605
unmatched	original_l2	8.0	60	1000	0.9955954526510857	-0.01877587942522504	0.07246503716077177	0.27415450305680966	0.2704701258315833
unmatched	huber_uncapped_cdelta_star	8.0	60	1000	0.9745716160479804	-0.01725445989917627	0.1664399450753974	0.045564284600083556	0.04614368872786329
unmatched	huber_cap6_sensitivity	8.0	60	1000	0.984496702420374	-0.014860382771921138	0.13873147662982438	0.04556238448522175	0.04614368872786329
unmatched	original_l2	16.0	60	1000	0.9923468092740481	-0.018509617737638828	0.09177940267727033	0.8619664973809091	0.8522524534775616
unmatched	huber_uncapped_cdelta_star	16.0	60	1000	0.9274527282427732	-0.01892138796531822	0.2646968064069305	0.04556428460007287	0.046143688727999316
unmatched	huber_cap6_sensitivity	16.0	60	1000	0.984464102922922	-0.014867811154378971	0.13895414369444664	0.04556238448521107	0.046143688727999316
unmatched	original_l2	32.0	60	1000	0.9906703367763137	-0.01753411218322722	0.10090447662189639	2.2783791807658993	2.2571373341421768
unmatched	huber_uncapped_cdelta_star	32.0	60	1000	0.8245593686451006	-0.018409799820165218	0.376773204717085	0.04556428460008784	0.04614368872792002
unmatched	huber_cap6_sensitivity	32.0	60	1000	0.9844641029229246	-0.014867811154374631	0.13895414369442105	0.04556238448522604	0.04614368872792002
