model	r_squared	intercept	slope_1	slope_2	implied_probability_exponent
log_n_probability	0.8951707163274988	1.1552404892622126	-0.9042218211354001	nan	1.0
log_n_probability_squared	0.9191836705190155	-1.20935415513842	-0.5217775787811815	nan	2.0
free_log_n_log_probability	0.925569220378764	-0.4559848684940191	-0.6529433532915875	-1.0147164167480236	1.554065006761586
