n	dimension	scenario	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
80	1	diffuse_radial	original_multivariate_l2	1500	499	1.0	0.9974455692798185	1.0
80	1	diffuse_radial	coordinate_huber	1500	499	1.0	0.9974455692798185	1.0
80	1	diffuse_radial	spatial_median_radius	1500	499	0.9853333333333333	0.9778925767113107	0.9902945892029664
80	1	t3_matched	original_multivariate_l2	1500	499	0.964	0.953325076335369	0.9723044119563026
80	1	t3_matched	coordinate_huber	1500	499	0.9726666666666667	0.9631303791093742	0.9797881657164811
80	1	t3_matched	spatial_median_radius	1500	499	0.9733333333333334	0.9638923721492686	0.980356100102293
80	1	unmatched_masking	original_multivariate_l2	1500	499	0.2633333333333333	0.24166914474422013	0.28620661912999906
80	1	unmatched_masking	coordinate_huber	1500	499	0.802	0.7810734509739308	0.8213836728710797
80	1	unmatched_masking	spatial_median_radius	1500	499	0.8006666666666666	0.7796927967004496	0.820104472293148
80	2	null_normal	original_multivariate_l2	1500	499	0.05466666666666667	0.0442585691503609	0.06734991047774742
80	2	null_normal	coordinate_huber	1500	499	0.056666666666666664	0.04605898663346571	0.06953927527176187
80	2	null_normal	spatial_median_radius	1500	499	0.058666666666666666	0.04786342768227863	0.07172461650006824
80	2	matched_radial	original_multivariate_l2	1500	499	1.0	0.9974455692798185	1.0
80	2	matched_radial	coordinate_huber	1500	499	1.0	0.9974455692798185	1.0
80	2	matched_radial	spatial_median_radius	1500	499	1.0	0.9974455692798185	1.0
80	2	diffuse_radial	original_multivariate_l2	1500	499	1.0	0.9974455692798185	1.0
80	2	diffuse_radial	coordinate_huber	1500	499	1.0	0.9974455692798185	1.0
80	2	diffuse_radial	spatial_median_radius	1500	499	1.0	0.9974455692798185	1.0
80	2	t3_matched	original_multivariate_l2	1500	499	0.88	0.8625766535982042	0.8954819790544579
80	2	t3_matched	coordinate_huber	1500	499	0.8873333333333333	0.8703328971217651	0.9023549372136676
80	2	t3_matched	spatial_median_radius	1500	499	0.9	0.8837814259620523	0.9141750294618026
80	2	unmatched_masking	original_multivariate_l2	1500	499	0.22266666666666668	0.20233611651800126	0.24441407438812607
80	2	unmatched_masking	coordinate_huber	1500	499	0.6406666666666667	0.6160546736876279	0.6645600131364279
80	2	unmatched_masking	spatial_median_radius	1500	499	0.664	0.639704741756648	0.6874574049671326
80	5	null_normal	original_multivariate_l2	1500	499	0.04466666666666667	0.03532481507788357	0.05633475316462838
80	5	null_normal	coordinate_huber	1500	499	0.03666666666666667	0.028277917491892006	0.04742252164214284
80	5	null_normal	spatial_median_radius	1500	499	0.03933333333333333	0.030615277481382798	0.05040487135547774
80	5	matched_radial	original_multivariate_l2	1500	499	1.0	0.9974455692798185	1.0
80	5	matched_radial	coordinate_huber	1500	499	1.0	0.9974455692798185	1.0
80	5	matched_radial	spatial_median_radius	1500	499	1.0	0.9974455692798185	1.0
80	5	diffuse_radial	original_multivariate_l2	1500	499	1.0	0.9974455692798185	1.0
80	5	diffuse_radial	coordinate_huber	1500	499	1.0	0.9974455692798185	1.0
80	5	diffuse_radial	spatial_median_radius	1500	499	1.0	0.9974455692798185	1.0
80	5	t3_matched	original_multivariate_l2	1500	499	0.5413333333333333	0.5160433358723321	0.5664121645214663
80	5	t3_matched	coordinate_huber	1500	499	0.562	0.5367654706678133	0.5869177799228842
80	5	t3_matched	spatial_median_radius	1500	499	0.5646666666666667	0.5394424916394175	0.5895604686541057
80	5	unmatched_masking	original_multivariate_l2	1500	499	0.18066666666666667	0.1620199017373658	0.20094486134925676
80	5	unmatched_masking	coordinate_huber	1500	499	0.48533333333333334	0.460110956725487	0.5106306399089717
80	5	unmatched_masking	spatial_median_radius	1500	499	0.49466666666666664	0.4694110361276113	0.5199495444667371
80	10	null_normal	original_multivariate_l2	1500	499	0.05466666666666667	0.0442585691503609	0.06734991047774742
80	10	null_normal	coordinate_huber	1500	499	0.05333333333333334	0.04306062753158088	0.0658879972451146
80	10	null_normal	spatial_median_radius	1500	499	0.05333333333333334	0.04306062753158088	0.0658879972451146
80	10	matched_radial	original_multivariate_l2	1500	499	1.0	0.9974455692798185	1.0
80	10	matched_radial	coordinate_huber	1500	499	1.0	0.9974455692798185	1.0
80	10	matched_radial	spatial_median_radius	1500	499	1.0	0.9974455692798185	1.0
80	10	diffuse_radial	original_multivariate_l2	1500	499	1.0	0.9974455692798185	1.0
80	10	diffuse_radial	coordinate_huber	1500	499	1.0	0.9974455692798185	1.0
80	10	diffuse_radial	spatial_median_radius	1500	499	1.0	0.9974455692798185	1.0
80	10	t3_matched	original_multivariate_l2	1500	499	0.22533333333333333	0.2049070267983932	0.24716287381055982
80	10	t3_matched	coordinate_huber	1500	499	0.24466666666666667	0.22358190897000044	0.26705588698443894
80	10	t3_matched	spatial_median_radius	1500	499	0.24733333333333332	0.22616251452109296	0.26979499113617206
80	10	unmatched_masking	original_multivariate_l2	1500	499	0.126	0.11015604651428458	0.14375466766441117
80	10	unmatched_masking	coordinate_huber	1500	499	0.3546666666666667	0.3308554503409969	0.37922037085500254
80	10	unmatched_masking	spatial_median_radius	1500	499	0.3626666666666667	0.33871617790386577	0.38731877240061074
