phase	configuration	bracket_low	bracket_high	crossover_estimate	zero_difference_band_low	zero_difference_band_high	grid_points	repetitions_per_point	n_perm
combined	balanced_magnitude_skew_gaussian_dyad	0.225	0.25	0.2453125	0.225	0.25	9	1200	199
combined	balanced_magnitude_skew_lognormal_dyad	0.3	0.325	0.3220588235294118	0.3	0.375	16	1200	199
